"Number of Establishments with 20 or More Workers Engaged in Subcontracting by Type of Jobs/Services Contracted Out and Major Industry Group, Philippines: June 2014 to August 2022"

"Major Industry Group";"2014 Total Establishments Resorting to Subcontracting";"2014 Production/ Assembly (Outside)";"2014 Finance/ Accounting";"2014 Data Processing/ Encoding";"2014 Human Resource/ Recruitment";"2014 Learning/ Training";"2014 Billing and Payment";"2014 Transport Services";"2014 Courier Services";"2014 Packaging/ Crating";"2014 Research and Development";"2014 Marketing/ Sales";"2014 Medical and Health Services";"2014 Messengerial";"2014 Others";"2016 Total Establishments Resorting to Subcontracting";"2016 Production/ Assembly (Outside)";"2016 Finance/ Accounting";"2016 Data Processing/ Encoding";"2016 Human Resource/ Recruitment";"2016 Learning/ Training";"2016 Billing and Payment";"2016 Transport Services";"2016 Courier Services";"2016 Packaging/ Crating";"2016 Research and Development";"2016 Marketing/ Sales";"2016 Medical and Health Services";"2016 Messengerial";"2016 Others";"2018 Total Establishments Resorting to Subcontracting";"2018 Production/ Assembly (Outside)";"2018 Finance/ Accounting";"2018 Data Processing/ Encoding";"2018 Human Resource/ Recruitment";"2018 Learning/ Training";"2018 Billing and Payment";"2018 Transport Services";"2018 Courier Services";"2018 Packaging/ Crating";"2018 Research and Development";"2018 Marketing/ Sales";"2018 Medical and Health Services";"2018 Messengerial";"2018 Others";"2020 Total Establishments Resorting to Subcontracting";"2020 Production/ Assembly (Outside)";"2020 Finance/ Accounting";"2020 Data Processing/ Encoding";"2020 Human Resource/ Recruitment";"2020 Learning/ Training";"2020 Billing and Payment";"2020 Transport Services";"2020 Courier Services";"2020 Packaging/ Crating";"2020 Research and Development";"2020 Marketing/ Sales";"2020 Medical and Health Services";"2020 Messengerial";"2020 Others";"2022 Total Establishments Resorting to Subcontracting";"2022 Production/ Assembly (Outside)";"2022 Finance/ Accounting";"2022 Data Processing/ Encoding";"2022 Human Resource/ Recruitment";"2022 Learning/ Training";"2022 Billing and Payment";"2022 Transport Services";"2022 Courier Services";"2022 Packaging/ Crating";"2022 Research and Development";"2022 Marketing/ Sales";"2022 Medical and Health Services";"2022 Messengerial";"2022 Others"
"ALL INDUSTRIES";4978;325;3313;73;274;286;245;386;512;122;83;333;562;233;620;3737;323;2202;105;208;174;125;383;277;44;30;257;339;158;715;2797;473;1513;115;220;220;136;357;354;109;87;252;297;186;575;1806;308;664;178;303;203;156;309;217;83;31;220;236;235;391;3364;131;2108;89;237;138;231;381;357;50;35;200;309;236;453
"..Agriculture, Forestry and Fishing";319;0;293;0;1;0;0;26;4;0;0;0;59;0;8;140;5;104;1;3;1;7;5;0;1;3;6;13;1;27;96;6;70;1;1;1;0;5;5;4;1;0;7;0;21;7;3;0;0;0;0;0;2;1;0;0;3;3;2;2;146;1;98;1;1;6;33;19;7;0;2;5;16;6;2
"..Mining and Quarrying";23;0;12;0;0;0;0;5;0;0;0;3;2;4;2;18;0;15;0;0;0;0;0;1;0;0;0;0;1;1;11;6;4;0;0;0;0;5;0;0;0;0;0;0;1;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;15;0;9;0;0;0;0;7;1;0;0;0;1;0;8
"..Manufacturing";1074;190;591;8;33;71;23;74;115;29;6;85;197;27;75;837;212;389;5;28;44;18;113;68;18;1;74;96;16;131;606;185;307;7;28;36;7;67;72;14;9;38;49;10;63;428;153;124;4;25;46;11;126;81;19;2;14;73;58;63;828;61;468;14;44;38;58;115;144;33;4;50;86;33;74
"..Electricity, Gas, Steam and Air Conditioning Supply";45;2;0;0;8;0;18;0;16;0;0;0;0;0;31;44;1;13;8;7;9;11;13;11;7;7;7;12;13;18;33;6;0;0;0;3;5;6;2;0;0;0;6;4;23;12;2;0;0;0;0;5;0;0;0;0;0;0;1;7;38;1;6;1;0;0;7;6;0;0;0;0;5;5;20
"..Water Supply; Sewerage, Waste Management and Remediation Activities";44;8;3;2;0;9;24;2;0;0;0;0;3;3;18;41;6;12;6;6;1;13;2;1;0;6;6;2;8;13;17;5;1;0;0;8;1;3;0;0;0;0;0;2;8;42;21;0;0;2;0;20;0;0;0;0;0;2;0;3;30;0;7;0;1;0;0;1;3;0;0;0;3;4;15
"..Construction";107;17;17;1;4;0;1;3;16;0;0;1;3;0;58;173;14;94;2;5;1;2;8;4;0;0;0;4;0;64;137;29;68;2;2;9;5;8;7;0;0;1;6;7;47;64;42;6;0;0;1;0;1;1;1;0;0;1;1;14;144;7;89;1;3;12;7;19;20;0;6;0;21;3;42
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1247;46;900;1;48;29;59;54;120;21;19;132;70;37;108;837;44;490;26;51;31;25;82;78;4;3;114;65;21;163;659;111;330;17;54;38;26;117;147;25;14;80;51;36;104;340;61;106;58;47;2;7;66;63;61;3;93;60;41;68;849;8;590;10;51;8;33;55;66;10;2;82;33;40;100
"..Transportation and Storage";166;0;91;6;1;1;1;42;17;18;0;5;13;41;35;142;0;75;7;4;3;3;44;21;7;1;2;2;15;14;82;3;40;5;9;4;1;11;7;1;0;3;7;9;19;36;0;0;2;19;5;0;23;4;0;0;3;0;5;26;75;5;38;1;0;1;3;22;5;1;1;3;4;3;9
"..Accommodation and Food Service Activities";510;15;418;28;88;46;56;51;32;28;28;59;28;45;60;480;14;398;14;49;28;15;12;9;0;8;21;25;1;69;314;43;261;55;73;62;61;67;31;46;56;72;56;64;32;207;0;140;12;76;12;76;12;12;0;12;76;12;12;67;299;14;230;7;47;13;14;28;9;0;0;13;27;33;34
"..Information and Communication";98;3;52;3;18;8;3;10;17;4;4;5;2;5;25;125;12;71;3;5;12;2;13;16;2;0;1;19;12;42;82;5;28;1;7;4;0;5;9;4;0;2;11;9;36;52;16;21;0;12;0;0;0;12;0;12;21;0;0;15;64;4;31;3;9;5;7;6;15;0;0;6;6;9;10
"..Financial and Insurance Activities";98;0;27;3;7;29;8;33;40;0;0;2;30;8;23;112;2;18;3;6;10;6;24;12;0;1;3;10;32;31;99;5;16;0;8;16;7;12;11;5;0;15;9;18;52;45;3;38;37;38;0;1;0;1;1;0;4;1;3;1;166;2;57;14;14;9;0;37;19;0;0;9;4;44;39
"..Real Estate Activities";29;0;22;0;3;0;15;1;5;0;0;1;9;0;19;66;7;20;8;1;0;1;7;3;0;0;10;4;3;20;41;1;11;4;1;0;1;1;3;0;0;5;11;0;14;5;0;0;0;0;0;0;3;0;0;0;1;0;1;1;43;0;24;1;2;0;0;1;4;1;0;0;10;6;9
