"Number and Proportion of Establishments Employing 20 or More Workers With Union and Collective Bargaining Agreement (CBA) by Region, Philippines: August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/1601B3GU013.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Region";"2022 Total Number of Establishments";"2022 Establishments With Union";"2022 Proportion of Establishments With Union (Percent)";"2022 Establishments With CBA";"2022 Proportion of Establishments With CBA (Percent)"
"PHILIPPINES";36342;1626;4.5;1444;4.0
"..National Capital Region";9728;528;5.4;474;4.9
"..Cordillera Administrative Region";880;37;4.2;37;4.2
"..Region I - Ilocos Region";1362;32;2.3;25;1.8
"..Region II - Cagayan Valley";960;41;4.3;33;3.4
"..Region III - Central Luzon";3400;185;5.4;183;5.4
"..Region IVA - CALABARZON";3885;151;3.9;128;3.3
"..MIMAROPA Region";861;16;1.9;12;1.4
"..Region V - Bicol Region";1352;41;3.0;30;2.2
"..Region VI - Western Visayas";2111;69;3.2;62;2.9
"..Region VII - Central Visayas";3173;110;3.5;87;2.7
"..Region VIII - Eastern Visayas";1137;58;5.1;58;5.1
"..Region IX - Zamboanga Peninsula";1171;48;4.1;37;3.1
"..Region X - Northern Mindanao";1725;104;6.0;101;5.8
"..Region XI - Davao Region";2029;102;5.0;89;4.4
"..Region XII - SOCCSKSARGEN";1591;51;3.2;43;2.7
"..Region XIII - Caraga";867;48;5.6;46;5.3
"..Bangsamoro Autonomous Region in Muslim Mindanao";109;6;5.9;0;0.0
