"Number and Proportion of Establishments Employing 20 or More Workers With CBA and With Union by Region, Philippines: August 2022"

"Region";"2022 Establishments With Union";"2022 Establishments With CBA";"2022 Percent"
"PHILIPPINES";1626.09;1443.95;88.8
"..National Capital Region";527.58;473.98;89.8
"..Cordillera Administrative Region";37.00;37.00;100.0
"..Region I - Ilocos Region";31.71;24.62;77.6
"..Region II - Cagayan Valley";40.94;32.58;79.6
"..Region III - Central Luzon";184.82;182.82;98.9
"..Region IVA - CALABARZON";151.03;128.43;85.0
"..MIMAROPA Region";16.16;12.36;76.5
"..Region V - Bicol Region";40.71;30.09;73.9
"..Region VI - Western Visayas";68.52;61.76;90.1
"..Region VII - Central Visayas";109.58;86.98;79.4
"..Region VIII - Eastern Visayas";57.66;57.66;100.0
"..Region IX - Zamboanga Peninsula";47.97;36.77;76.7
"..Region X - Northern Mindanao";103.96;100.78;96.9
"..Region XI - Davao Region";102.14;89.25;87.4
"..Region XII - SOCCSKSARGEN";51.49;42.91;83.3
"..Region XIII - Caraga";48.39;45.98;95.0
"..Bangsamoro Autonomous Region in Muslim Mindanao";6.44;0.00;0.0
