"Establishments Employing 20 or More Workers With or Without Commuting Accidents, Number of Commuting Accidents and Number of Workers Injured by Region, Philippines:  2013-2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/8201B3GI220.px/table/tableViewLayout1/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"Region";"2021 Total Establishments";"2021 ..Without Commuting Accidents";"2021 ..With Commuting Accidents";"2021 Number of Commuting Accidents";"2021 Number of Workers Injured"
"PHILIPPINES";36342;35350;991;2784;3134
"..National Capital Region";9728;9475;253;699;833
"..Cordillera Administrative Region";880;840;40;56;56
"..Region I - Ilocos Region";1362;1326;36;49;56
"..Region II - Cagayan Valley";960;950;10;17;17
"..Region III - Central Luzon";3400;3328;73;167;243
"..Region IV-A - CALABARZON";3885;3767;117;608;619
"..MIMAROPA Region";861;843;18;32;32
"..Region V - Bicol";1352;1301;51;274;279
"..Region VI - Western Visayas";2111;2056;55;126;136
"..Region VII - Central Visayas";3173;3078;95;226;233
"..Region VIII - Eastern Visayas";1137;1104;34;79;125
"..Region IX - Zamboanga Peninsula";1171;1162;9;52;52
"..Region X - Northern Mindanao";1725;1696;29;69;84
"..Region XI - Davao Region";2029;1965;63;123;135
"..Region XII - SOCCSKSARGEN";1443;1376;67;139;153
"..Region XIII - Caraga";867;832;36;64;76
"..Bangsamoro Autonomous Region in Muslim Mindanao";256;250;6;6;6
