"Number of Establishments Employing 20 or More Workers with Union by Scope of Bargaining Unit and Major Industry Group, Philippines: June 2014 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/2501B3GU030.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Major Industry Group";"2014 Establishments With Union";"2014 Supervisors Only";"2014 Rank and File Only";"2014 Rank and File including Supervisors";"2016 Establishments With Union";"2016 Supervisors Only";"2016 Rank and File Only";"2016 Rank and File including Supervisors";"2018 Establishments With Union";"2018 Supervisors Only";"2018 Rank and File Only";"2018 Rank and File including Supervisors";"2020 Establishments With Union";"2020 Supervisors Only";"2020 Rank and File Only";"2020 Rank and File including Supervisors";"2022 Establishments With Union";"2022 Supervisors Only";"2022 Rank and File Only";"2022 Rank and File including Supervisors"
"ALL INDUSTRIES";2059;109;1530;525;2099;91;1601;484;2039;117;1547;463;1464;216;1452;.;1626;337;1588;..
"..Agriculture, Forestry and Fishing";139;6;120;18;143;3;95;46;141;6;81;61;51;5;51;.;126;32;121;..
"..Mining and Quarrying";11;2;11;0;23;0;20;3;27;1;24;1;15;0;15;.;18;3;18;..
"..Manufacturing";799;46;627;172;755;34;584;171;761;39;614;142;664;65;658;.;592;105;591;..
"..Electricity, Gas, Steam and Air Conditioning Supply";139;12;82;62;85;14;69;14;84;23;65;18;71;27;71;.;66;27;66;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";64;3;36;29;77;7;28;48;69;5;39;29;49;7;49;.;90;13;87;..
"..Construction";16;6;14;1;12;3;10;1;17;1;12;5;3;1;3;.;26;16;26;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";246;3;189;56;291;0;242;49;335;15;226;96;162;24;160;.;231;48;220;..
"..Transportation and Storage";94;4;55;37;91;4;61;29;84;8;64;20;53;5;52;.;68;27;64;..
"..Accommodation and Food Service Activities";126;12;68;54;180;17;132;41;164;8;118;42;194;63;194;.;75;4;73;..
"..Information and Communication";57;13;51;7;17;2;15;2;18;2;16;2;19;9;17;.;11;4;11;..
"..Financial and Insurance Activities";94;0;86;8;185;1;139;45;113;1;99;14;42;0;42;.;144;25;144;..
"..Real Estate Activities";2;0;2;0;10;0;10;0;4;0;4;0;5;0;5;.;12;8;6;..
"..Professional, Scientific and Technical Activities";46;0;6;40;20;0;18;1;8;0;5;3;4;0;4;.;3;1;3;..
"..Administrative and Support Service Activities";37;0;31;6;11;1;9;1;10;3;9;0;3;0;3;.;6;1;5;..
"..Education Except Public Education";111;2;98;11;117;3;96;18;128;2;111;14;69;4;69;.;85;8;82;..
"..Human Health and Social Work Activities  Except Public Health Activities";37;1;31;6;43;0;37;6;47;1;35;11;38;2;38;.;57;9;57;..
"..Arts, Entertainment and Recreation";32;0;23;9;33;0;25;7;26;1;23;3;21;3;21;.;18;8;15;..
"..Other Service Activities Except Activities of Membership Organizations";10;0;0;10;9;0;9;0;1;0;1;0;0;0;0;.;0;0;0;..
