"Number of Establishments Employing 20 or More Workers With Union by Scope of Bargaining Unit and Region, Philippines: August 2022"

"Region";"2022 Establishments With Union";"2022 Supervisors Only";"2022 Rank and File Only";"2022 Rank and File including Supervisors"
"PHILIPPINES";1626;337;1588;..
"..National Capital Region";528;83;523;..
"..Cordillera Administrative Region";37;12;37;..
"..Region I - Ilocos Region";32;2;32;..
"..Region II - Cagayan Valley";41;4;41;..
"..Region III - Central Luzon";185;26;181;..
"..Region IVA - CALABARZON";151;30;150;..
"..MIMAROPA Region";16;2;16;..
"..Region V - Bicol Region";41;14;36;..
"..Region VI - Western Visayas";69;15;67;..
"..Region VII - Central Visayas";110;39;94;..
"..Region VIII - Eastern Visayas";58;29;58;..
"..Region IX - Zamboanga Peninsula";48;12;48;..
"..Region X - Northern Mindanao";104;31;99;..
"..Region XI - Davao Region";102;18;102;..
"..Region XII - SOCCSKSARGEN";51;3;50;..
"..Region XIII - Caraga";48;10;48;..
"..Bangsamoro Autonomous Region in Muslim Mindanao";6;6;6;..
