"Number of Establishments Employing 20 or More Workers with Union by Scope of Bargaining Unit and Type of Ownership, Philippines: June 2014 to June 2016"

"Type of Ownership";"Scope of Barganing Unit";"2014";"2016"
"Filipino";"Establishments With Union";1599;1748
"Filipino";"Supervisors Only";90;64
"Filipino";"Rank and File Only";1119;1288
"Filipino";"Rank and File including Supervisors";478;446
"Foreign";"Establishments With Union";183;131
"Foreign";"Supervisors Only";7;14
"Foreign";"Rank and File Only";172;116
"Foreign";"Rank and File including Supervisors";9;15
"Joint Venture";"Establishments With Union";121;83
"Joint Venture";"Supervisors Only";4;2
"Joint Venture";"Rank and File Only";98;78
"Joint Venture";"Rank and File including Supervisors";24;5
"Multinational";"Establishments With Union";156;137
"Multinational";"Supervisors Only";8;11
"Multinational";"Rank and File Only";142;119
"Multinational";"Rank and File including Supervisors";14;17
