"Number of Establishments Employing 20 or More Workers That Attended RTWPB Training Programs and Implemented PIPs by Major Industry Group, Philippines:  2017 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/8001B3GP150.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Indicator/s";"2017";"2019"
"ALL INDUSTRIES";"Total Establishments";32288;38305
"ALL INDUSTRIES";"Total Establishments with PIP";17563;.
"ALL INDUSTRIES";"Number of Establishments That Attended RTWPB Training Programs";.;3455
"ALL INDUSTRIES";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";2385;2515
"..Agriculture, Forestry and Fishing";"Total Establishments";1124;1070
"..Agriculture, Forestry and Fishing";"Total Establishments with PIP";442;.
"..Agriculture, Forestry and Fishing";"Number of Establishments That Attended RTWPB Training Programs";.;66
"..Agriculture, Forestry and Fishing";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";61;53
"..Mining and Quarrying";"Total Establishments";156;168
"..Mining and Quarrying";"Total Establishments with PIP";66;.
"..Mining and Quarrying";"Number of Establishments That Attended RTWPB Training Programs";.;12
"..Mining and Quarrying";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";12;10
"..Manufacturing";"Total Establishments";5925;6406
"..Manufacturing";"Total Establishments with PIP";3677;.
"..Manufacturing";"Number of Establishments That Attended RTWPB Training Programs";.;603
"..Manufacturing";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";526;387
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments";285;301
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIP";188;.
"..Electricity, Gas, Steam and Air Conditioning Supply";"Number of Establishments That Attended RTWPB Training Programs";.;74
"..Electricity, Gas, Steam and Air Conditioning Supply";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";35;64
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments";326;338
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIP";192;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Number of Establishments That Attended RTWPB Training Programs";.;60
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";8;57
"..Construction";"Total Establishments";991;1223
"..Construction";"Total Establishments with PIP";487;.
"..Construction";"Number of Establishments That Attended RTWPB Training Programs";.;106
"..Construction";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";50;94
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments";7820;9560
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIP";4126;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Number of Establishments That Attended RTWPB Training Programs";.;776
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";579;439
"..Transportation and Storage";"Total Establishments";1045;1152
"..Transportation and Storage";"Total Establishments with PIP";499;.
"..Transportation and Storage";"Number of Establishments That Attended RTWPB Training Programs";.;108
"..Transportation and Storage";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";58;49
"..Accommodation and Food Service Activities";"Total Establishments";4183;4716
"..Accommodation and Food Service Activities";"Total Establishments with PIP";2531;.
"..Accommodation and Food Service Activities";"Number of Establishments That Attended RTWPB Training Programs";.;596
"..Accommodation and Food Service Activities";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";418;517
"..Information and Communication";"Total Establishments";772;1052
"..Information and Communication";"Total Establishments with PIP";338;.
"..Information and Communication";"Number of Establishments That Attended RTWPB Training Programs";.;16
"..Information and Communication";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";26;14
"..Financial and Insurance Activities";"Total Establishments";1339;1696
"..Financial and Insurance Activities";"Total Establishments with PIP";731;.
"..Financial and Insurance Activities";"Number of Establishments That Attended RTWPB Training Programs";.;192
"..Financial and Insurance Activities";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";102;175
"..Real Estate Activities";"Total Establishments";454;652
"..Real Estate Activities";"Total Establishments with PIP";173;.
"..Real Estate Activities";"Number of Establishments That Attended RTWPB Training Programs";.;0
"..Real Estate Activities";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";24;0
"..Professional, Scientific and Technical Activities";"Total Establishments";745;963
"..Professional, Scientific and Technical Activities";"Total Establishments with PIP";314;.
"..Professional, Scientific and Technical Activities";"Number of Establishments That Attended RTWPB Training Programs";.;55
"..Professional, Scientific and Technical Activities";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";11;55
"..Administrative and Support Service Activities";"Total Establishments";1925;2729
"..Administrative and Support Service Activities";"Total Establishments with PIP";929;.
"..Administrative and Support Service Activities";"Number of Establishments That Attended RTWPB Training Programs";.;132
"..Administrative and Support Service Activities";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";132;110
"..Education Except Public Education";"Total Establishments";3574;4156
"..Education Except Public Education";"Total Establishments with PIP";1901;.
"..Education Except Public Education";"Number of Establishments That Attended RTWPB Training Programs";.;393
"..Education Except Public Education";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";243;301
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments";1048;1447
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIP";656;.
"..Human Health and Social Work Activities Except Public Health Activities";"Number of Establishments That Attended RTWPB Training Programs";.;196
"..Human Health and Social Work Activities Except Public Health Activities";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";90;127
"..Arts, Entertainment and  Recreation";"Total Establishments";234;313
"..Arts, Entertainment and  Recreation";"Total Establishments with PIP";140;.
"..Arts, Entertainment and  Recreation";"Number of Establishments That Attended RTWPB Training Programs";.;31
"..Arts, Entertainment and  Recreation";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";9;26
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments";343;363
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments with PIP";171;.
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Number of Establishments That Attended RTWPB Training Programs";.;38
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Number of Establishments That Implemented PIPs after Attendance to RTWPB Training Programs";1;38
