"Estimated Beneficiaries and Total Registered Members of National Health Insurance Program (1995-2013)"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"TOTAL";..;..;..;..;..;29597;37460;43565;42401;69506;54599;51035;64467;68669;53392;69985;78386;80919;76897
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Employed";..;..;..;..;..;26093;29715;29775;30787;31422;30681;23268;32279;30925;20687;29214;24001;25939;26348
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"....Government";..;..;..;..;..;6967;8948;10199;7632;7866;7493;4314;7420;7740;5597;6581;5904;6432;5914
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"....Private";..;..;..;..;..;19126;20767;19576;23155;23556;23188;18954;24858;23185;15090;22633;18097;19507;20435
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Individually-Paying";..;..;..;..;..;1908;4182;6755;2744;6563;8471;5898;11069;12509;7780;10920;9905;11818;11991
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Sponsored Program";..;..;..;..;..;1596;2847;6304;8741;31291;12440;17956;13635;16491;19752;22104;38449;36679;31378
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"….Local Government Units";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;22104;19549;16250;10366
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"….National Household Targetting     System for Poverty Reduction";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;18901;20429;21012
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Lifetime Program";..;..;..;..;..;0;716;730;130;230;334;435;572;685;751;846;945;1254;1318
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Overseas Workers Program";..;..;..;..;..;0;0;0;0;0;2673;3478;6912;8059;4422;6900;5086;5230;5863
"Total Registered Members (000)";"TOTAL";..;..;..;..;..;7939;9328;10154;9976;15359;13419;16256;15850;16461;20182;22441;27916;28492;31267
"Total Registered Members (000)";"..Employed";..;..;..;..;..;7161;7302;7042;7583;7636;8296;7846;8779;8234;8908;9812;10860;11640;12372
"Total Registered Members (000)";"....Government";..;..;..;..;..;1868;2011;2137;1645;1689;1846;1288;1781;1856;1902;1949;2010;2029;2073
"Total Registered Members (000)";"....Private";..;..;..;..;..;5293;5291;4905;5938;5947;6450;6558;6998;6379;7007;7863;8850;9611;10299
"Total Registered Members (000)";"..Individually-Paying";..;..;..;..;..;431;930;1364;555;1329;1889;2013;2427;2723;3326;3748;4339;5056;5375
"Total Registered Members (000)";"..Sponsored Program";..;..;..;..;..;347;619;1261;1762;6258;2492;4946;2721;3264;5382;6045;9574;8293;9611
"Total Registered Members (000)";"….Local Government Units";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5331;3687;4454
"Total Registered Members (000)";"….National Household Targetting     System for Poverty Reduction";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4242;4606;5157
"Total Registered Members (000)";"..Lifetime Program";..;..;..;..;..;..;477;487;76;136;197;263;337;403;462;500;572;658;774
"Total Registered Members (000)";"..Overseas Workers Program";..;..;..;..;..;..;..;..;..;..;545;1187;1586;1837;2105;2337;2571;2845;3135
