"Estimated Beneficiaries and Total Registered Members of National Health Insurance Program (Revised Table Format)"

"Indicator";"Item";"2014";"2015";"2016";"2017";"2018"
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"TOTAL";86224;93445;93401;96974;104489
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Members in the formal economy";27048;28319;29310;28856;30993
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"….Private";21226;22371;23305;23008;24882
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"….Government";5724;5837;5886;5724;5985
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"….Household help/Kasambahay";97;109;118;121;123
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"….Enterprise owners and family drivers";1;2;2;3;3
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Members in the informal economy";7385;8458;8168;22899;24033
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"….Migrant workers";1826;2080;1610;1316;862
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"….Informal sector";4686;5373;5526;5747;4711
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"….Self-earning individuals";839;975;996;1036;853
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"….Organized groups and others";34;30;34;36;53
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Informal Economy Members w/o 3/6 contribution but Entitled to Point of Service (POS) excluding Foreign Nationals";..;..;..;14764;17496
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Indigents";43726;45407;43486;32030;34462
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Sponsored members";2117;2408;2778;2580;3384
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Senior citizens";4339;7123;7574;8473;9411
"Estimated Beneficiaries (Members and Dependents) of National Health Insurance Program (000)";"..Lifetime members";1610;1730;2084;2135;2206
"Total Registered Members (000)";"TOTAL";36409;40502;41232;49584;53816
"Total Registered Members (000)";"..Members in the formal economy";13012;13869;14636;14904;15990
"Total Registered Members (000)";"….Private";11003;11770;12465;12647;13660
"Total Registered Members (000)";"….Government";1952;2035;2102;2186;2258
"Total Registered Members (000)";"….Household help/Kasambahay";56;63;68;70;71
"Total Registered Members (000)";"….Enterprise owners and family drivers";....;1;1;1;1
"Total Registered Members (000)";"..Members in the informal economy";3382;3425;3261;11078;11778
"Total Registered Members (000)";"….Migrant workers";961;930;659;536;337
"Total Registered Members (000)";"….Informal sector";2024;2086;2177;2317;1829
"Total Registered Members (000)";"….Self-earning individuals";382;394;409;436;346
"Total Registered Members (000)";"….Organized groups and others";16;14;14;15;23
"Total Registered Members (000)";"..Informal Economy Members w/o 3/6 contribution but Entitled to Point of Service (POS) excluding Foreign Nationals";..;..;..;7774;9213
"Total Registered Members (000)";"..Indigents";14707;15289;14642;14329;15719
"Total Registered Members (000)";"..Sponsored members";848;1050;1218;1128;1519
"Total Registered Members (000)";"..Senior citizens";3529;5868;6246;6899;7531
"Total Registered Members (000)";"..Lifetime members";932;1002;1230;1246;1279
