"Female Share in Occupational Employment (Based on 1977 PSOC)"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Female Share in Occupational Employment (%)";"TOTAL";36.4;36.8;37.0;37.2;37.8;37.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Female Share in Occupational Employment (%)";"..Professional, Technical and Related Workers";64.0;63.2;63.7;63.6;63.3;63.8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Female Share in Occupational Employment (%)";"..Administrative, Executive  and Managerial Workers";31.9;33.6;33.2;32.8;33.7;35.2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Female Share in Occupational Employment (%)";"..Clerical and Related Workers";56.1;57.3;58.3;57.9;58.7;58.1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Female Share in Occupational Employment (%)";"..Sales Workers";68.2;67.5;66.4;67.0;66.6;67.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Female Share in Occupational Employment (%)";"..Service Workers";54.9;55.6;56.3;57.4;57.7;57.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Female Share in Occupational Employment (%)";"..Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters";25.2;26.7;26.3;25.6;26.5;24.0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Female Share in Occupational Employment (%)";"..Production and Related Equipment Workers, Transport Operators and Laborers";20.1;18.5;18.1;17.9;18.8;18.8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Female Share in Occupational Employment (%)";"..Occupations, n.e.c.";38.5;33.3;41.2;35.0;32.4;39.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total Employed (000)";"TOTAL";25677;27186;26365;26631;27742;27452;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total Employed (000)";"..Professional, Technical and Related Workers";1430;1567;1585;1597;1666;1664;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total Employed (000)";"..Administrative, Executive  and Managerial Workers";408;432;503;555;599;613;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total Employed (000)";"..Clerical and Related Workers";1130;1194;1212;1223;1260;1307;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total Employed (000)";"..Sales Workers";3582;3850;3767;3944;4135;4230;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total Employed (000)";"..Service Workers";2342;2462;2670;2880;2936;2967;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total Employed (000)";"..Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters";11026;11539;10304;9977;10672;10072;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total Employed (000)";"..Production and Related Equipment Workers, Transport Operators and Laborers";5730;6117;6289;6416;6440;6560;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total Employed (000)";"..Occupations, n.e.c.";26;27;34;40;34;38;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Men";"TOTAL";16322;17170;16610;16714;17253;17193;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Men";"..Professional, Technical and Related Workers";515;576;576;580;610;603;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Men";"..Administrative, Executive  and Managerial Workers";277;288;336;373;397;397;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Men";"..Clerical and Related Workers";496;509;505;515;522;547;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Men";"..Sales Workers";1138;1250;1267;1301;1383;1383;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Men";"..Service Workers";1056;1093;1167;1226;1243;1264;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Men";"..Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters";8245;8453;7589;7425;7846;7651;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Men";"..Production and Related Equipment Workers, Transport Operators and Laborers";4577;4984;5150;5268;5229;5326;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Men";"..Occupations, n.e.c.";16;17;20;26;24;24;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Women";"TOTAL";9354;10016;9754;9917;10489;10259;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Women";"..Professional, Technical and Related Workers";915;991;1009;1016;1055;1062;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Women";"..Administrative, Executive  and Managerial Workers";130;145;167;182;202;216;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Women";"..Clerical and Related Workers";634;684;707;708;739;760;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Women";"..Sales Workers";2444;2600;2500;2643;2753;2848;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Women";"..Service Workers";1286;1368;1503;1654;1693;1704;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
