"Female Share in Occupational Employment (Based on 2012 PSOC)"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E8/0683K3E8030.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"2016";"2017";"2018"
"Female Share in Occupational Employment (%)";"TOTAL";38.9;37.9;38.2
"Female Share in Occupational Employment (%)";"..Managers";48.9;51.5;52.7
"Female Share in Occupational Employment (%)";"..Professionals";65.5;65.2;63.8
"Female Share in Occupational Employment (%)";"..Technicians and associate professionals";47.6;48.4;48.3
"Female Share in Occupational Employment (%)";"..Clerical support workers";58.2;59.0;59.4
"Female Share in Occupational Employment (%)";"..Service and sales workers";51.8;51.4;53.8
"Female Share in Occupational Employment (%)";"..Skilled agricultural, forestry and fishery workers";18.1;17.0;17.1
"Female Share in Occupational Employment (%)";"..Craft and related trades workers";16.6;14.6;14.5
"Female Share in Occupational Employment (%)";"..Plant and machine operators and assemblers";11.2;12.7;10.5
"Female Share in Occupational Employment (%)";"..Elementary occupations";36.6;34.1;33.2
"Female Share in Occupational Employment (%)";"..Armed forces occupations and special occupations";6.0;3.2;4.3
"Female Share in Occupational Employment (%)";"..Others";51.6;..;..
"Total Employed  (000)";"TOTAL";40998;40334;41157
"Total Employed  (000)";"..Managers";6992;6490;6588
"Total Employed  (000)";"..Professionals";1973;2149;2243
"Total Employed  (000)";"..Technicians and associate professionals";1296;1533;1663
"Total Employed  (000)";"..Clerical support workers";1798;2283;2389
"Total Employed  (000)";"..Service and sales workers";5930;6069;6171
"Total Employed  (000)";"..Skilled agricultural, forestry and fishery workers";5108;5426;5096
"Total Employed  (000)";"..Craft and related trades workers";2879;3198;3230
"Total Employed  (000)";"..Plant and machine operators and assemblers";2239;2552;2623
"Total Employed  (000)";"..Elementary occupations";11267;10538;11060
"Total Employed  (000)";"..Armed forces occupations and special occupations";100;95;94
"Total Employed  (000)";"..Others";1415;..;..
"Men";"TOTAL";25035;25067;25424
"Men";"..Managers";3570;3147;3119
"Men";"..Professionals";681;747;812
"Men";"..Technicians and associate professionals";679;791;859
"Men";"..Clerical support workers";752;936;969
"Men";"..Service and sales workers";2859;2947;2851
"Men";"..Skilled agricultural, forestry and fishery workers";4184;4502;4223
"Men";"..Craft and related trades workers";2401;2732;2763
"Men";"..Plant and machine operators and assemblers";1989;2229;2347
"Men";"..Elementary occupations";7142;6943;7391
"Men";"..Armed forces occupations and special occupations";93;92;90
"Men";"..Others";685;..;..
"Women";"TOTAL";15963;15267;15732
"Women";"..Managers";3422;3342;3469
"Women";"..Professionals";1293;1402;1431
"Women";"..Technicians and associate professionals";617;742;803
"Women";"..Clerical support workers";1046;1347;1420
"Women";"..Service and sales workers";3072;3122;3320
"Women";"..Skilled agricultural, forestry and fishery workers";924;924;873
"Women";"..Craft and related trades workers";478;466;467
"Women";"..Plant and machine operators and assemblers";250;323;276
"Women";"..Elementary occupations";4125;3595;3668
"Women";"..Armed forces occupations and special occupations";6;3;4
"Women";"..Others";730;..;..
