"Female Share of Employment by Branch of Economic Activity"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E1/0133K3F1130.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sector";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Share of Employed Women to the Total Employed (%)";"TOTAL";36.4;36.8;37.0;37.2;37.8;37.4;38.5;39.1;38.4;37.9;38.4;38.7;38.8;38.5;39.0;39.2;39.3;39.2;39.3;39.5;39.6;38.9;37.9;38.2
"Share of Employed Women to the Total Employed (%)";"..Agriculture";25.1;26.6;26.2;25.5;26.4;24.0;25.5;26.2;25.5;24.5;25.3;25.4;25.6;25.3;25.5;25.7;25.9;25.6;25.5;26.3;25.7;24.9;22.7;22.5
"Share of Employed Women to the Total Employed (%)";"..Industry";30.6;28.6;28.1;28.2;30.0;30.6;30.0;29.5;29.1;28.6;29.6;29.3;28.3;27.2;26.6;25.9;26.3;25.9;25.5;25.2;24.5;22.2;20.5;19.7
"Share of Employed Women to the Total Employed (%)";"..Services";50.9;50.8;50.5;50.6;50.5;50.3;51.9;52.3;51.4;50.8;50.9;51.3;51.3;51.2;51.5;51.6;51.5;51.5;51.3;51.4;51.4;51.0;50.3;51.2
"Total Employed Women (000)";"TOTAL";9354;10016;9754;9917;10489;10259;11232;11756;11762;11968;12403;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;15963;15267;15732
"Total Employed Women (000)";"..Agriculture";2799;3100;2724;2569;2843;2448;2765;2917;2863;2792;2942;2973;3022;3047;3077;3070;3173;3094;3014;3106;2908;2757;2332;2248
"Total Employed Women (000)";"..Industry";1268;1268;1287;1279;1354;1364;1413;1386;1410;1431;1486;1464;1448;1372;1353;1400;1455;1486;1516;1554;1538;1590;1508;1544
"Total Employed Women (000)";"..Services";5289;5647;5743;6069;6294;6447;7054;7453;7493;7745;7978;8185;8549;8709;9228;9644;9990;10172;10438;10626;10889;11616;11427;11940
"Total Employed (000)";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total Employed (000)";"..Agriculture";11147;11645;10416;10091;10774;10181;10850;11122;11220;11381;11628;11682;11786;12030;12044;11956;12267;12093;11835;11801;11294;11064;10261;9998
"Total Employed (000)";"..Industry";4140;4431;4582;4542;4515;4454;4713;4695;4840;4999;5025;4997;5121;5048;5092;5399;5530;5743;5937;6167;6275;7159;7370;7846
"Total Employed (000)";"..Services";10391;11112;11367;11998;12452;12817;13593;14246;14577;15237;15661;15957;16654;17012;17924;18682;19394;19764;20345;20683;21172;22775;22703;23312
