"Frequency Rates of Cases of Occupational Injuries With Workdays Lost in Establishments Employing 20 or More Workers by Region and Incapacity for Work, Philippines: 2021"

"Region";"2021 TOTAL";"2021 ..Fatal";"2021 ..Non-Fatal";"2021 ....Permanent Incapacity";"2021 ....Temporary Incapacity"
"PHILIPPINES";0.97;0.01;0.95;0.02;0.94
"..National Capital Region";0.59;a;0.59;0.02;0.57
"..Cordillera Administrative Region";0.68;0.05;0.63;0.01;0.63
"..Region I - Ilocos Region";0.26;0.01;0.24;0.02;0.23
"..Region II - Cagayan Valley";0.19;0.06;0.13;..;0.13
"..Region III - Central Luzon";1.70;0.06;1.64;0.01;1.63
"..Region IV-A - CALABARZON";0.83;0.01;0.82;0.03;0.79
"..MIMAROPA Region";1.01;0.01;1.00;0.09;0.92
"..Region V - Bicol";0.78;0.03;0.76;0.02;0.74
"..Region VI - Western Visayas";0.77;a;0.77;..;0.77
"..Region VII - Central Visayas";0.50;a;0.50;a;0.50
"..Region VIII - Eastern Visayas";2.99;..;2.99;0.02;2.98
"..Region IX - Zamboanga Peninsula";2.93;..;2.93;..;2.93
"..Region X - Northern Mindanao";1.99;a;1.99;0.03;1.96
"..Region XI - Davao Region";2.37;0.03;2.33;a;2.33
"..Region XII - SOCCSKSARGEN";2.27;0.01;2.27;..;2.27
"..Region XIII - Caraga";1.91;0.08;1.83;0.01;1.82
"..Bangsamoro Autonomous Region in Muslim Mindanao";..;..;..;..;..
