"Gender Wage Gap"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Gender Wage Gap (%)";"TOTAL";..;..;..;..;..;..;-3.9;-3.5;-1.7;-2.4;0.5;2.7;2.0;0.2;-0.1;-1.5;-3.2;-4.6;-5.6;-5.5;-5.4
"Gender Wage Gap (%)";"..Officials of Government and Special Interest-Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;-2.3;-2.7;3.9;1.1;0.5;3.9;1.9;-2.9;-5.1;1.6;-3.2;-3.5;-0.5;-6.7;-3.3
"Gender Wage Gap (%)";"..Professionals";..;..;..;..;..;..;10.8;10.9;12.9;11.2;13.2;12.3;16.7;15.5;13.3;12.2;10.6;8.1;8.8;7.4;8.5
"Gender Wage Gap (%)";"..Technicians and Associate Professionals";..;..;..;..;..;..;5.9;7.7;7.7;9.9;11.6;13.6;12.7;11.3;16.3;14.7;11.9;7.3;11.0;11.7;11.3
"Gender Wage Gap (%)";"..Clerks";..;..;..;..;..;..;5.0;2.1;3.9;2.0;1.1;-3.2;2.4;3.8;5.0;3.7;5.7;2.6;0.6;2.4;3.7
"Gender Wage Gap (%)";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;33.0;35.7;35.8;34.9;35.4;37.2;35.2;35.0;33.9;35.7;34.3;35.6;34.2;32.4;30.8
"Gender Wage Gap (%)";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;20.5;12.5;16.1;16.0;30.2;25.1;37.0;33.8;28.2;24.4;13.3;-25.1;32.1;40.5;-19.6
"Gender Wage Gap (%)";"..Trades and Related Workers";..;..;..;..;..;..;19.4;19.3;18.0;19.9;18.3;24.8;21.5;22.5;22.6;23.5;26.0;25.5;24.3;27.0;27.5
"Gender Wage Gap (%)";"..Plant & Machine Operators and Assemblers";..;..;..;..;..;..;0.6;-3.4;-4.7;-4.9;-2.6;0.3;0.1;-3.0;-6.0;-3.1;-1.1;0.4;3.2;4.1;6.0
"Gender Wage Gap (%)";"..Laborers and Unskilled Workers";..;..;..;..;..;..;20.4;19.5;21.6;22.5;26.9;30.9;25.9;27.5;27.8;26.6;27.1;26.6;25.6;26.9;26.5
"Gender Wage Gap (%)";"..Special Occupations";..;..;..;..;..;..;39.0;37.9;42.5;46.3;46.1;37.3;44.0;32.6;44.9;35.1;36.8;16.4;19.1;6.8;5.7
" Average Daily Basic Pay (PhP) - Men";"TOTAL";..;..;..;..;..;..;219.03;223.37;228.63;232.00;245.82;264.76;268.79;279.17;290.64;304.67;313.42;327.80;341.66;359.52;370.79
" Average Daily Basic Pay (PhP) - Men";"..Officials of Government and Special Interest-Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;484.58;505.37;541.09;561.80;581.80;639.61;649.15;665.90;673.89;729.05;738.78;791.14;841.53;833.31;854.63
" Average Daily Basic Pay (PhP) - Men";"..Professionals";..;..;..;..;..;..;518.01;530.99;541.19;553.87;555.76;567.42;605.87;625.81;649.35;691.36;732.41;763.66;811.99;832.90;857.68
" Average Daily Basic Pay (PhP) - Men";"..Technicians and Associate Professionals";..;..;..;..;..;..;331.41;359.74;354.19;361.20;381.63;445.28;417.86;435.30;471.51;478.85;489.29;479.59;533.62;547.13;549.88
" Average Daily Basic Pay (PhP) - Men";"..Clerks";..;..;..;..;..;..;266.22;266.80;275.17;277.01;296.44;323.97;342.95;363.31;382.43;404.46;426.62;432.57;447.48;464.04;485.28
" Average Daily Basic Pay (PhP) - Men";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;228.26;238.16;242.66;247.38;250.26;263.29;270.89;281.31;294.05;309.59;314.45;321.58;334.08;345.15;352.45
" Average Daily Basic Pay (PhP) - Men";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;116.29;116.79;117.47;129.97;138.91;163.36;183.11;174.37;179.13;187.50;197.39;323.33;294.85;293.90;297.62
" Average Daily Basic Pay (PhP) - Men";"..Trades and Related Workers";..;..;..;..;..;..;206.66;211.98;219.29;226.38;236.91;259.73;261.65;272.34;281.30;290.81;302.37;315.79;323.18;337.14;349.83
" Average Daily Basic Pay (PhP) - Men";"..Plant & Machine Operators and Assemblers";..;..;..;..;..;..;221.80;219.90;227.30;231.74;247.48;264.10;278.18;284.94;293.87;308.49;320.88;336.59;350.07;363.01;374.81
" Average Daily Basic Pay (PhP) - Men";"..Laborers and Unskilled Workers";..;..;..;..;..;..;131.49;133.63;138.29;142.86;152.21;166.35;165.40;172.96;179.80;188.64;195.79;204.94;213.89;230.19;239.93
" Average Daily Basic Pay (PhP) - Men";"..Special Occupations";..;..;..;..;..;..;335.05;358.67;397.52;403.88;454.30;471.55;520.02;500.45;546.64;537.43;608.23;729.05;768.10;846.97;826.67
" Average Daily Basic Pay (PhP) - Women";"TOTAL";..;..;..;..;..;..;227.52;231.11;232.52;237.53;244.71;257.60;263.42;278.56;290.88;309.32;323.53;343.04;360.70;379.34;390.68
" Average Daily Basic Pay (PhP) - Women";"..Officials of Government and Special Interest-Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;495.87;518.81;520.03;555.90;579.08;614.94;636.79;685.32;708.10;717.39;762.55;818.64;845.37;889.53;882.96
" Average Daily Basic Pay (PhP) - Women";"..Professionals";..;..;..;..;..;..;462.31;473.24;471.35;491.77;482.43;497.60;504.59;529.07;562.90;606.93;655.12;701.85;740.20;771.61;784.60
" Average Daily Basic Pay (PhP) - Women";"..Technicians and Associate Professionals";..;..;..;..;..;..;311.83;332.21;326.93;325.28;337.38;384.76;364.77;386.08;394.76;408.42;431.05;444.78;475.10;483.25;487.99
" Average Daily Basic Pay (PhP) - Women";"..Clerks";..;..;..;..;..;..;252.98;261.24;264.35;271.44;293.26;334.47;334.71;349.57;363.37;389.40;402.51;421.48;444.72;452.69;467.47
" Average Daily Basic Pay (PhP) - Women";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;153.02;153.06;155.84;161.11;161.64;165.36;175.60;182.82;194.49;199.09;206.44;207.01;219.86;233.29;243.93
" Average Daily Basic Pay (PhP) - Women";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;92.43;102.23;98.53;109.14;97.02;122.29;115.29;115.38;128.54;141.74;171.06;404.47;200.08;174.94;356.10
" Average Daily Basic Pay (PhP) - Women";"..Trades and Related Workers";..;..;..;..;..;..;166.47;171.01;179.79;181.29;193.53;195.22;205.43;211.07;217.82;222.45;223.66;235.38;244.59;246.10;253.74
" Average Daily Basic Pay (PhP) - Women";"..Plant & Machine Operators and Assemblers";..;..;..;..;..;..;220.56;227.28;237.93;243.05;254.03;263.40;277.77;293.39;311.62;318.05;324.49;335.20;338.71;348.07;352.25
" Average Daily Basic Pay (PhP) - Women";"..Laborers and Unskilled Workers";..;..;..;..;..;..;104.67;107.61;108.40;110.77;111.33;114.94;122.50;125.33;129.88;138.52;142.80;150.40;159.18;168.33;176.41
" Average Daily Basic Pay (PhP) - Women";"..Special Occupations";..;..;..;..;..;..;204.44;222.74;228.65;216.92;244.80;295.81;291.39;337.39;301.44;348.64;384.59;609.32;621.01;789.39;779.82
