"Gross Domestic Product (GDP) by Branch of Economic Activity at Constant 2000 Prices"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E1/0013K3F1010.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sector";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"GDP by Branch of Economic Activity at Constant 2000 Prices Growth Rate (%)";"TOTAL";4.7;5.8;5.2;-0.6;3.1;4.4;2.9;3.6;5.0;6.7;4.8;5.2;6.6;4.2;1.1;7.6;3.7;6.7;7.1;6.1;6.1;6.9;6.7;6.2
"GDP by Branch of Economic Activity at Constant 2000 Prices Growth Rate (%)";"..Agriculture";0.6;3.7;2.9;-7.0;9.6;3.4;3.4;3.3;4.7;4.3;2.2;3.6;4.7;3.2;-0.7;-0.2;2.6;2.8;1.1;1.7;0.1;-1.2;4.0;0.9
"GDP by Branch of Economic Activity at Constant 2000 Prices Growth Rate (%)";"..Industry";6.4;6.3;6.0;-2.7;-1.5;6.5;1.0;2.9;4.3;5.2;4.2;4.6;5.8;4.8;-1.9;11.6;1.9;7.3;9.2;7.8;6.4;8.1;7.1;6.7
"GDP by Branch of Economic Activity at Constant 2000 Prices Growth Rate (%)";"..Services";4.7;6.2;5.3;2.8;4.5;3.3;4.0;4.2;5.5;8.3;5.8;6.0;7.6;4.0;3.4;7.2;4.9;7.1;7.0;6.0;6.9;7.5;6.8;6.8
"Percent Distribution";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percent Distribution";"..Agriculture";14.8;14.5;14.2;13.3;14.1;14.0;14.0;14.0;14.0;13.6;13.3;13.1;12.9;12.8;12.5;11.6;11.5;11.1;10.5;10.0;9.5;8.8;8.5;8.1
"Percent Distribution";"..Industry";35.7;35.8;36.1;35.3;33.8;34.5;33.8;33.6;33.3;32.9;32.7;32.5;32.2;32.4;31.5;32.6;32.0;32.2;32.9;33.4;33.5;33.9;34.0;34.1
"Percent Distribution";"..Services";49.5;49.7;49.7;51.4;52.1;51.6;52.1;52.4;52.7;53.5;54.0;54.4;54.9;54.8;56.0;55.8;56.5;56.7;56.7;56.6;57.0;57.4;57.5;57.8
"GDP at Constant 2000 Prices (PhP Million)";"TOTAL";3005541;3181241;3346200;3326902;3429434;3580714;3684340;3818667;4008469;4276941;4481279;4716231;5028288;5237101;5297240;5701539;5910201;6305229;6750631;7165478;7600175;8123375;8665818;9206889
"GDP at Constant 2000 Prices (PhP Million)";"..Agriculture";444454;460680;474230;441167;483739;500111;517332;534509;559470;583629;596727;618457;647687;668550;663744;662665;679835;698978;706957;718797;719742;711001;739195;745781
"GDP at Constant 2000 Prices (PhP Million)";"..Industry";1073061;1140257;1208518;1175381;1157967;1233773;1245634;1281634;1336430;1406338;1465272;1532814;1621226;1699171;1666601;1859515;1893950;2031443;2219068;2391268;2545411;2750593;2945538;3142846
"GDP at Constant 2000 Prices (PhP Million)";"..Services";1488026;1580304;1663452;1710354;1787728;1846830;1921373;2002525;2112569;2286974;2419280;2564959;2759375;2869379;2966895;3179359;3336416;3574808;3824606;4055413;4335022;4661781;4981084;5318262
