"Hard-to-Fill Occupations by Number of Vacancies and Applicants in Establishments with 20 or More Workers, Philippines: January 2013 - June 2014 to January 2015 - July 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/3501B3GS040.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"Major Occupation Group";"2014 Number of Vacancies";"2014 Number of Applicants";"2016 Number of Vacancies";"2016 Number of Applicants"
"ALL OCCUPATIONS";131471;559591;148868;783431
"..Corporate Executives, Managers, Managing Proprietors and Supervisors";8713;78009;8606;60679
"..Professionals";38214;182540;40813;265305
"..Technicians and Associate Professionals";32285;107696;21817;134217
"..Clerks";28222;144567;33462;217858
"..Service Workers and Shop and Market Sales Workers";6248;19426;15946;62315
"..Farmers, Forestry Workers and Fishermen";305;699;60;109
"..Craft and Related Trades Workers";6240;9126;14455;22141
"..Plant and Machine Operators and Assemblers";7532;12856;8869;13658
"..Laborers and Unskilled Workers";3712;4673;4840;7150
