"Hard-to-fill Occupations by Number of Vacancies and Applicants in Establishments with 20 or More Workers, Philippines: July 2017 - June 2018 to September 2021 - August 2022"

"Major Occupation Group";"2018 Number of Vacancies";"2018 Number of Applicants";"2020 Number of Vacancies";"2020 Number of Applicants";"2022 Number of Vacancies";"2022 Number of Applicants"
"ALL OCCUPATIONS";221232;816665;96455;545488;239254;524651
"..Managers";9095;72982;1611;29756;7466;26704
"..Professionals";35417;150037;20201;155115;47841;133326
"..Technicians and associate professionals";29068;136811;12875;140054;36771;110036
"..Clerical support workers";101469;373821;27229;162964;76413;147694
"..Service and sales workers";15662;35905;10075;27063;33399;57213
"..Skilled agricultural, forestry and fishery workers";481;759;41;124;1687;1787
"..Craft and related trades workers";15537;21688;10421;8417;9191;11291
"..Plant and machine operators and assemblers";7402;15449;7386;11328;16326;22486
"..Elementary occupations";7102;9214;6615;10666;10161;14115
