"Household Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0021A6DPAG0.px/table/tableViewLayout1/?rxid=4bef55ae-6979-4e42-b91c-a09cdad01a99"
"""Geographic Location"";""Both Sexes All Ages"";""Both Sexes Below 5"";""Both Sexes 5-9"";""Both Sexes 10-14"";""Both Sexes 15-19"";""Both Sexes 20-24"";""Both Sexes 25-29"";""Both Sexes 30-34"";""Both Sexes 35-39"";""Both Sexes 40-44"";""Both Sexes 45-49"";""Both Sexes 50-54"";""Both Sexes 55-59"";""Both Sexes 60-64"";""Both Sexes 65-69"";""Both Sexes 70-74"";""Both Sexes 75-79"";""Both Sexes 80 years old and over"";""Male All Ages"";""Male Below 5"";""Male 5-9"";""Male 10-14"";""Male 15-19"";""Male 20-24"";""Male 25-29"";""Male 30-34"";""Male 35-39"";""Male 40-44"";""Male 45-49"";""Male 50-54"";""Male 55-59"";""Male 60-64"";""Male 65-69"";""Male 70-74"";""Male 75-79"";""Male 80 years old and over"";""Female All Ages"";""Female Below 5"";""Female 5-9"";""Female 10-14"";""Female 15-19"";""Female 20-24"";""Female 25-29"";""Female 30-34"";""Female 35-39"";""Female 40-44"";""Female 45-49"";""Female 50-54"";""Female 55-59"";""Female 60-64"";""Female 65-69"";""Female 70-74"";""Female 75-79"";""Female 80 years old and over""",,,,
" ""PHILIPPINES /a"";108667043;11066707;11266823;11080715;10459186;9969846;9172896;8120568;7179320;6491312;5571168;4941712;4124118;3367223;2393521;1575398;930610;955920;55017643;5712817;5840155;5716464;5344532;5073881;4669488;4175658;3676838;3326411;2843263;2486661;2048881;1627460;1111215;682312;365443;316164;53649400;5353890;5426668;5364251;5114654;4895965;4503408;3944910;3502482;3164901;2727905;2455051;2075237;1739763;1282306;893086;565167;639756",,,,
" ""..NATIONAL CAPITAL REGION (NCR)"";13403551;1279455;1237358;1176552;1116332;1275404;1288164;1163432;1007583;885774;741559;648401;527921;421094;279636;176093;88354;90439;6674239;660748;641557;608186;566962;638921;648797;593552;506933;441278;365802;312085;247287;191240;121505;71391;31616;26379;6729312;618707;595801;568366;549370;636483;639367;569880;500650;444496;375757;336316;280634;229854;158131;104702;56738;64060",,,,
" ""....City of Manila"";1837785;169197;166219;158492;157479;179543;177304;154671;132764;118295;101184;92142;75686;60909;40744;26745;12888;13523;912803;87379;86176;81613;79738;89862;89314;79429;67126;59096;50085;44256;35414;27409;17420;10541;4440;3505;924982;81818;80043;76879;77741;89681;87990;75242;65638;59199;51099;47886;40272;33500;23324;16204;8448;10018",,,,
" ""....City of Mandaluyong"";419333;38658;36691;34543;31431;43497;45661;38642;32157;27448;22870;19479;15805;12554;8507;5673;2900;2817;206818;19973;18719;17746;15825;21507;22894;19568;16066;13780;11296;9384;7165;5477;3546;2147;989;736;212515;18685;17972;16797;15606;21990;22767;19074;16091;13668;11574;10095;8640;7077;4961;3526;1911;2081",,,,
" ""....City of Marikina"";452961;42157;42273;41145;38225;40551;40231;36153;32099;29570;26155;23282;19083;15700;11067;7303;3713;4254;224014;21804;21899;21415;19465;20378;19981;18311;15793;14582;12560;11161;9008;7220;4768;2969;1324;1376;228947;20353;20374;19730;18760;20173;20250;17842;16306;14988;13595;12121;10075;8480;6299;4334;2389;2878",,,,
" ""....City of Pasig"";801439;81142;78013;71008;65599;71983;76433;71548;62271;53920;43827;36904;29210;23382;15952;10218;5029;5000;397387;41770;40399;36887;33210;35711;37907;36103;31334;26727;21545;17673;13572;10332;6667;4242;1774;1534;404052;39372;37614;34121;32389;36272;38526;35445;30937;27193;22282;19231;15638;13050;9285;5976;3255;3466",,,,
" ""....Quezon City"";2950493;291124;276416;258418;241493;274038;276410;252021;219307;195077;165706;146235;119573;94313;61459;37828;19784;21291;1465480;149971;143125;134154;122294;137129;139223;128187;110066;96425;81173;69846;55691;42767;26714;15372;7138;6205;1485013;141153;133291;124264;119199;136909;137187;123834;109241;98652;84533;76389;63882;51546;34745;22456;12646;15086",,,,
" ""....City of San Juan"";124699;10650;10024;9604;8923;11514;11381;10714;9586;8834;7618;6841;5989;4794;3346;2263;1201;1417;60124;5475;5186;5055;4542;5562;5510;5263;4658;4185;3622;3256;2659;2050;1352;958;383;408;64575;5175;4838;4549;4381;5952;5871;5451;4928;4649;3996;3585;3330;2744;1994;1305;818;1009",,,,
" ""....City of Caloocan"";1659025;167266;164478;156972;149846;157942;152446;134931;118704;105656;89306;79300;63898;49784;31316;18942;9470;8768;835738;87000;85677;80811;76819;79622;77308;69105;60200;53258;44930;39177;30641;23519;14047;7661;3386;2577;823287;80266;78801;76161;73027;78320;75138;65826;58504;52398;44376;40123;33257;26265;17269;11281;6084;6191",,,,
" ""....City of Malabon"";379463;35984;36529;35817;34437;36859;34372;30303;26880;24617;20863;18149;14985;11945;7819;5072;2414;2418;191974;18636;19031;18538;17698;18743;17675;15740;13641;12488;10573;9053;7335;5559;3518;2129;911;706;187489;17348;17498;17279;16739;18116;16697;14563;13239;12129;10290;9096;7650;6386;4301;2943;1503;1712",,,,
