"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020"

"Type of Building";"Geographic Location";"Occupied Housing Units";"Number of Households /a";"Household Population /a"
"All Types of Building";"PHILIPPINES";25191610;26376522;108597147
"All Types of Building";"..NATIONAL CAPITAL REGION (NCR)";3257020;3494685;13388141
"All Types of Building";"....City of Manila";447791;483508;1829294
"All Types of Building";"....City of Mandaluyong";108859;116513;417467
"All Types of Building";"....City of Marikina";97768;104406;452940
"All Types of Building";"....City of Pasig";196744;212866;801376
"All Types of Building";"....Quezon City";697332;738367;2949533
"All Types of Building";"....City of San Juan";29503;31415;124339
"All Types of Building";"....City of Caloocan";379922;404137;1658765
"All Types of Building";"....City of Malabon";88079;94232;379434
"All Types of Building";"....City of Navotas";55476;63061;246351
"All Types of Building";"....City of Valenzuela";177749;192983;713139
"All Types of Building";"....City of Las Piñas";142990;156756;603685
"All Types of Building";"....City of Makati";180256;186238;623662
"All Types of Building";"....City of Muntinlupa";126655;138176;518584
"All Types of Building";"....City of Parañaque";170674;182109;685951
"All Types of Building";"....Pasay City";114778;127290;436178
"All Types of Building";"....City of Taguig";228341;246790;882379
"All Types of Building";"....Pateros";14103;15838;65064
"All Types of Building";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";432668;439149;1791091
"All Types of Building";"....Abra";56928;58954;250304
"All Types of Building";"....Apayao";28385;28861;123929
"All Types of Building";"....Benguet *";115716;116690;459466
"All Types of Building";"....Ifugao";48379;48756;207130
"All Types of Building";"....Kalinga";47778;48077;229326
"All Types of Building";"....Mountain Province";37534;37601;157798
"All Types of Building";"....City of Baguio";97948;100210;363138
"All Types of Building";"..REGION I (ILOCOS REGION)";1231448;1306220;5292238
"All Types of Building";"....Ilocos Norte";141731;152970;608506
"All Types of Building";"....Ilocos Sur";164711;172042;704206
"All Types of Building";"....La Union";192998;205028;820335
"All Types of Building";"....Pangasinan";732008;776180;3159191
"All Types of Building";"..REGION II (CAGAYAN VALLEY)";875592;907344;3679333
"All Types of Building";"....Batanes";5174;5546;18591
"All Types of Building";"....Cagayan";291652;301509;1265508
"All Types of Building";"....Isabela";405425;422569;1695178
"All Types of Building";"....Nueva Vizcaya";124274;128175;496527
"All Types of Building";"....Quirino";49067;49545;203529
"All Types of Building";"..REGION III (CENTRAL LUZON)";2892184;3039882;12385775
"All Types of Building";"....Aurora";56540;57036;234990
"All Types of Building";"....Bataan";199002;208879;849326
"All Types of Building";"....Bulacan";865286;920457;3696426
"All Types of Building";"....Nueva Ecija";546068;572551;2306669
"All Types of Building";"....Pampanga *";540236;573763;2432614
"All Types of Building";"....Tarlac";350479;359534;1498969
"All Types of Building";"....Zambales *";161255;164922;647100
"All Types of Building";"....City of Angeles";109497;116318;461081
"All Types of Building";"....City of Olongapo";63821;66422;258600
"All Types of Building";"..REGION IV-A (CALABARZON)";3820739;4061996;16137200
"All Types of Building";"....Batangas";674774;715915;2901695
"All Types of Building";"....Cavite";1036970;1095917;4317998
"All Types of Building";"....Laguna";834930;915250;3372585
"All Types of Building";"....Quezon *";463376;483655;1945356
"All Types of Building";"....Rizal";746907;784360;3321226
"All Types of Building";"....City of Lucena";63782;66899;278340
"All Types of Building";"..MIMAROPA REGION";781435;792789;3212067
"All Types of Building";"....Marinduque";59263;60547;238815
"All Types of Building";"....Occidental Mindoro";125023;126627;521436
"All Types of Building";"....Oriental Mindoro";212416;215071;906654
"All Types of Building";"....Palawan *";228788;230809;934601
"All Types of Building";"....Romblon";75895;77635;308068
"All Types of Building";"....City of Puerto Princesa";80050;82100;302493
"All Types of Building";"..REGION V (BICOL REGION)";1342578;1364824;6066724
"All Types of Building";"....Albay";305362;311416;1372454
"All Types of Building";"....Camarines Norte";142094;144139;628788
"All Types of Building";"....Camarines Sur";445150;455217;2062175
"All Types of Building";"....Catanduanes";59815;60336;270759
"All Types of Building";"....Masbate";204668;206278;906429
"All Types of Building";"....Sorsogon";185489;187438;826119
"All Types of Building";"..REGION VI (WESTERN VISAYAS)";1896202;1939744;7935106
"All Types of Building";"....Aklan";147890;151373;612972
"All Types of Building";"....Antique";146370;147681;611453
"All Types of Building";"....Capiz";199268;202026;803856
"All Types of Building";"....Guimaras";47137;47474;187574
"All Types of Building";"....Iloilo *";499274;506167;2048000
"All Types of Building";"....Negros Occidental *";619110;637910;2618581
"All Types of Building";"....City of Bacolod";138999;142813;597409
"All Types of Building";"....City of Iloilo";98154;104300;455261
"All Types of Building";"..REGION VII (CENTRAL VISAYAS)";1909857;1965256;8042202
"All Types of Building";"....Bohol";319246;321983;1390438
"All Types of Building";"....Cebu *";774454;799368;3309504
"All Types of Building";"....Negros Oriental";343272;347927;1428486
"All Types of Building";"....Siquijor";25698;25803;103012
"All Types of Building";"....City of Cebu";219984;237797;957125
"All Types of Building";"....City of Lapu-Lapu (Opon)";127300;129628;494605
"All Types of Building";"....City of Mandaue";99903;102750;359032
"All Types of Building";"..REGION VIII (EASTERN VISAYAS)";1068259;1081813;4530441
"All Types of Building";"....Biliran";42634;43049;178711
"All Types of Building";"....Eastern Samar";114960;115766;475818
"All Types of Building";"....Leyte *";438893;443328;1770416
"All Types of Building";"....Northern Samar";137759;139842;636790
"All Types of Building";"....Samar (Western Samar)";178614;181732;790851
"All Types of Building";"....Southern Leyte";100046;100860;428465
"All Types of Building";"....City of Tacloban";55353;57236;249390
"All Types of Building";"..REGION IX (ZAMBOANGA PENINSULA)";858337;895285;3859667
"All Types of Building";"....Zamboanga del Norte";240805;247968;1046014
"All Types of Building";"....Zamboanga del Sur *";232500;239224;1048302
"All Types of Building";"....Zamboanga Sibugay";151206;154664;668639
"All Types of Building";"....City of Isabela **";24305;26646;130121
"All Types of Building";"....City of Zamboanga";209521;226783;966591
"All Types of Building";"..REGION X (NORTHERN MINDANAO)";1131542;1197420;5006698
"All Types of Building";"....Bukidnon";347980;357098;1537581
"All Types of Building";"....Camiguin";21821;22281;92696
"All Types of Building";"....Lanao del Norte *";137943;161392;721413
"All Types of Building";"....Misamis Occidental";145529;149125;614710
"All Types of Building";"....Misamis Oriental *";218537;230203;954901
"All Types of Building";"....City of Cagayan de Oro";177951;190099;723249
"All Types of Building";"....City of Iligan";81781;87222;362148
"All Types of Building";"..REGION XI (DAVAO REGION)";1285860;1336312;5218312
"All Types of Building";"....Davao de Oro (Compostela Valley)";184649;188900;766253
"All Types of Building";"....Davao del Norte";264129;271649;1115154
"All Types of Building";"....Davao del Sur *";176400;181436;674783
"All Types of Building";"....Davao Occidental";76739;78182;316893
"All Types of Building";"....Davao Oriental";134328;140059;574975
"All Types of Building";"....City of Davao";449615;476086;1770254
"All Types of Building";"..REGION XII (SOCCSKSARGEN)";1037179;1063624;4344294
"All Types of Building";"....Cotabato (North Cotabato)";300107;306710;1266448
"All Types of Building";"....Sarangani";130972;133863;558065
"All Types of Building";"....South Cotabato *";238720;244981;973136
"All Types of Building";"....Sultan Kudarat";195885;202730;851254
"All Types of Building";"....City of General Santos (Dadiangas)";171495;175340;695391
"All Types of Building";"..REGION XIII (CARAGA)";645835;660813;2792139
"All Types of Building";"....Agusan del Norte *";88064;90991;386125
"All Types of Building";"....Agusan del Sur";171961;173953;737953
"All Types of Building";"....Dinagat Islands";28447;29391;127963
"All Types of Building";"....Surigao del Norte";123575;126542;528740
"All Types of Building";"....Surigao del Sur";147305;150535;640456
"All Types of Building";"....City of Butuan";86483;89401;370902
"All Types of Building";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";724875;829366;4915719
"All Types of Building";"....Basilan";69327;73419;425111
"All Types of Building";"....Lanao del Sur";130552;181511;1179268
"All Types of Building";"....Maguindanao";266763;287283;1666348
"All Types of Building";"....Sulu";146622;164729;991122
"All Types of Building";"....Tawi-Tawi";65741;74757;438526
"All Types of Building";"....Eight (8) Area Clusters ***";45870;47667;215344
"Single house";"PHILIPPINES";22059348;23086355;96561887
"Single house";"..NATIONAL CAPITAL REGION (NCR)";2161188;2341016;9328998
"Single house";"....City of Manila";252720;277663;1087466
"Single house";"....City of Mandaluyong";55824;60997;236713
"Single house";"....City of Marikina";77125;82978;365761
"Single house";"....City of Pasig";113387;124121;489493
"Single house";"....Quezon City";521248;554889;2270637
"Single house";"....City of San Juan";15478;16664;68052
"Single house";"....City of Caloocan";294947;314759;1311387
"Single house";"....City of Malabon";77315;82935;335554
"Single house";"....City of Navotas";46919;53708;209511
"Single house";"....City of Valenzuela";112612;123616;465998
"Single house";"....City of Las Piñas";111899;123735;485181
"Single house";"....City of Makati";70814;73564;285535
"Single house";"....City of Muntinlupa";89550;98562;382472
"Single house";"....City of Parañaque";131629;140583;545000
"Single house";"....Pasay City";56954;65408;239843
"Single house";"....City of Taguig";122616;135188;501736
"Single house";"....Pateros";10151;11646;48659
"Single house";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";404056;409770;1698540
"Single house";"....Abra";56294;58304;247925
"Single house";"....Apayao";28270;28743;123480
"Single house";"....Benguet *";107550;108394;433168
"Single house";"....Ifugao";48063;48437;205930
"Single house";"....Kalinga";47595;47894;228685
"Single house";"....Mountain Province";37153;37210;156586
"Single house";"....City of Baguio";79131;80788;302766
"Single house";"..REGION I (ILOCOS REGION)";1182346;1254980;5099562
"Single house";"....Ilocos Norte";134694;145536;581279
"Single house";"....Ilocos Sur";160188;167290;685658
"Single house";"....La Union";184705;196408;788853
"Single house";"....Pangasinan";702759;745746;3043772
"Single house";"..REGION II (CAGAYAN VALLEY)";841530;872355;3551112
"Single house";"....Batanes";5133;5505;18463
"Single house";"....Cagayan";281216;290801;1224751
"Single house";"....Isabela";388832;405502;1632395
"Single house";"....Nueva Vizcaya";118033;121758;474748
"Single house";"....Quirino";48316;48789;200755
"Single house";"..REGION III (CENTRAL LUZON)";2456831;2585593;10621306
"Single house";"....Aurora";55324;55815;230536
"Single house";"....Bataan";171968;180934;748411
"Single house";"....Bulacan";628197;671305;2708379
"Single house";"....Nueva Ecija";513407;539001;2180258
"Single house";"....Pampanga *";479636;510491;2183094
"Single house";"....Tarlac";326486;335164;1402568
"Single house";"....Zambales *";147677;151166;596640
"Single house";"....City of Angeles";90348;96350;387094
"Single house";"....City of Olongapo";43788;45367;184326
"Single house";"..REGION IV-A (CALABARZON)";2840540;3019333;12254076
"Single house";"....Batangas";574697;610659;2519128
"Single house";"....Cavite";621682;662914;2674765
"Single house";"....Laguna";567636;616880;2344690
"Single house";"....Quezon *";435565;454656;1836524
"Single house";"....Rizal";584757;615189;2630844
"Single house";"....City of Lucena";56203;59035;248125
"Single house";"..MIMAROPA REGION";754072;765068;3117228
"Single house";"....Marinduque";58344;59612;235506
"Single house";"....Occidental Mindoro";121610;123182;509252
"Single house";"....Oriental Mindoro";202737;205282;870578
"Single house";"....Palawan *";224346;226333;919415
"Single house";"....Romblon";74119;75828;301307
"Single house";"....City of Puerto Princesa";72916;74831;281170
"Single house";"..REGION V (BICOL REGION)";1299345;1320904;5890855
"Single house";"....Albay";295035;300866;1330773
"Single house";"....Camarines Norte";136834;138784;607895
"Single house";"....Camarines Sur";425054;434828;1979266
"Single house";"....Catanduanes";59114;59625;268062
"Single house";"....Masbate";202151;203737;895936
"Single house";"....Sorsogon";181157;183064;808923
"Single house";"..REGION VI (WESTERN VISAYAS)";1828573;1870861;7675756
"Single house";"....Aklan";143935;147355;598359
"Single house";"....Antique";143788;145081;601491
