"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"

"Type of Building";"Geographic Location";"Total";"One Floor";"Two Floors";"Three Floors";"Four Floors";"Five to 10 Floors";"11 Floors or more";"Not Reported";"Not applicable"
"All Types of Building";"PHILIPPINES";25191610;19990317;4261607;509971;142212;98848;142133;44848;1674
"All Types of Building";"..NATIONAL CAPITAL REGION (NCR)";3257020;1262502;1272435;357109;112963;88067;138377;25168;399
"All Types of Building";"....City of Manila";447791;57192;212630;83186;35801;24969;22700;11083;230
"All Types of Building";"....City of Mandaluyong";108859;9099;45073;17948;9966;5909;18852;2004;8
"All Types of Building";"....City of Marikina";97768;41374;46043;8860;1195;183;54;57;2
"All Types of Building";"....City of Pasig";196744;63237;84750;25553;6387;10106;6088;621;2
"All Types of Building";"....Quezon City";697332;321033;268331;61496;15519;12969;13839;4114;31
"All Types of Building";"....City of San Juan";29503;2893;13937;4935;2157;1432;2887;1247;15
"All Types of Building";"....City of Caloocan";379922;232594;112233;24340;5662;4071;37;978;7
"All Types of Building";"....City of Malabon";88079;39665;40717;6010;678;713;43;210;43
"All Types of Building";"....City of Navotas";55476;26766;23710;4226;524;128;0;112;10
"All Types of Building";"....City of Valenzuela";177749;103012;53146;17314;1876;1839;210;351;1
"All Types of Building";"....City of Las Piñas";142990;64174;65781;10169;1661;542;567;91;5
"All Types of Building";"....City of Makati";180256;42489;49833;17172;8293;7858;53140;1462;9
"All Types of Building";"....City of Muntinlupa";126655;65619;48159;8242;2241;1079;944;363;8
"All Types of Building";"....City of Parañaque";170674;68316;78220;14114;3007;3283;3113;612;9
"All Types of Building";"....Pasay City";114778;20382;50366;16991;8146;4639;12969;1272;13
"All Types of Building";"....City of Taguig";228341;97247;73957;35597;9675;8347;2934;578;6
"All Types of Building";"....Pateros";14103;7410;5549;956;175;0;0;13;0
"All Types of Building";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";432668;245535;132753;34681;13414;4759;126;1353;47
"All Types of Building";"....Abra";56928;45054;11390;423;41;1;0;19;0
"All Types of Building";"....Apayao";28385;23846;4438;76;16;0;0;3;6
"All Types of Building";"....Benguet *";115716;55981;42240;11489;4679;700;0;595;32
"All Types of Building";"....Ifugao";48379;36737;10754;682;142;14;1;49;0
"All Types of Building";"....Kalinga";47778;39315;8082;362;19;0;0;0;0
"All Types of Building";"....Mountain Province";37534;18212;17133;1671;388;84;0;45;1
"All Types of Building";"....City of Baguio";97948;26390;38716;19978;8129;3960;125;642;8
"All Types of Building";"..REGION I (ILOCOS REGION)";1231448;1065492;158913;5910;669;55;1;358;50
"All Types of Building";"....Ilocos Norte";141731;118513;22173;883;129;20;0;7;6
"All Types of Building";"....Ilocos Sur";164711;136485;27308;807;84;9;0;15;3
"All Types of Building";"....La Union";192998;168098;23615;1105;159;5;0;11;5
"All Types of Building";"....Pangasinan";732008;642396;85817;3115;297;21;1;325;36
"All Types of Building";"..REGION II (CAGAYAN VALLEY)";875592;778376;92805;3865;448;10;1;80;7
"All Types of Building";"....Batanes";5174;3909;1224;37;1;0;0;2;1
"All Types of Building";"....Cagayan";291652;249007;40307;2027;278;10;1;22;0
"All Types of Building";"....Isabela";405425;372559;31733;1012;87;0;0;34;0
