"Incidence Rate of Occupational Injuries, Non-Fatalities per 100,000 Employed Persons"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E9/0763K3E9020.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Incidence Rate of Occupational Injuries, Non-Fatalities per 100,000 Employed Persons";"TOTAL";..;..;..;..;..;1399;..;842;968;..;..;..;695;..;615;..;565;..;484;..;426;..;..
"Incidence Rate of Occupational Injuries, Non-Fatalities per 100,000 Employed Persons";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1539;..;1313;..;1349;..;..
"Incidence Rate of Occupational Injuries, Non-Fatalities per 100,000 Employed Persons";"..Industry";..;..;..;..;..;2308;..;1406;1553;..;..;..;1263;..;1136;..;1001;..;871;..;750;..;..
"Incidence Rate of Occupational Injuries, Non-Fatalities per 100,000 Employed Persons";"..Services";..;..;..;..;..;578;..;380;507;..;..;..;346;..;338;..;276;..;236;..;222;..;..
"Incidence Rate of Occupational Injuries, Non-Fatalities per 100,000 Employed Persons";"..Permanent incapacity";..;..;..;..;..;10;..;13;5;..;..;..;6;..;5;..;8;..;4;..;9;..;..
"Incidence Rate of Occupational Injuries, Non-Fatalities per 100,000 Employed Persons";"..Temporary incapacity";..;..;..;..;..;1390;..;829;962;..;..;..;689;..;609;..;557;..;480;..;456;..;..
"Total Cases of Occupational Injuries, Non-Fatal";"TOTAL";..;..;..;..;..;26289;..;21477;23095;..;..;..;20270;..;17601;..;20474;..;20432;..;17703;..;..
"Total Cases of Occupational Injuries, Non-Fatal";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2477;..;2744;..;1862;..;..
"Total Cases of Occupational Injuries, Non-Fatal";"..Industry";..;..;..;..;..;20583;..;16143;16324;..;..;..;14009;..;11272;..;11652;..;11288;..;9849;..;..
"Total Cases of Occupational Injuries, Non-Fatal";"..Services";..;..;..;..;..;5706;..;5335;6772;..;..;..;6260;..;6328;..;6346;..;6400;..;5992;..;..
"Total Cases of Occupational Injuries, Non-Fatal";"..Permanent incapacity";..;..;..;..;..;179;..;321;131;..;..;..;162;..;154;..;289;..;175;..;358;..;..
"Total Cases of Occupational Injuries, Non-Fatal";"..Temporary incapacity";..;..;..;..;..;26110;..;21156;22964;..;..;..;20109;..;17447;..;20185;..;20257;..;17346;..;..
"Total Employed (000)";"TOTAL";..;..;..;..;..;1879;..;2551;2386;..;..;..;2918;..;2864;..;3624;..;4218;..;4156;..;..
"Total Employed (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;161;..;209;..;138;..;..
"Total Employed (000)";"..Industry";..;..;..;..;..;892;..;1148;1051;..;..;..;1109;..;992;..;1164;..;1296;..;1313;..;..
"Total Employed (000)";"..Services";..;..;..;..;..;987;..;1403;1335;..;..;..;1808;..;1872;..;2299;..;2712;..;2705;..;..
"Total Employed (000)";"..Permanent incapacity";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total Employed (000)";"..Temporary incapacity";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
