"Incidence Rate of Occupational Diseases per 100,000 Employed Persons by Branch of Economic Activity"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Incidence rate of occupational diseases, per 100,000 employed persons";"TOTAL";..;..;..;..;..;..;..;..;2322;..;..;..;1619;..;2510;..;2359;..;4073;..;3031;..;..;..
"Incidence rate of occupational diseases, per 100,000 employed persons";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1712;..;2298;..;3728;..;..;..
"Incidence rate of occupational diseases, per 100,000 employed persons";"..Industry";..;..;..;..;..;..;..;..;3670;..;..;..;2455;..;4288;..;3072;..;5317;..;3418;..;..;..
"Incidence rate of occupational diseases, per 100,000 employed persons";"..Services";..;..;..;..;..;..;..;..;1262;..;..;..;1107;..;1568;..;2043;..;3616;..;2808;..;..;..
"Total Cases of Occupational Diseases";"TOTAL";..;..;..;..;..;..;..;..;55413;..;..;..;47235;..;71894;..;85483;..;171787;..;125973;..;..;..
"Total Cases of Occupational Diseases";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2757;..;4803;..;5145;..;..;..
"Total Cases of Occupational Diseases";"..Industry";..;..;..;..;..;..;..;..;38567;..;..;..;27231;..;42539;..;35755;..;68914;..;44883;..;..;..
"Total Cases of Occupational Diseases";"..Services";..;..;..;..;..;..;..;..;16847;..;..;..;20006;..;29355;..;46971;..;98073;..;75945;..;..;..
"Total Employed (000)";"TOTAL";..;..;..;..;..;..;..;..;2386;..;..;..;2918;..;2864;..;3624;..;4218;..;4156;..;..;..
"Total Employed (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;161;..;209;.;138;.;.;.
"Total Employed (000)";"..Industry";..;..;..;..;..;..;..;..;1051;..;..;..;1109;..;992;..;1164;..;1296;..;1313;..;..;..
"Total Employed (000)";"..Services";..;..;..;..;..;..;..;..;1335;..;..;..;1808;..;1872;..;2299;..;2712;..;2705;..;..;..
