"Incidence Rates of Cases of Occupational Injuries With Workdays Lost in Establishments Employing 20 or More Workers by Industry Group and Incapacity for Work, Philippines: 2013-2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/2001B3GI030.px/table/tableViewLayout1/?rxid=eca9b9b4-2d32-429c-9bb1-f8c3b9a56a5c"
"Major Industry Group";"2013 TOTAL";"2013 ..Fatal";"2013 ...Non-Fatal";"2013 ......Permanent Incapacity";"2013 ......Temporary Incapacity";"2015 TOTAL";"2015 ..Fatal";"2015 ...Non-Fatal";"2015 ......Permanent Incapacity";"2015 ......Temporary Incapacity";"2017 TOTAL";"2017 ..Fatal";"2017 ...Non-Fatal";"2017 ......Permanent Incapacity";"2017 ......Temporary Incapacity";"2019 TOTAL";"2019 ..Fatal";"2019 ...Non-Fatal";"2019 ......Permanent Incapacity";"2019 ......Temporary Incapacity";"2021 TOTAL";"2021 ..Fatal";"2021 ...Non-Fatal";"2021 ......Permanent Incapacity";"2021 ......Temporary Incapacity"
"ALL INDUSTRIES";4.91;0.06;4.84;0.04;4.80;4.74;0.09;4.65;0.09;4.56;4.27;0.10;4.17;0.05;4.13;3.07;0.05;3.01;0.01;3.00;2.30;0.03;2.27;0.04;2.23
"...Agriculture, Forestry and Fishing";13.59;0.49;13.10;0.01;13.08;8.92;0.37;8.55;0.38;8.17;10.11;0.08;10.03;0.01;10.01;5.25;0.00;5.25;0.02;5.23;11.56;0.04;11.52;0.04;11.49
"...Mining and Quarrying";3.09;0.52;2.57;0.00;2.57;1.41;0.05;1.36;0.00;1.36;2.57;0.25;2.32;0.08;2.25;1.23;0.02;1.21;0.11;1.10;2.90;0.11;2.80;0.00;2.80
"...Manufacturing";10.30;0.04;10.26;0.08;10.18;10.72;0.01;10.71;0.11;10.60;8.82;0.12;8.70;0.04;8.66;7.12;0.12;7.00;0.05;6.95;4.60;0.07;4.54;0.06;4.48
"...Electricity, Gas, Steam and Air Conditioning Supply";5.89;0.16;5.73;0.00;5.73;7.62;0.68;6.94;0.17;6.77;8.15;0.64;7.51;0.32;7.19;5.69;0.33;5.36;0.05;5.31;6.10;0.18;5.93;0.07;5.86
"...Water Supply; Sewerage, Waste Management and Remediation Activities";6.21;0.27;5.94;0.00;5.94;3.23;0.02;3.21;0.00;3.21;5.65;0.07;5.58;0.11;5.47;0.97;0.00;0.97;0.00;0.97;3.36;0.04;3.33;0.07;3.25
"...Construction";3.06;0.01;3.05;0.00;3.05;8.75;0.18;8.56;0.22;8.34;3.02;0.09;2.93;0.04;2.89;4.15;0.17;3.99;0.01;3.97;3.26;0.11;3.15;0.11;3.04
"...Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";3.87;0.02;3.84;0.00;3.84;3.78;0.07;3.72;0.14;3.58;4.24;0.13;4.11;0.13;3.98;1.88;0.01;1.87;0.00;1.87;1.30;0.01;1.29;0.08;1.21
"...Transportation and Storage";8.47;0.13;8.34;0.54;7.80;3.62;0.60;3.02;0.26;2.76;6.72;0.15;6.57;0.06;6.51;6.37;0.01;6.35;0.00;6.35;2.52;0.05;2.47;0.02;2.45
"...Accommodation and Food Service Activities";5.05;0.12;4.93;0.00;4.93;4.43;0.15;4.28;0.04;4.24;5.94;0.14;5.80;0.03;5.77;4.06;0.01;4.05;0.00;4.05;2.31;0.04;2.26;0.07;2.19
"...Information and Communication";0.32;0.00;0.32;0.05;0.26;0.89;0.04;0.85;0.00;0.85;0.92;0.04;0.88;0.00;0.88;0.68;0.00;0.68;0.00;0.68;0.48;0.05;0.43;0.00;0.43
"...Financial and Insurance Activities";1.67;0.00;1.67;a;1.67;1.91;0.00;1.91;0.00;1.91;0.68;0.03;0.65;0.03;0.62;0.64;0.02;0.62;0.01;0.61;0.89;0.03;0.87;0.01;0.86
"...Real Estate Activities";2.03;0.00;2.03;0.00;2.03;1.00;0.00;1.00;0.00;1.00;2.46;0.09;2.37;0.00;2.37;0.31;0.05;0.26;0.00;0.26;1.10;0.00;1.10;0.00;1.10
"...Professional, Scientific and Technical Activities";1.29;0.20;1.10;0.01;1.09;1.51;0.02;1.50;0.00;1.50;3.39;0.72;2.67;0.07;2.60;0.27;0.00;0.27;0.00;0.27;0.62;0.06;0.57;0.00;0.57
"...Administrative and Support Service Activities";1.01;0.01;1.00;a;1.00;1.49;0.01;1.48;0.03;1.45;1.72;0.03;1.70;0.02;1.68;1.50;0.05;1.46;0.00;1.46;0.97;a;0.97;0.01;0.96
"...Education Except Public Education";0.55;a;0.55;0.00;0.55;0.77;0.00;0.77;0.00;0.77;0.94;0.00;0.94;0.02;0.92;0.39;0.00;0.39;0.00;0.39;0.46;a;0.45;0.00;0.45
"...Human Health and Social Work Activities Except Public Health Activities";2.86;0.01;2.85;0.01;2.84;1.17;0.07;1.11;0.01;1.10;1.39;0.05;1.34;0.00;1.34;2.37;0.00;2.37;0.00;2.37;0.87;0.01;0.86;0.02;0.84
"...Arts, Entertainment and Recreation";0.36;0.00;0.36;0.30;0.06;1.82;0.00;1.82;0.00;1.82;5.77;0.00;5.77;0.00;5.77;1.97;0.00;1.97;0.00;1.97;5.63;0.00;5.63;0.00;5.63
"...Other Service Activities except Activities of Membership Organizations";1.83;0.00;1.83;0.00;1.83;1.63;0.00;1.63;0.00;1.63;0.96;0.00;0.96;0.00;0.96;0.46;0.00;0.46;0.00;0.46;2.84;0.00;2.84;0.00;2.84
