"Incidence Rates of Cases of Occupational Injuries With Workdays Lost in Establishments Employing 20 or More Workers by Region and Incapacity for Work, Philippines: 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/6601B3GI140.px/table/tableViewLayout1/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"Region";"2021 TOTAL";"2021 ..Fatal";"2021 ..Non-Fatal";"2021 ....Permanent Incapacity";"2021 ....Temporary Incapacity"
"PHILIPPINES";2.30;0.03;2.27;0.04;2.23
"..National Capital Region";1.37;0.01;1.36;0.04;1.32
"..Cordillera Administrative Region";1.57;0.11;1.46;0.02;1.45
"..Region I - Ilocos Region";0.60;0.03;0.57;0.04;0.53
"..Region II - Cagayan Valley";0.44;0.14;0.30;..;0.30
"..Region III - Central Luzon";4.09;0.14;3.94;0.03;3.91
"..Region IV-A - CALABARZON";2.09;0.03;2.06;0.07;1.99
"..MIMAROPA Region";2.35;0.02;2.33;0.20;2.13
"..Region V - Bicol";1.95;0.07;1.88;0.05;1.83
"..Region VI - Western Visayas";1.82;a;1.81;..;1.81
"..Region VII - Central Visayas";1.18;a;1.17;a;1.17
"..Region VIII - Eastern Visayas";7.07;..;7.07;0.04;7.03
"..Region IX - Zamboanga Peninsula";6.96;..;6.96;..;6.96
"..Region X - Northern Mindanao";4.85;0.01;4.84;0.08;4.76
"..Region XI - Davao Region";5.74;0.08;5.66;0.01;5.65
"..Region XII - SOCCSKSARGEN";5.54;0.01;5.53;..;5.53
"..Region XIII - Caraga";4.38;0.19;4.19;0.01;4.18
"..Bangsamoro Autonomous Region in Muslim Mindanao";..;..;..;..;..
