"Deaths : Number of Registered Infant Deaths by Causes of Death and Sex, Philippines: 2016"

"Cause of Death";"Total";"Male";"Female"
"Total";21874;12566;9308
"Diarrhea and gastroenteritis of infectious origin";1328;763;565
"Other intestinal infectious diseases";29;14;15
"Tuberculosis";44;21;23
"Tetanus";30;11;19
"Diphtheria";2;2;..
"Whooping cough";6;3;3
"Meningococcal infection";23;14;9
"Septicaemia";759;415;344
"Measles";..;..;..
"Human immunodeficiency virus [HIV]";1;..;1
"Other viral diseases";129;62;67
"Malaria";..;..;..
"Remainder of certain infectious and parasitic diseases";24;13;11
"Leukemia";24;14;10
"Remainder of malignant neoplasms";22;12;10
"Remainder of Neoplasms";32;13;19
"Anaemias";60;27;33
"Remainder of diseases of the blood and blood forming organs and ceratin disorders involving the immune mechanism";155;101;54
"Malnutrition and other nutritional deficiencies";124;69;55
"Remainder endocrine, nutritional and metabolic diseases";255;150;105
"Meningitis";320;182;138
"Remainder diseases of the nervous sytem";404;227;177
"Diseases of the ear and mastoid process";..;..;..
"Diseases of the circulatory system";319;162;157
"Pneumonia";2885;1639;1246
"Other acute respiratory infections";12;5;7
"Remainder of diseases of the respiratory system";780;438;342
"Diseases of the digestive system";220;138;82
"Diseases of the genitourinary system";38;24;14
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery";50;28;22
"Disorders relating to lenght of gestation and fetal growth";1202;709;493
"Birth Trauma";114;73;41
"Intrauterine hypoxia and birth asphyxia";832;489;343
"Respiratory distress of newborn";2263;1357;906
"Congenital pnuemonia";734;423;311
"Other respiratory conditions of newborn";1196;689;507
"Bacterial sepsis of newborn";2136;1275;861
"Omphalitis of newborn with or without mild haemorrhage";5;4;1
"Haemorrhagic and haematological disorders of fetus and newborn";557;354;203
"Remainder of perinatal conditions";689;387;302
"Congenital hydrocephalus and spina bifida";176;99;77
"Other congenital malformations of the nervous system";253;129;124
"Congenital malformations of the heart";1407;764;643
"Other Congenital malforamtions of the circulatory system";131;64;67
"Down's syndrome and other chromosomal abnormalities";91;45;46
"Other congenital malformationss";1000;552;448
"Sudden infant death syndrome";423;256;167
"Other symptons, signs and abnormal clinical and laboratory findings, not elsewhere classified";297;179;118
"All other diseases";37;23;14
"Transport Accidents";23;15;8
"Accidental drowning and submersion";26;15;11
"Other accidental threats to breathing";107;56;51
"Exposure to smoke, fire and flames";14;12;2
"Accidental poisoning by and exposure to noxious substances";..;..;..
"Assault";8;6;2
"All other external causes";78;44;34
