"Labor Cost Per Hour in Establishments Employing 20 or More Workers by Industry Group, Philippines: 2013-2019"

"Major Industry Group";"2013";"2019"
"ALL INDUSTRIES";105.7;125.2
"..Agriculture, Forestry, and Fishing";54.9;90.9
"..Mining and Quarrying";107.8;145.5
"..Manufacturing";87.2;107.9
"..Electricity, Gas, Steam, and Air Conditioning Supply";255.0;225.9
"..Water Supply; Sewerage, Waste Management and Remediation Activities";132.7;192.2
"..Construction";70.8;86.2
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";85.6;98.0
"..Transportation and Storage";91.0;72.8
"..Accommodation and Food Service Activities";66.8;93.3
"..Information and Communications";259.3;179.3
"..Financial and Insurance Activities";206.1;347.5
"..Real Estate Activities";132.8;150.7
"..Professional, Scientific, and Technical Activities";208.8;166.8
"..Administrative and Support Service Activities";101.6;118.0
"..Education Except Public Education";132.6;120.9
"..Human Health and Social Work Activities";94.1;109.5
"..Arts, Entertainment and Recreation";103.3;158.8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";77.2;168.5
