"Labor Force Participation Rate by Sex and Age Group"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Labor Force Participation Rate (%)";"TOTAL";65.8;66.7;64.7;64.6;65.1;63.6;67.1;67.4;66.7;67.5;64.7;64.2;64.0;63.6;64.0;64.1;64.6;64.2;63.9;64.6;63.7;63.5;61.2;60.9
"Labor Force Participation Rate (%)";"..Men";83.0;83.5;81.3;81.2;81.1;79.6;82.4;82.0;82.2;83.8;79.6;79.3;78.8;78.8;78.6;78.5;79.0;78.5;78.1;78.6;77.3;77.6;76.2;75.1
"Labor Force Participation Rate (%)";"..Women";48.5;49.8;48.2;48.1;49.2;47.7;51.8;52.8;51.4;51.2;49.9;49.3;49.3;48.6;49.4;49.7;50.4;50.0;49.9;50.7;50.1;49.3;46.2;46.6
"Labor Force Participation Rate (%)";"..15-24 years old";52.6;53.3;51.6;51.2;51.4;49.6;52.4;52.3;50.9;52.2;48.0;46.8;46.1;45.3;45.6;45.4;46.7;46.1;45.3;46.1;43.7;42.7;40.1;38.5
"Labor Force Participation Rate (%)";"..25-54";76.3;77.1;74.4;74.4;75.2;74.1;78.6;79.2;78.5;78.4;76.6;76.6;76.5;76.4;76.7;76.9;77.2;76.9;77.0;77.7;77.3;77.5;75.6;75.8
"Labor Force Participation Rate (%)";"..55+";57.0;57.7;56.4;56.4;56.3;54.9;57.4;57.6;57.5;58.5;55.0;54.2;54.7;54.1;54.5;54.8;55.0;54.1;53.9;54.4;54.2;54.2;50.5;50.5
"Total Labor Force (000)";"TOTAL";28380;29733;28901;29674;30759;30911;32809;33936;34571;35862;35286;35464;36213;36805;37892;38893;40006;40426;41022;41379;41342;43361;42775;43460
"Total Labor Force (000)";"..Men";17907;18634;18085;18533;19104;19307;20098;20601;21216;22204;21646;21811;22217;22673;23173;23729;24345;24616;24968;25093;25062;26521;26667;26880
"Total Labor Force (000)";"..Women";10473;11098;10817;11141;11654;11605;12711;13335;13354;13659;13641;13653;13995;14132;14719;15164;15660;15810;16055;16286;16280;16840;16107;16579
"Total Labor Force (000)";"..15-24 years old";7084;7450;7051;7129;7234;7290;7811;7946;8015;8396;7851;7947;7962;7968;8168;8276;8675;8734;8744;8859;8531;8402;7919;7647
"Total Labor Force (000)";"..25-54";17302;18288;18066;18496;19251;19325;20317;21067;21756;22829;22886;23203;23728;24185;24852;25526;26119;26471;26977;27180;27415;28619;28664;29375
"Total Labor Force (000)";"..55+";3994;3995;3784;4049;4273;4296;4681;4922;4799;4637;4547;4315;4522;4651;4871;5091;5213;5223;5300;5340;5397;6340;6192;6438
"Total Working Age Population (000)";"TOTAL";43156;44599;44658;45964;47270;48587;48929;50344;51793;53144;54526;55230;56565;57848;59237;60717;61882;62985;64173;64033;64936;68311;69891;71339
"Total Working Age Population (000)";"..Men";21565;22307;22232;22818;23568;24245;24396;25108;25799;26485;27189;27521;28184;28784;29464;30223;30805;31369;31974;31905;32417;34184;35004;35782
"Total Working Age Population (000)";"..Women";21591;22292;22426;23147;23704;24342;24532;25237;25994;26660;27337;27708;28381;29064;29773;30493;31076;31616;32199;32128;32519;34127;34887;35557
"Total Working Age Population (000)";"..15-24 years old";13473;13969;13663;13927;14084;14687;14908;15203;15738;16088;16370;16967;17275;17594;17910;18220;18576;18928;19285;19223;19522;19669;19734;19859
"Total Working Age Population (000)";"..25-54";22680;23712;24291;24855;25600;26078;25861;26597;27706;29129;29886;30303;31023;31664;32393;33201;33820;34403;35048;34991;35453;36940;37907;38731
"Total Working Age Population (000)";"..55+";7003;6918;6704;7184;7586;7822;8160;8545;8350;7926;8270;7960;8268;8590;8935;9295;9486;9655;9840;9819;9962;11701;12250;12749
