"Labor Productivity by Branch of Economic Activity at Constant 2000 Prices"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E1/0023K3F1020.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sector";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Labor Productivity by Branch of Economic Activity at Constant 2000 Prices Level (PhP)";"TOTAL";117052;117018;126918;124926;123619;130435;126366;127026;130846;135291;138683;144510;149830;153630;151086;158222;158911;167692;177098;185389;196179;198141;214851;223702
"Labor Productivity by Branch of Economic Activity at Constant 2000 Prices Level (PhP)";"..Agriculture";39872;39560;45529;43719;44899;49122;47680;48059;49864;51281;51318;52941;54954;55574;55110;55425;55420;57800;59734;60910;63728;64263;72039;74593
"Labor Productivity by Branch of Economic Activity at Constant 2000 Prices Level (PhP)";"..Industry";259193;257336;263753;258780;256471;277003;264297;272978;276122;281324;291596;306747;316584;336603;327298;344418;342486;353725;373769;387752;405643;384215;399666;400567
"Labor Productivity by Branch of Economic Activity at Constant 2000 Prices Level (PhP)";"..Services";143203;142216;146340;142553;143570;144092;141350;140568;144925;150093;154478;160742;165688;168668;165526;170183;172033;180875;187988;196075;204753;204689;219402;228134
"Growth Rate (%)";"TOTAL";2.0;....;3.2;-1.6;-1.0;5.5;-3.1;0.5;3.0;3.4;2.5;3.2;3.7;2.5;-1.7;4.7;0.4;5.5;5.6;2.7;4.1;3.0;8.4;4.1
"Growth Rate (%)";"..Agriculture";1.8;-0.8;6.0;-4.0;2.7;9.4;-2.9;0.8;3.8;2.8;0.1;2.0;3.8;1.1;-0.8;0.6;....;4.3;3.3;0.3;2.7;3.2;12.1;3.5
"Growth Rate (%)";"..Industry";1.5;-0.7;1.4;-1.9;-0.9;8.0;-4.6;3.3;1.2;1.9;3.7;5.0;3.2;6.3;-2.8;5.2;-0.6;3.3;5.7;2.6;2.1;-3.7;4.0;0.2
"Growth Rate (%)";"..Services";-1.3;-0.7;-0.6;-2.6;0.7;0.4;-1.9;-0.6;3.1;3.6;2.9;2.8;3.1;1.8;-1.9;2.8;1.1;5.1;3.9;2.0;2.6;1.8;7.2;4.0
"GDP by Branch of Economic Activity at Constant 2000 Prices (PhP Million)";"TOTAL";3005541;3181241;3346200;3326902;3429434;3580714;3684340;3818667;4008469;4276941;4481279;4716231;5028288;5237101;5297240;5701539;5910201;6305229;6750631;7165478;7600175;8123375;8665818;9206889
"GDP by Branch of Economic Activity at Constant 2000 Prices (PhP Million)";"..Agriculture";444454;460680;474230;441167;483739;500111;517332;534509;559470;583629;596727;618457;647687;668550;663744;662665;679835;698978;706957;718797;719742;711001;739195;745781
"GDP by Branch of Economic Activity at Constant 2000 Prices (PhP Million)";"..Industry";1073061;1140257;1208518;1175381;1157967;1233773;1245634;1281634;1336430;1406338;1465272;1532814;1621226;1699171;1666601;1859515;1893950;2031443;2219068;2391268;2545411;2750593;2945538;3142846
"GDP by Branch of Economic Activity at Constant 2000 Prices (PhP Million)";"..Services";1488026;1580304;1663452;1710354;1787728;1846830;1921373;2002525;2112569;2286974;2419280;2564959;2759375;2869379;2966895;3179359;3336416;3574808;3824606;4055413;4335022;4661781;4981084;5318262
"Total Employed (000)";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total Employed (000)";"..Agriculture";11147;11645;10416;10091;10774;10181;10850;11122;11220;11381;11628;11682;11786;12030;12044;11956;12267;12093;11835;11801;11294;11064;10261;9998
"Total Employed (000)";"..Industry";4140;4431;4582;4542;4515;4454;4713;4695;4840;4999;5025;4997;5121;5048;5092;5399;5530;5743;5937;6167;6275;7159;7370;7846
"Total Employed (000)";"..Services";10391;11112;11367;11998;12452;12817;13593;14246;14577;15237;15661;15957;16654;17012;17924;18682;19394;19764;20345;20683;21172;22775;22703;23312
