"Length of Recruitment Period in Filling-Up Vacancies in Establishments with 20 or More Workers by Major Occupation Group, Philippines: January 2013 - June 2014 to January 2015 - June 2016"

"Major Occupation Group";"2014 Total Mean";"2014 Total Median";"2014 Hard to fill Mean";"2014 Hard to fill Median";"2014 Easy to fill Mean";"2014 Easy to fill Median";"2016 Total Mean";"2016 Total Median";"2016 Hard to fill Mean";"2016 Hard to fill Median";"2016 Easy to fill Mean";"2016 Easy to fill Median"
"ALL OCCUPATIONS";3.30;1.00;4.30;2.00;2.70;1.00;2.38;1.00;3.17;2.00;1.89;1.00
"..Corporate Executives, Managers, Managing Proprietors and Supervisors";5.50;2.00;4.50;2.00;7.10;1.00;2.81;2.00;3.41;2.00;1.87;1.00
"..Professionals";4.10;2.00;4.40;2.00;3.70;1.00;2.61;2.00;3.28;2.00;1.94;1.00
"..Technicians and Associate Professionals";2.90;1.00;4.00;2.00;2.30;1.00;2.38;1.00;3.10;2.00;1.81;1.00
"..Clerks";3.00;1.00;5.60;2.00;2.10;1.00;2.12;1.00;2.94;2.00;1.85;1.00
"..Service Workers and Shop and Market Sales Workers";1.70;1.00;2.80;2.00;1.50;1.00;2.18;1.00;2.59;2.00;2.09;1.00
"..Farmers, Forestry Workers and Fishermen";3.40;3.00;2.90;3.00;3.50;1.00;1.98;1.00;4.04;1.00;1.85;1.00
"..Craft and Related Trades Workers";2.00;1.00;2.50;1.00;1.80;1.00;2.41;1.00;3.26;2.00;1.83;1.00
"..Plant and Machine Operators and Assemblers";1.90;1.00;2.60;2.00;1.60;1.00;2.22;1.00;2.93;2.00;1.81;1.00
"..Laborers and Unskilled Workers";1.60;1.00;1.70;1.00;1.60;1.00;2.08;1.00;4.34;2.00;1.68;1.00
