"Length of Recruitment Period in Filling-Up Vacancies in Establishments with 20 or More Workers by Major Occupation Group, Philippines: July 2017 - June 2018 to September 2021 - August 2022"

"Major Occupation Group";"2018 Total Mean";"2018 Total Median";"2018 Hard-to-fill vacancies Mean";"2018 Hard-to-fill vacancies Median";"2018 Easy-to-fill vacancies Mean";"2018 Easy-to-fill vacancies Median";"2020 Total Mean";"2020 Total Median";"2020 Hard-to-fill vacancies Mean";"2020 Hard-to-fill vacancies Median";"2020 Easy-to-fill vacancies Mean";"2020 Easy-to-fill vacancies Median";"2022 Total Mean";"2022 Total Median";"2022 Hard-to-fill vacancies Mean";"2022 Hard-to-fill vacancies Median";"2022 Easy-to-fill vacancies Mean";"2022 Easy-to-fill vacancies Median"
"ALL OCCUPATIONS";2.93;1.00;3.48;2.00;2.55;1.00;3.66;2.00;4.43;2.00;2.97;1.00;2.17;1.00;2.50;1.00;1.82;1.00
"..Managers";3.64;2.00;3.93;2.00;3.17;1.00;6.30;3.00;6.00;3.00;7.35;1.00;2.61;2.00;2.85;2.00;2.23;1.67
"..Professionals";3.39;2.00;3.91;2.00;2.82;1.00;4.13;2.00;4.91;2.00;3.03;1.00;2.60;2.00;2.87;2.00;2.21;1.00
"..Technicians and associate professionals";2.85;1.00;3.31;2.00;2.47;1.00;4.28;2.00;4.94;2.00;3.60;1.00;2.24;1.00;2.50;1.00;1.94;1.00
"..Clerical support workers";2.80;1.00;2.99;2.00;2.71;1.00;2.98;1.00;3.62;2.00;2.54;1.00;1.84;1.00;2.12;1.00;1.64;1.00
"..Service and sales workers";2.54;1.00;3.19;2.00;2.32;1.00;3.41;2.00;3.82;2.00;3.26;1.00;1.66;1.00;1.97;1.00;1.45;1.00
"..Skilled agricultural, forestry and fishery workers";2.65;1.00;2.64;1.00;2.66;1.00;1.22;1.00;1.00;1.00;1.66;1.00;1.48;1.00;1.75;2.00;1.33;1.00
"..Craft and related trades workers";2.67;1.00;3.06;2.00;2.36;1.00;2.40;1.00;2.78;1.00;2.09;1.00;1.90;1.00;2.18;1.00;1.56;1.00
"..Plant and machine operators and assemblers";2.52;1.00;3.06;2.00;2.15;1.00;2.86;1.00;3.79;3.00;2.24;1.00;1.95;1.00;2.29;1.00;1.60;1.00
"..Elementary occupations";2.32;1.00;3.26;1.00;2.11;1.00;2.36;1.00;2.54;1.00;2.27;1.00;1.69;1.00;2.02;1.00;1.53;1.00
