"Number of Live Births by Geographic Location, Type of Location and Sex: 2016"

"Geographic Location";"Place of Occurrence Both Sexes";"Place of Occurrence Male";"Place of Occurrence Female";"Usual Residence Both Sexes";"Usual Residence Male";"Usual Residence Female"
"PHILIPPINES";1731289;903694;827595;1731289;903694;827595
"National Capital Region (NCR)";241061;125512;115549;219936;114535;105401
"..City of Manila";59060;30844;28216;32182;16749;15433
"..City of Mandaluyong";5609;2980;2629;6606;3480;3126
"..City of Marikina";9883;5143;4740;7845;4068;3777
"..City of Pasig";17145;8978;8167;14150;7372;6778
"..Quezon City";58723;30615;28108;49385;25583;23802
"..City of San Juan";2356;1226;1130;1671;911;760
"..Caloocan City";21198;11122;10076;28225;14851;13374
"..City of Malabon";3621;1892;1729;5867;3082;2785
"..City of Navotas";2999;1558;1441;4130;2130;2000
"..City of Valenzuela";8738;4472;4266;10829;5609;5220
"..City of Las Piñas";9734;5013;4721;10238;5311;4927
"..City of Makati";6946;3638;3308;8645;4568;4077
"..City of Muntinlupa";7702;3995;3707;7391;3836;3555
"..City of Parañaque";7819;4007;3812;10881;5605;5276
"..Pasay City";6236;3219;3017;6423;3358;3065
"..Pateros";898;442;456;896;450;446
"..Taguig City";12394;6368;6026;14572;7572;7000
"Cordillera Administrative Region (Car)";31779;16435;15344;29285;15106;14179
"..Abra";4814;2514;2300;3699;1928;1771
"..Benguet";14672;7563;7109;13891;7146;6745
"..Ifugao";3046;1539;1507;3653;1858;1795
"..Kalinga";3623;1884;1739;3647;1884;1763
"..Mountain Province";3217;1697;1520;2602;1373;1229
"..Apayao";2407;1238;1169;1793;917;876
"Region I (Ilocos Region)";81162;42427;38735;82206;43004;39202
"..Ilocos Norte";7977;4067;3910;8286;4225;4061
"..Ilocos Sur";9561;5006;4555;9833;5155;4678
"..La Union";12632;6680;5952;11872;6259;5613
"..Pangasinan";50992;26674;24318;52215;27365;24850
"Region II (Cagayan Valley)";56630;29693;26937;58490;30701;27789
"..Batanes";237;128;109;256;139;117
"..Cagayan";18728;9861;8867;18811;9939;8872
"..Isabela";25860;13485;12375;27002;14094;12908
"..Nueva Vizcaya";8819;4651;4168;8982;4715;4267
"..Quirino";2986;1568;1418;3439;1814;1625
"Region III (Central Luzon)";189153;99395;89758;191245;100455;90790
"..Bataan";14367;7501;6866;14784;7729;7055
"..Bulacan";52576;27478;25098;54422;28430;25992
"..Nueva Ecija";31790;16680;15110;31445;16537;14908
"..Pampanga";47320;25001;22319;47600;25150;22450
"..Tarlac";23222;12315;10907;23301;12325;10976
"..Zambales";16296;8538;7758;15901;8308;7593
"..Aurora";3582;1882;1700;3792;1976;1816
"Region IV-A (CALABARZON)";234741;121872;112869;251344;130470;120874
"..Batangas";46526;24144;22382;44998;23361;21637
"..Cavite";53056;27640;25416;61914;32223;29691
"..Laguna";52189;27067;25122;53160;27585;25575
"..Quezon";36301;18890;17411;36818;19106;17712
"..Rizal";46669;24131;22538;54454;28195;26259
"MIMAROPA Region";48714;25439;23275;48888;25505;23383
"..Marinduque";3823;2001;1822;3872;2019;1853
"..Occidental Mindoro";8477;4485;3992;8513;4493;4020
"..Oriental Mindoro";13748;7156;6592;13764;7171;6593
"..Palawan";17944;9335;8609;17941;9327;8614
"..Romblon";4722;2462;2260;4798;2495;2303
"Region V (Bicol Region)";115623;59923;55700;116092;60145;55947
"..Albay";26040;13523;12517;25626;13296;12330
"..Camarines Norte";12881;6787;6094;13004;6846;6158
"..Camarines Sur";40317;20823;19494;40203;20750;19453
"..Catanduanes";5795;2955;2840;5776;2947;2829
"..Masbate";15569;8062;7507;15821;8172;7649
"..Sorsogon";15021;7773;7248;15662;8134;7528
"Region VI (Western Visayas)";115885;60756;55129;114774;60179;54595
"..Aklan";11285;6004;5281;9644;5136;4508
"..Antique";7799;4149;3650;8137;4338;3799
"..Capiz";11456;5900;5556;11738;6063;5675
"..Iloilo";36830;19438;17392;35936;18941;16995
"..Negros Occidental";46518;24227;22291;46732;24339;22393
"..Guimaras";1997;1038;959;2587;1362;1225
"Region VII (Central Visayas)";145671;76358;69313;145550;76288;69262
"..Bohol";22216;11604;10612;22420;11707;10713
"..Cebu";98274;51666;46608;97876;51458;46418
"..Negros Oriental";23906;12429;11477;23861;12395;11466
"..Siquijor";1275;659;616;1393;728;665
"Region VIII (Eastern Visayas)";74308;38965;35343;74725;39172;35553
"..Eastern Samar";7171;3745;3426;7464;3892;3572
"..Leyte";36871;19353;17518;35521;18632;16889
"..Northern Samar";9621;5034;4587;9697;5072;4625
"..Samar (Western Samar)";10999;5758;5241;12675;6652;6023
"..Southern Leyte";6124;3214;2910;5929;3116;2813
"..Biliran";3522;1861;1661;3439;1808;1631
"Region IX (Zamboanga Peninsula)";62488;32606;29882;63556;33192;30364
"..Zamboanga Del Norte";15878;8306;7572;16626;8722;7904
"..Zamboanga Del Sur";34035;17725;16310;34255;17826;16429
"..Zamboanga Sibugay";10935;5716;5219;10958;5730;5228
"..City Of Isabela";1640;859;781;1717;914;803
"Region X (Northern Mindanao)";91315;47668;43647;89359;46683;42676
"..Bukidnon";29527;15466;14061;31296;16419;14877
"..Camiguin";1617;863;754;1657;879;778
"..Lanao Del Norte";15993;8264;7729;15698;8116;7582
"..Misamis Occidental";12012;6246;5766;9952;5183;4769
"..Misamis Oriental";32166;16829;15337;30756;16086;14670
"Region XI (Davao Region)";92463;48078;44385;90828;47240;43588
"..Davao Del Norte";22800;11836;10964;20045;10407;9638
"..Davao Del Sur";47858;24890;22968;44918;23307;21611
"..Davao Oriental";8199;4250;3949;9287;4810;4477
"..Compostela Valley";11886;6213;5673;13782;7240;6542
"..Davao Occidental";1720;889;831;2796;1476;1320
"Region XII (SOCCSKSARGEN)";80675;42260;38415;78919;41306;37613
"..Cotabato (North Cotabato)";24481;12924;11557;25338;13374;11964
"..South Cotabato";30812;16204;14608;29444;15463;13981
"..Sultan Kudarat";11456;5948;5508;11444;5935;5509
"..Sarangani";7970;4108;3862;9050;4688;4362
"..Cotabato City";5956;3076;2880;3643;1846;1797
"Region XIII (Caraga)";42946;22335;20611;44135;22941;21194
"..Agusan Del Norte";11940;6172;5768;11631;6025;5606
"..Agusan Del Sur";11023;5735;5288;12042;6241;5801
"..Surigao Del Norte";8428;4422;4006;7777;4069;3708
"..Surigao Del Sur";10793;5608;5185;11335;5894;5441
"..Dinagat Islands";762;398;364;1350;712;638
"Autonomous Region In Muslim Mindanao (ARMM)";26675;13972;12703;31067;16307;14760
"..Basilan";1600;822;778;1925;991;934
"..Lanao Del Sur";7531;3968;3563;8763;4629;4134
"..Maguindanao";12716;6629;6087;15113;7915;7198
"..Sulu";3157;1662;1495;3330;1749;1581
"..Tawi-Tawi";1671;891;780;1936;1023;913
"FOREIGN COUNTRY";0;0;0;890;465;425
