"Number of Live Births by Age Group of Mother  (In Years) and Birth Order: 2016"

"Age Group of Mother  (In Years)";"Total";"First";"Second";"Third";"Fourth";"Fifth";"Sixth";"Seventh";"Eighth";"Ninth";"Tenth";"Eleventh";"Twelfth";"Thirteenth";"Fourteenth";"Fifteenth & Over";"Not Stated"
"Total";1731289;587343;478205;303812;164941;87426;47810;27420;15760;8491;4980;2294;1241;571;260;139;596
"Under 15";1903;1886;15;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"15-19";201182;164473;33370;3200;91;6;2;3;0;0;0;0;0;0;0;0;37
"20-24";487763;236687;171569;62118;14326;2417;400;83;26;12;3;2;1;2;1;0;116
"25-29";444205;113620;148072;104941;50678;19071;5610;1536;400;100;34;13;2;0;3;0;125
"30-34";322878;48345;84016;79526;52859;30449;15725;7253;2955;1082;398;101;50;15;4;2;98
"35-39";196493;16908;33726;43000;35139;25175;17313;11485;6872;3617;1880;752;358;133;49;19;67
"40-44";64960;3780;5981;9532;10329;8960;7682;6148;4756;3160;2240;1139;667;318;152;79;37
"45-49";6622;505;504;692;798;791;723;672;588;428;349;253;144;87;45;35;8
"50 and over";387;80;60;50;47;38;24;20;14;14;15;13;3;5;2;2;0
"Not Stated";4896;1059;892;752;674;519;331;220;149;78;61;21;16;11;4;2;107
