"Number of Live Births by Age Group of Mother and Number of Living Children: 2016"

"Age Group of Mother";"Total";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10 & Over";"Not Stated"
"All Ages";1731289;609629;486696;297316;156093;81777;44732;25382;14228;7469;7371;596
"Under 15";1903;1891;11;0;0;0;0;0;0;0;0;1
"15 - 19";201182;167211;31328;2543;53;5;2;3;0;0;0;37
"20 - 24";487763;244542;170821;57788;12213;1893;287;63;23;10;7;116
"25 - 29";444205;119443;151990;102419;47118;14466;4654;1184;299;74;38;125
"30 - 34";322878;51871;88122;79315;50574;28459;..;6323;2463;821;366;98
"35 - 39";196493;18571;36494;43690;34242;24273;16671;10847;6180;3103;2355;67
"40 - 44";64960;4350;6438;10061;10345;8931;7570;6056;4522;2953;3697;37
"45 - 49";6622;589;529;692;834;804;739;668;579;420;760;8
"50 and over";387;89;62;46;47;34;25;16;17;13;38;0
"Not Stated";4896;1072;901;762;667;517;318;222;145;75;110;107
