"Deaths : Number of Registered Maternal Deaths by Usual Residence (Region/Province/City/Municipality) and Age of Mother, Philippines: 2016"

"Geolocation";"Total";"Under 15";"15 - 19";"20 - 24";"25 - 29";"30 - 34";"35 - 39";"40 - 44";"45 - 49";"50 & Up";"Not Stated"
"PHILIPPINES";1483;2;132;256;250;299;335;177;27;3;2
"..NATIONAL CAPITAL REGION";159;0;12;29;22;31;44;18;3;0;0
"....City of Manila";12;0;0;2;1;4;5;0;0;0;0
"....City of Mandaluyong";3;0;1;1;0;0;1;0;0;0;0
"....City of Marikina";8;0;2;0;1;3;1;1;0;0;0
"....City of Pasig";10;0;1;3;1;1;1;3;0;0;0
"....Quezon City";40;0;4;6;11;7;10;2;0;0;0
"....City of San Juan";2;0;1;0;1;0;0;0;0;0;0
"....Caloocan City";16;0;0;2;2;2;6;2;2;0;0
"....City of Malabon";3;0;0;0;1;0;1;1;0;0;0
"....City of Navotas";4;0;0;2;1;0;1;0;0;0;0
"....City of Valenzuela";12;0;1;2;2;3;3;1;0;0;0
"....City of Las Piñas";9;0;1;2;0;3;2;1;0;0;0
"....City of Makati";4;0;0;0;0;1;3;0;0;0;0
"....City of Muntinlupa";7;0;0;1;0;1;2;2;1;0;0
"....City of Parañaque";5;0;0;3;1;0;0;1;0;0;0
"....Pasay City";5;0;0;1;0;1;1;2;0;0;0
"....Pateros";3;0;1;1;0;0;1;0;0;0;0
"....Taguig City";16;0;0;3;0;5;6;2;0;0;0
"..CORDILLERA ADMINISTRATIVE REGION";18;0;3;3;4;3;3;2;0;0;0
"....Abra";5;0;0;1;1;1;2;0;0;0;0
"....Benguet";2;0;0;0;1;0;1;0;0;0;0
"....Ifugao";3;0;1;0;0;1;0;1;0;0;0
"....Kalinga";3;0;0;0;1;1;0;1;0;0;0
"....Mountain Province";2;0;0;1;1;0;0;0;0;0;0
"....Apayao";3;0;2;1;0;0;0;0;0;0;0
"..REGION I- ILOCOS";69;0;5;17;13;13;13;7;1;0;0
"....Ilocos Norte";5;0;0;1;3;0;0;1;0;0;0
"....Ilocos Sur";5;0;0;2;0;2;1;0;0;0;0
"....La Union";14;0;0;3;1;3;4;2;1;0;0
"....Pangasinan";45;0;5;11;9;8;8;4;0;0;0
"..REGION II- CAGAYAN VALLEY";29;0;1;4;5;9;8;2;0;0;0
"....Batanes";1;0;0;1;0;0;0;0;0;0;0
"....Cagayan";5;0;0;0;1;1;3;0;0;0;0
"....Isabela";18;0;1;2;3;6;4;2;0;0;0
"....Nueva Vizcaya";3;0;0;1;0;2;0;0;0;0;0
"....Quirino";2;0;0;0;1;0;1;0;0;0;0
"..REGION III- CENTRAL LUZON";112;0;5;14;22;22;33;14;1;1;0
"....Bataan";5;0;0;1;2;2;0;0;0;0;0
"....Bulacan";39;0;2;5;5;7;13;5;1;1;0
"....Nueva Ecija";15;0;1;1;4;1;8;0;0;0;0
"....Pampanga";20;0;0;2;5;5;5;3;0;0;0
"....Tarlac";22;0;1;4;4;5;4;4;0;0;0
"....Zambales";8;0;0;0;2;2;3;1;0;0;0
"....Aurora";3;0;1;1;0;0;0;1;0;0;0
"..REGION IV-A- CALABARZON";213;0;21;36;31;47;57;19;1;1;0
"....Batangas";34;0;2;8;6;7;9;2;0;0;0
"....Cavite";49;0;3;2;7;17;15;5;0;0;0
"....Laguna";51;0;5;13;7;8;13;4;1;0;0
"....Quezon";31;0;5;3;8;5;6;3;0;1;0
"....Rizal";48;0;6;10;3;10;14;5;0;0;0
"..MIMAROPA REGION";50;0;5;7;9;8;6;13;1;0;1
"....Marinduque";1;0;0;0;0;0;1;0;0;0;0
"....Occidental Mindoro";11;0;1;1;2;2;0;5;0;0;0
"....Oriental Mindoro";10;0;0;2;1;3;2;1;1;0;0
"....Palawan";21;0;3;3;3;2;3;6;0;0;1
"....Romblon";7;0;1;1;3;1;0;1;0;0;0
"....REGION V- BICOL";118;0;9;19;27;19;25;15;4;0;0
"....Albay";24;0;2;4;4;3;7;3;1;0;0
"....Camarines Norte";8;0;2;0;1;2;1;1;1;0;0
"....Camarines Sur";43;0;3;8;9;10;6;5;2;0;0
"....Catanduanes";6;0;0;1;2;0;3;0;0;0;0
"....Masbate";21;0;0;2;7;3;4;5;0;0;0
"....Sorsogon";16;0;2;4;4;1;4;1;0;0;0
