"Median Monthly Basic Pay and Allowance of Time-Rate Workers on Full-Time Basis by Industry, 2014 to 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__OWS/0041B3E1040.px/table/tableViewLayout1/?rxid=5e57853f-ceff-4449-9333-678a00dfce43"
"Sex";"Industries";"Basic Pay/Allowance";"2014";"2016";"2018";"2020";"2022"
"Both Sexes";"All Industries";"Median Basic Pay";11756;12013;13559;13646;14588
"Both Sexes";"All Industries";"Median Allowances";914;1130;1716;2456;2381
"Both Sexes";"Agriculture, Forestry and Fishing";"Median Basic Pay";8449;7927;9861;10476;10995
"Both Sexes";"Agriculture, Forestry and Fishing";"Median Allowances";478;288;1099;2137;1110
"Both Sexes";"Crop and Animal Production, Hunting and Related Service Activities; Forestry and Logging";"Median Basic Pay";8306;7772;9791;10459;10966
"Both Sexes";"Crop and Animal Production, Hunting and Related Service Activities; Forestry and Logging";"Median Allowances";724;250;1501;2159;1187
"Both Sexes";"Fishing and Aquaculture";"Median Basic Pay";11095;11493;11985;10651;11408
"Both Sexes";"Fishing and Aquaculture";"Median Allowances";391;380;440;997;678
"Both Sexes";"Mining and Quarrying";"Median Basic Pay";9415;10980;11590;13272;16132
"Both Sexes";"Mining and Quarrying";"Median Allowances";992;668;904;1310;2003
"Both Sexes";"Mining of Coal and Lignite; Extraction of Crude Petroleum and Natural Gas; and Other Mining and Quarrying";"Median Basic Pay";9036;9833;10754;9939;12783
"Both Sexes";"Mining of Coal and Lignite; Extraction of Crude Petroleum and Natural Gas; and Other Mining and Quarrying";"Median Allowances";2186;4060;874;1788;1434
"Both Sexes";"Mining of Metal Ores";"Median Basic Pay";9449;11138;12116;14074;17356
"Both Sexes";"Mining of Metal Ores";"Median Allowances";738;632;884;1278;2105
"Both Sexes";"Mining Support Service";"Median Basic Pay";9788;27150;33085;11383;12933
"Both Sexes";"Mining Support Service";"Median Allowances";1591;5060;5038;1265;2990
"Both Sexes";"Manufacturing";"Median Basic Pay";9707;10239;10965;11651;12301
"Both Sexes";"Manufacturing";"Median Allowances";648;654;1075;1817;1845
"Both Sexes";"Manufacture of Food Products";"Median Basic Pay";9881;10648;12496;12923;12259
"Both Sexes";"Manufacture of Food Products";"Median Allowances";463;498;790;1475;2042
"Both Sexes";"Manufacture of Beverages";"Median Basic Pay";14901;16210;15746;17269;18661
"Both Sexes";"Manufacture of Beverages";"Median Allowances";407;383;1522;1805;a
"Both Sexes";"Manufacture of Tobacco Products";"Median Basic Pay";9882;11633;13754;15881;11821
"Both Sexes";"Manufacture of Tobacco Products";"Median Allowances";4531;498;1752;2378;913
"Both Sexes";"Manufacture of Textiles";"Median Basic Pay";10108;8984;10854;11403;11812
