"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""All Ages"";109033245",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""Below 5"";11069479",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""5-9"";11270637",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""10-14"";11091362",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""15-19"";10482815",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""20-24"";10024753",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""25-29"";9229288",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""30-34"";8171423",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""35-39"";7221785",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""40-44"";6528846",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""45-49"";5598765",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""50-54"";4964629",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""55-59"";4137342",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""60-64"";3375290",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""65-69"";2398116",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""70-74"";1578185",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""75-79"";932231",,,,
"Total Population;""PHILIPPINES /a"";""Both Sexes"";""80 years old and over"";958299",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""All Ages"";55306793",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""Below 5"";5714396",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""5-9"";5842244",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""10-14"";5721890",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""15-19"";5360801",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""20-24"";5115243",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""25-29"";4715102",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""30-34"";4218801",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""35-39"";3713272",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""40-44"";3358616",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""45-49"";2866551",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""50-54"";2505960",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""55-59"";2059409",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""60-64"";1633478",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""65-69"";1114284",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""70-74"";683843",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""75-79"";366132",,,,
"Total Population;""PHILIPPINES /a"";""Male"";""80 years old and over"";316771",,,,
