"Number and Distribution of Job Vacancies in Establishments with 20 or More Workers by Major Industry Group, National Capital Region: 1st Quarter 2014 to 4th Quarter 2021"

"Major Industry Group";"2014 Q1 Number";"2014 Q1 Percent Share (%)";"2014 Q2 Number";"2014 Q2 Percent Share (%)";"2014 Q3 Number";"2014 Q3 Percent Share (%)";"2014 Q4 Number";"2014 Q4 Percent Share (%)";"2015 Q1 Number";"2015 Q1 Percent Share (%)";"2015 Q2 Number";"2015 Q2 Percent Share (%)";"2015 Q3 Number";"2015 Q3 Percent Share (%)";"2015 Q4 Number";"2015 Q4 Percent Share (%)";"2016 Q1 Number";"2016 Q1 Percent Share (%)";"2016 Q2 Number";"2016 Q2 Percent Share (%)";"2016 Q3 Number";"2016 Q3 Percent Share (%)";"2016 Q4 Number";"2016 Q4 Percent Share (%)";"2017 Q1 Number";"2017 Q1 Percent Share (%)";"2017 Q2 Number";"2017 Q2 Percent Share (%)";"2017 Q3 Number";"2017 Q3 Percent Share (%)";"2017 Q4 Number";"2017 Q4 Percent Share (%)";"2018 Q1 Number";"2018 Q1 Percent Share (%)";"2018 Q2 Number";"2018 Q2 Percent Share (%)";"2018 Q3 Number";"2018 Q3 Percent Share (%)";"2018 Q4 Number";"2018 Q4 Percent Share (%)";"2019 Q1 Number";"2019 Q1 Percent Share (%)";"2019 Q2 Number";"2019 Q2 Percent Share (%)";"2019 Q3 Number";"2019 Q3 Percent Share (%)";"2019 Q4 Number";"2019 Q4 Percent Share (%)";"2020 Q1 Number";"2020 Q1 Percent Share (%)";"2020 Q2 Number";"2020 Q2 Percent Share (%)";"2020 Q3 Number";"2020 Q3 Percent Share (%)";"2020 Q4 Number";"2020 Q4 Percent Share (%)";"2021 Q1 Number";"2021 Q1 Percent Share (%)";"2021 Q2 Number";"2021 Q2 Percent Share (%)";"2021 Q3 Number";"2021 Q3 Percent Share (%)";"2021 Q4 Number";"2021 Q4 Percent Share (%)"
"ALL INDUSTRIES";84275;100.0;76122;100.0;92441;100.0;98563;100.0;99967;100.0;116140;100.0;109986;100.0;105490;100.0;62998;100.0;63252;100.0;58048;100.0;57015;100.0;82772;100.0;72611;100.0;71273;100.0;55138;100.0;223993;100.0;219022;100.0;159932;100.0;136225;100.0;85410;100.0;96135;100.0;103709;100.0;86143;100.0;85426;100.0;63888;100.0;48331;100.0;94498;100.0;42975;100.0;52143;100.0;92400;100.0;91308;100.0
"..Agriculture, Forestry, and Fishing";423;0.2;119;0.1;105;a/;122;0.1;170;0.1;229;0.1;141;0.1;273;0.1;250;0.1;239;0.1;184;0.1;202;0.1;214;0.1;289;0.1;219;0.1;169;0.1;6732;3.0;8773;4.0;4334;2.7;2993;2.2;270;0.3;298;0.3;294;0.3;418;0.5;147;0.2;58;0.1;33;0.1;46;a/;135;0.3;72;0.1;95;0.1;104;0.1
"..Industry";9206;4.1;3722;1.7;38197;17.1;16666;7.4;30626;13.7;27056;12.1;25293;11.3;16638;7.4;8874;4.0;8105;3.6;6517;2.9;5690;2.5;13088;5.8;10221;4.6;11731;5.2;9390;4.2;55767;24.9;43536;19.9;38836;24.3;29833;21.9;7315;8.6;8099;8.4;10772;10.4;10284;11.9;4584;5.4;5522;8.6;6773;14.0;4462;4.7;9269;21.6;8321;16.0;5712;6.2;5714;6.3
"....Mining and Quarrying";84;a/;114;0.1;65;a/;33;a/;46;a/;98;a/;80;a/;72;a/;52;a/;29;a/;33;a/;16;a/;74;a/;161;0.1;23;a/;69;a/;499;0.2;553;0.3;118;0.1;453;0.3;26;a/;23;a/;45;a/;122;0.1;41;a/;315;0.5;69;0.1;65;0.1;47;0.1;29;0.1;17;a/;13;a/
"....Manufacturing";6399;2.9;1974;0.9;6922;3.1;2613;1.2;5617;2.5;12178;5.4;10004;4.5;8174;3.6;4255;1.9;4408;2.0;3366;1.5;2713;1.2;8896;4.0;4960;2.2;6674;3.0;3243;1.4;42043;18.8;33886;15.5;33062;20.7;21266;15.6;4484;5.2;5477;5.7;9305;9.0;8692;10.1;3079;3.6;3489;5.5;5378;11.1;3150;3.3;3534;8.2;2348;4.5;2560;2.8;2384;2.6
"....Electricity, Gas, Steam and Air Conditioning Supply";658;0.3;911;0.4;803;0.4;186;0.1;548;0.2;1103;0.5;458;0.2;593;0.3;339;0.2;354;0.2;453;0.2;315;0.1;557;0.2;597;0.3;635;0.3;531;0.2;1314;0.6;982;0.4;806;0.5;1471;1.1;29;a/;19;a/;129;0.1;146;0.2;72;0.1;60;0.1;61;0.1;36;a/;90;0.2;30;0.1;144;0.2;103;0.1
"....Water Supply; Sewerage Waste Management and Remediation Activities";66;a/;94;a/;64;a/;93;a/;40;a/;61;a/;65;a/;39;a/;18;a/;135;0.1;48;a/;75;a/;42;a/;111;a/;75;a/;41;a/;2019;0.9;2202;1.0;1831;1.1;3035;2.2;135;0.2;144;0.1;217;0.2;241;0.3;21;a/;69;0.1;25;0.1;22;a/;159;0.4;298;0.6;59;0.1;55;0.1
"....Construction";1999;0.9;630;0.3;30343;13.5;13742;6.1;24375;10.9;13615;6.1;14688;6.6;7759;3.5;4209;1.9;3179;1.4;2616;1.2;2571;1.1;3519;1.6;4391;2.0;4325;1.9;5506;2.5;9892;4.4;5913;2.7;3020;1.9;3607;2.6;2641;3.1;2437;2.5;1076;1.0;1083;1.3;1371;1.6;1589;2.5;1239;2.6;1189;1.3;5440;12.7;5615;10.8;2932;3.2;3159;3.5
"..Services";74646;33.3;72281;32.3;54140;24.2;81775;36.5;69171;30.9;88854;39.7;84552;37.7;88579;39.5;53873;24.1;54909;24.5;51347;22.9;51123;22.8;69470;31.0;62101;27.7;59323;26.5;45580;20.3;161494;72.1;166713;76.1;116762;73.0;103398;75.9;77825;91.1;87738;91.3;92643;89.3;75441;87.6;80695;94.5;58307;91.3;41526;85.9;89990;95.2;33571;78.1;43750;83.9;86593;93.7;85489;93.6
"....Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles";22790;10.2;36356;16.2;21178;9.5;46727;20.9;29842;13.3;44288;19.8;39109;17.5;36785;16.4;8367;3.7;13243;5.9;9749;4.4;9987;4.5;22735;10.1;28883;12.9;24103;10.8;18796;8.4;32320;14.4;38594;17.6;17474;10.9;15649;11.5;10654;12.5;12364;12.9;13588;13.1;14294;16.6;8283;9.7;4145;6.5;6262;13.0;5854;6.2;5133;11.9;5748;11.0;6896;7.5;5472;6.0
