"Number and Distribution of Job Vacancies in Establishments with 20 or More Workers by Major Occupation Group, National Capital Region: 1st Quarter 2018 to 4th Quarter 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__LTS/3001B3GM030.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Major Occupation Group";"2018 Q1 Number";"2018 Q1 Percent Share (%)";"2018 Q2 Number";"2018 Q2 Percent Share (%)";"2018 Q3 Number";"2018 Q3 Percent Share (%)";"2018 Q4 Number";"2018 Q4 Percent Share (%)";"2019 Q1 Number";"2019 Q1 Percent Share (%)";"2019 Q2 Number";"2019 Q2 Percent Share (%)";"2019 Q3 Number";"2019 Q3 Percent Share (%)";"2019 Q4 Number";"2019 Q4 Percent Share (%)";"2020 Q1 Number";"2020 Q1 Percent Share (%)";"2020 Q2 Number";"2020 Q2 Percent Share (%)";"2020 Q3 Number";"2020 Q3 Percent Share (%)";"2020 Q4 Number";"2020 Q4 Percent Share (%)";"2021 Q1 Number";"2021 Q1 Percent Share (%)";"2021 Q2 Number";"2021 Q2 Percent Share (%)";"2021 Q3 Number";"2021 Q3 Percent Share (%)";"2021 Q4 Number";"2021 Q4 Percent Share (%)"
"ALL OCCUPATION";223993;100.0;219022;100.0;159932;100.0;136225;100.0;85410;100.0;96135;100.0;103709;100.0;86143;100.0;85426;100.0;63888;100.0;48331;100.0;94498;100.0;42975;100.0;52143;100.0;92400;100.0;91308;100.0
"..Managers";5337;2.4;14142;6.5;9822;6.1;3855;2.8;3623;4.2;3343;3.5;2557;2.5;4199;4.9;11729;13.7;7879;12.3;3350;6.9;3343;3.5;3897;9.1;4550;8.7;6709;7.3;6999;7.7
"..Professionals";32669;14.6;34871;15.9;19911;12.4;20684;15.2;16021;18.8;15739;16.4;15496;14.9;18318;21.3;20209;23.7;14127;22.1;15470;32.0;20488;21.7;13363;31.1;13260;25.4;44056;47.7;37193;40.7
"..Technicians and Associate Professionals";46039;20.6;35802;16.3;21330;13.3;26905;19.8;7888;9.2;11726;12.2;14262;13.8;15999;18.6;21175;24.8;8580;13.4;8407;17.4;8339;8.8;9153;21.3;11047;21.2;13452;14.6;21904;24.0
"..Clerical Support Workers";29048;13.0;34395;15.7;25256;15.8;35101;25.8;13381;15.7;16526;17.2;26014;25.1;12141;14.1;16234;19.0;28046;43.9;5269;10.9;48731;51.6;5127;11.9;10143;19.5;14132;15.3;15510;17.0
"..Service and Sales Workers";38171;17.0;40216;18.4;31736;19.8;20690;15.2;32798;38.4;34897;36.3;29193;28.1;19889;23.1;7996;9.4;1024;1.6;8873;18.4;4567;4.8;3736;8.7;4722;9.1;6814;7.4;5047;5.5
"..Skilled Agricultural, Forestry and Fishery Workers";98;a/;186;0.1;28;a/;28;a/;21;a/;11;a/;282;0.3;96;0.1;1560;1.8;26;a/;94;0.2;25;a/;16;a/;2;a/;31;a/;22;a/
"..Craft and Related Trades Workers";22599;10.1;15428;7.0;7929;5.0;13557;10.0;2394;2.8;3010;3.1;3662;3.5;3539;4.1;2054;2.4;2752;4.3;2107;4.4;3117;3.3;4534;10.5;5720;11.0;2769;3.0;1976;2.2
"..Plant and Machine Operators and Assemblers";14017;6.3;8967;4.1;27520;17.2;7284;5.3;5424;6.4;5659;5.9;4026;3.9;3993;4.6;1521;1.8;1134;1.8;826;1.7;1433;1.5;1198;2.8;1272;2.4;1924;2.1;1330;1.5
"..Elementary Occupations";36014;16.1;35016;16.0;16400;10.3;8120;6.0;3859;4.5;5224;5.4;8217;7.9;7967;9.2;2948;3.5;320;0.5;3935;8.1;4456;4.7;1951;4.5;1416;2.7;2513;2.7;1326;1.5
