"Number and Percent Distribution of Employees Separated from Work by Reasons for Quits (Employee-Initiated) in Establishments with 20 or More Workers, National Capital Region: 1st Quarter 2020 to 4th Quarter 2021"

"Reasons for Quits (Employee-Initiated Separation)";"2020 Q1 Number of Employees";"2020 Q1 Percent (%)";"2020 Q2 Number of Employees";"2020 Q2 Percent (%)";"2020 Q3 Number of Employees";"2020 Q3 Percent (%)";"2020 Q4 Number of Employees";"2020 Q4 Percent (%)";"2021 Q1 Number of Employees";"2021 Q1 Percent (%)";"2021 Q2 Number of Employees";"2021 Q2 Percent (%)";"2021 Q3 Number of Employees";"2021 Q3 Percent (%)";"2021 Q4 Number of Employees";"2021 Q4 Percent (%)"
"TOTAL";219878;100.0;125047;100.0;94451;100.0;80897;100.0;116703;100.0;117322;100.0;91530;100.0;80014;100.0
"..AWOL";37686;17.1;15830;12.7;10756;11.4;11165;13.8;18670;16.0;15303;13.0;8612;9.4;6126;7.7
"..Retirement";4734;2.2;3099;2.5;8024;8.5;3410;4.2;2217;1.9;2662;2.3;2403;2.6;2395;3.0
"..Resignation";177458;80.7;106119;84.9;75671;80.1;66321;82.0;95817;82.1;99357;84.7;80515;88.0;71493;89.3
"....Personal issues";81781;37.2;29121;23.3;33521;35.5;31405;38.8;46793;40.1;46857;39.9;37805;41.3;32208;40.3
"....Hired by another company";50822;23.1;31473;25.2;15692;16.6;15262;18.9;29050;24.9;30507;26.0;25793;28.2;24576;30.7
"....Family considerations";14498;6.6;15221;12.2;9789;10.4;8122;10.0;10718;9.2;10416;8.9;5757;6.3;6298;7.9
"....To work abroad";4624;2.1;2429;1.9;1291;1.4;809;1.0;1878;1.6;1845;1.6;2150;2.3;2177;2.7
"....To study";5016;2.3;4233;3.4;2856;3.0;1578;2.0;3193;2.7;3417;2.9;3099;3.4;1783;2.2
"....Heath Issues";2430;1.1;1938;1.5;1322;1.4;1131;1.4;822;0.7;1329;1.1;1247;1.4;1251;1.6
"....Career Growth";.;.;.;.;.;.;.;.;.;.;.;.;1567;1.7;901;1.1
"....Put up Business";.;.;.;.;.;.;.;.;.;.;.;.;170;0.2;449;0.6
"....Career growth/put up own business";.;.;.;.;.;.;.;.;426;0.4;1486;1.3;.;.;.;.
"....Death";.;.;.;.;.;.;.;.;607;0.5;361;0.3;501;0.5;445;0.6
"....Due to COVID-19 Pandemic";1740;0.8;13318;10.7;2876;3.0;2108;2.6;646;0.6;689;0.6;446;0.5;223;0.3
"....Others";16547;7.5;8385;6.7;8325;8.8;5906;7.3;1684;1.4;2450;2.1;1981;2.2;1181;1.5
