"Deaths : Number of Deaths by Usual Residence (Region, Province and City/Municipality), Age Group and Sex: Philippines, 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__VS__DE/3031A1BVDA2.px/?rxid=ca21cbaf-bd6d-4c52-8604-d3999ce4decc"
"Geolocation";"All Ages Male";"All Ages Female";"Under 1 Male";"Under 1 Female";"1-4 Male";"1-4 Female";"5-9 Male";"5-9 Female";"10-14 Male";"10-14 Female";"15-19 Male";"15-19 Female";"20-24 Male";"20-24 Female";"25-29 Male";"25-29 Female";"30-34 Male";"30-34 Female";"35-39 Male";"35-39 Female";"40-44 Male";"40-44 Female";"45-49 Male";"45-49 Female";"50-54 Male";"50-54 Female";"55-59 Male";"55-59 Female";"60-64 Male";"60-64 Female";"65-69 Male";"65-69 Female";"70-74 Male";"70-74 Female";"75-79 Male";"75-79 Female";"80-84 Male";"80-84 Female";"85 and over Male";"85 and over Female";"Not Stated Male";"Not Stated Female"
"PHILIPPINES";334678;247505;12566;9308;4905;4225;2944;2451;2708;1929;5121;2801;8043;3540;9765;3876;10957;4702;13190;6249;15500;7848;20549;10517;25329;13457;29879;15981;34113;19093;35595;22092;31660;23472;29107;27312;22055;28541;20493;40021;199;90
"..NATIONAL CAPITAL REGION";44455;32384;2126;1561;567;483;327;233;296;216;593;372;1172;505;1592;534;1678;683;2126;917;2464;1118;3256;1562;3779;2025;4352;2437;4709;2645;4580;3002;3450;2827;3179;3228;2133;3289;2042;4731;34;16
"....City of Manila";7324;5249;348;232;100;83;42;44;41;22;90;53;170;66;270;77;295;112;356;151;397;152;550;243;702;328;759;378;822;415;746;527;534;448;477;539;333;567;285;811;7;1
"....City of Mandaluyong";1340;986;50;40;9;8;11;2;10;5;19;12;28;11;35;20;60;24;67;34;69;39;99;57;110;58;127;77;160;68;137;91;118;79;88;105;74;107;64;146;5;3
"....City of San Juan";415;395;15;7;3;2;1;2;2;2;3;4;10;2;10;5;9;3;17;4;20;12;34;11;41;23;30;25;46;27;46;38;29;28;40;51;30;54;29;95;..;..
"....Quezon City";9442;7018;493;378;111;98;86;51;66;45;121;84;219;125;348;109;347;132;459;194;534;251;657;358;779;389;917;522;966;555;956;622;713;556;653;654;478;736;536;1159;3;..
"....City of Marikina";1790;1381;96;58;15;20;16;11;7;5;15;12;46;17;59;28;45;32;64;35;102;43;124;57;138;81;160;99;166;108;182;124;153;123;149;171;131;141;122;215;..;1
"....City of Makati";1873;1490;93;47;16;17;13;12;13;4;29;14;35;12;50;18;43;25;66;32;75;51;123;64;168;93;185;107;225;132;212;126;148;140;137;155;109;187;133;254;..;..
"....City of Pasig";2414;1806;118;77;29;18;19;18;22;15;32;21;59;26;80;29;94;37;92;42;130;66;175;87;210;97;235;146;245;160;242;192;206;184;190;179;125;183;110;227;1;2
"....Pateros";287;194;8;10;1;1;1;0;1;1;2;3;8;6;10;3;12;4;10;5;25;7;23;5;26;13;18;13;31;10;28;22;27;19;31;25;14;21;11;25;..;1
"....Taguig City";2173;1524;116;102;44;38;18;11;22;15;24;21;71;29;103;23;101;35;125;42;110;61;173;86;189;124;238;128;231;138;205;134;144;130;122;128;75;132;61;147;1;..
"....Caloocan City";5535;3700;200;161;61;60;49;26;29;31;102;52;160;68;208;71;227;82;324;135;352;142;423;183;461;273;576;292;596;317;566;343;428;334;389;367;211;348;165;409;8;6
"....City of Malabon";1373;1016;56;49;21;9;6;5;17;7;11;9;39;16;53;18;45;24;57;24;78;34;118;56;111;55;139;66;149;92;148;86;100;107;99;118;63;100;63;141;..;..
