"Number and Distribution of Seasonal or Casual workers  by Sex, by Branch of Economic Activity and by Category of Employees (Household survey data)"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E7/0613K3F7030.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Short-term, seasonal or casual workers (000)";"TOTAL";2629;2566;2774;2730;2676;2937;3106;3198;3525;3797;3519;3852;4112;3832;3964;4513;4675;5300;5726;5399;5586;6208;5928;6340
"Short-term, seasonal or casual workers (000)";"..Men";1789;1745;1881;1857;1788;1980;2045;2093;2329;2495;2277;2476;2634;2465;2556;2922;2999;3451;3744;3488;3626;4085;3912;4228
"Short-term, seasonal or casual workers (000)";"..Women";839;821;893;873;888;957;1061;1106;1196;1302;1242;1376;1478;1367;1408;1591;1676;1850;1983;1912;1959;2123;2016;2112
"Short-term, seasonal or casual workers (000)";"..Agriculture";685;653;646;614;675;718;762;817;919;966;777;905;957;875;962;1101;1142;1220;1264;1155;1154;1154;825;1030
"Short-term, seasonal or casual workers (000)";"..Industry";844;852;944;905;840;934;963;957;1046;1113;1101;1167;1187;1068;1058;1246;1229;1458;1605;1534;1622;1880;2098;2200
"Short-term, seasonal or casual workers (000)";"..Services";1100;1061;1183;1211;1162;1284;1381;1425;1559;1717;1641;1780;1968;1889;1945;2166;2304;2623;2857;2711;2810;3174;3006;3110
"Short-term, seasonal or casual workers (000)";"..Private Household";324;290;332;397;299;336;335;335;347;280;290;352;401;354;368;402;407;449;478;453;439;478;471;460
"Short-term, seasonal or casual workers (000)";"..Private Establishment";2056;2028;2194;2102;2155;2329;2506;2588;2866;3183;2921;3177;3349;3113;3242;3707;3839;4409;4774;4522;4670;5255;4985;5346
"Short-term, seasonal or casual workers (000)";"..Worked for Government/Government Corporation";215;210;203;199;189;226;232;252;280;305;285;293;330;349;340;384;405;415;447;400;451;455;449;502
"Short-term, seasonal or casual workers (000)";"..With Pay in Own Family-Operated Farm or Business";34;36;45;32;33;46;32;24;31;28;24;29;32;17;14;20;23;28;27;24;25;20;23;32
"Short-term, seasonal or casual workers, % distribution";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Short-term, seasonal or casual workers, % distribution";"..Men";68.0;68.0;67.8;68.0;66.8;67.4;65.8;65.4;66.1;65.7;64.7;64.3;64.1;64.3;64.5;64.7;64.1;65.1;65.4;64.6;64.9;67.8;66.0;66.7
"Short-term, seasonal or casual workers, % distribution";"..Women";31.9;32.0;32.2;32.0;33.2;32.6;34.2;34.6;33.9;34.3;35.3;35.7;35.9;35.7;35.5;35.3;35.9;34.9;34.6;35.4;35.1;35.2;34.0;33.3
"Short-term, seasonal or casual workers, % distribution";"..Agriculture";26.1;25.4;23.3;22.5;25.2;24.4;24.5;25.5;26.1;25.4;22.1;23.5;23.3;22.8;24.3;24.4;24.4;23.0;22.1;21.4;20.7;19.1;13.9;16.2
"Short-term, seasonal or casual workers, % distribution";"..Industry";32.1;33.2;34.0;33.2;31.4;31.8;31.0;29.9;29.7;29.3;31.3;30.3;28.9;27.9;26.7;27.6;26.3;27.5;28.0;28.4;29.0;31.2;35.4;34.7
"Short-term, seasonal or casual workers, % distribution";"..Services";41.8;41.3;42.6;44.4;43.4;43.7;44.5;44.6;44.2;45.2;46.6;46.2;47.9;49.3;49.1;48.0;49.3;49.5;49.9;50.2;50.3;52.7;50.7;49.1
"Short-term, seasonal or casual workers, % distribution";"..Private Household";12.3;11.3;12.0;14.5;11.2;11.4;10.8;10.5;9.8;7.4;8.2;9.1;9.8;9.2;9.3;8.9;8.7;8.5;8.3;8.4;7.9;7.9;7.9;7.2
"Short-term, seasonal or casual workers, % distribution";"..Private Establishment";78.2;79.0;79.1;77.0;80.5;79.3;80.7;80.9;81.3;83.8;83.0;82.5;81.4;81.2;81.8;82.1;82.1;83.2;83.4;83.8;83.6;87.2;84.1;84.3
"Short-term, seasonal or casual workers, % distribution";"..Worked for Government/Government Corporation";8.2;8.2;7.3;7.3;7.1;7.7;7.5;7.9;7.9;8.0;8.1;7.6;8.0;9.1;8.6;8.5;8.7;7.8;7.8;7.4;8.1;7.5;7.6;7.9
"Short-term, seasonal or casual workers, % distribution";"..With Pay in Own Family-Operated Farm or Business";1.3;1.4;1.6;1.2;1.2;1.6;1.0;0.8;0.9;0.7;0.7;0.8;0.8;0.4;0.4;0.4;0.5;0.5;0.5;0.4;0.4;0.3;0.4;0.5
