"Number of Households by Type of Building, Tenure Status of the Housing Unit/Lot, and Province/Highly Urbanized City: Philippines, 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0061A6DTSH0.px/table/tableViewLayout1/?rxid=1e078637-ce19-499c-bf41-a4d1a933957b"
"Tenure Status of the Housing Unit/Lot";"Geographic Location";"All Types of Building";"Single House";"Duplex";"Apartment/ accessoria/rowhouse";"Condominium/ condotel";"Other multi-unit residential";"Commercial/ industrial/agricultural";"Institutional living quarter";"Other types of building";"Not Reported"
"Total";"PHILIPPINES /a";26376522;23086355;785663;1713666;173806;565763;45670;3644;1869;86
"Total";"..NATIONAL CAPITAL REGION (NCR)";3494685;2341016;140826;506241;162912;326385;16110;722;436;37
"Total";"....City of Manila";483508;277663;14503;41922;24097;122986;1869;209;247;12
"Total";"....City of Mandaluyong";116513;60997;3003;8720;22652;20693;417;23;8;0
"Total";"....City of Marikina";104406;82978;5092;13256;218;2481;356;23;2;0
"Total";"....City of Pasig";212866;124121;12265;41687;12054;22045;671;21;2;0
"Total";"....Quezon City";738367;554889;27601;98250;20807;32094;4495;173;37;21
"Total";"....City of San Juan";31415;16664;851;4234;3557;5897;190;7;15;0
"Total";"....City of Caloocan";404137;314759;18937;51129;1093;16535;1639;38;7;0
"Total";"....City of Malabon";94232;82935;2055;6442;68;2138;544;6;44;0
"Total";"....City of Navotas";63061;53708;1624;3849;0;3609;250;9;10;2
"Total";"....City of Valenzuela";192983;123616;9090;48998;1011;7600;2605;60;1;2
"Total";"....City of Las Piñas";156756;123735;7735;18448;1131;5063;602;37;5;0
"Total";"....City of Makati";186238;73564;5080;30757;47532;28882;381;26;16;0
"Total";"....City of Muntinlupa";138176;98562;6122;27442;1835;3969;229;5;12;0
"Total";"....City of Parañaque";182109;140583;5734;20751;5924;8228;834;46;9;0
"Total";"....Pasay City";127290;65408;3934;34291;15957;6922;753;12;13;0
"Total";"....City of Taguig";246790;135188;16169;53230;4976;36927;266;26;8;0
"Total";"....Pateros";15838;11646;1031;2835;0;316;9;1;0;0
"Total";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";439149;409770;1799;24998;1103;484;874;73;47;1
"Total";"....Abra";58954;58304;468;76;0;73;21;11;0;1
"Total";"....Apayao";28861;28743;57;5;0;14;35;1;6;0
"Total";"....Benguet *";116690;108394;209;7722;0;59;260;14;32;0
"Total";"....Ifugao";48756;48437;122;97;0;75;25;0;0;0
"Total";"....Kalinga";48077;47894;79;35;0;45;20;4;0;0
"Total";"....Mountain Province";37601;37210;56;194;0;113;16;11;1;0
"Total";"....City of Baguio";100210;80788;808;16869;1103;105;497;32;8;0
"Total";"..REGION I (ILOCOS REGION)";1306220;1254980;30643;10913;10;8341;1163;117;50;3
"Total";"....Ilocos Norte";152970;145536;4426;1562;7;1218;200;15;6;0
"Total";"....Ilocos Sur";172042;167290;3097;731;0;770;137;14;3;0
"Total";"....La Union";205028;196408;4503;2816;0;1094;152;50;5;0
"Total";"....Pangasinan";776180;745746;18617;5804;3;5259;674;38;36;3
"Total";"..REGION II (CAGAYAN VALLEY)";907344;872355;21054;7407;0;5260;1192;64;10;2
"Total";"....Batanes";5546;5505;22;0;0;9;4;5;1;0
"Total";"....Cagayan";301509;290801;6854;2005;0;1453;368;28;0;0
"Total";"....Isabela";422569;405502;10616;3282;0;2754;392;21;0;2
"Total";"....Nueva Vizcaya";128175;121758;3096;2082;0;911;311;10;7;0
"Total";"....Quirino";49545;48789;466;38;0;133;117;0;2;0
"Total";"..REGION III (CENTRAL LUZON)";3039882;2585593;135355;255299;360;57562;5008;352;345;8
"Total";"....Aurora";57036;55815;641;396;0;92;72;16;4;0
"Total";"....Bataan";208879;180934;10618;14436;0;2574;285;24;6;2
"Total";"....Bulacan";920457;671305;50233;176828;229;19468;1989;156;247;2
"Total";"....Nueva Ecija";572551;539001;19223;7468;3;6023;780;46;7;0
"Total";"....Pampanga *";573763;510491;22941;25539;4;13980;750;46;10;2
"Total";"....Tarlac";359534;335164;13770;5202;39;4893;406;22;36;2
"Total";"....Zambales *";164922;151166;7334;3768;0;2480;132;25;17;0
"Total";"....City of Angeles";116318;96350;5875;9245;7;4477;339;9;16;0
"Total";"....City of Olongapo";66422;45367;4720;12417;78;3575;255;8;2;0
"Total";"..REGION IV-A (CALABARZON)";4061996;3019333;255284;708726;4640;67007;6211;333;449;13
"Total";"....Batangas";715915;610659;34470;59521;7;10046;1072;71;67;2
"Total";"....Cavite";1095917;662914;105024;300282;1702;23232;2316;96;344;7
"Total";"....Laguna";915250;616880;62945;217513;345;16554;939;51;21;2
"Total";"....Quezon *";483655;454656;14820;9796;0;3685;656;39;3;0
"Total";"....Rizal";784360;615189;35231;117454;2586;12708;1103;73;14;2
"Total";"....City of Lucena";66899;59035;2794;4160;0;782;125;3;0;0
"Total";"..MIMAROPA REGION";792789;765068;11099;11537;12;3878;1037;154;4;0
"Total";"....Marinduque";60547;59612;532;217;0;141;39;5;1;0
"Total";"....Occidental Mindoro";126627;123182;1878;851;0;631;77;7;1;0
"Total";"....Oriental Mindoro";215071;205282;3994;4851;0;581;331;31;1;0
"Total";"....Palawan *";230809;226333;1534;1809;0;711;372;50;0;0
"Total";"....Romblon";77635;75828;1044;477;0;243;31;11;1;0
"Total";"....City of Puerto Princesa";82100;74831;2117;3332;12;1571;187;50;0;0
"Total";"..REGION V (BICOL REGION)";1364824;1320904;22859;13043;11;6176;1535;243;53;0
"Total";"....Albay";311416;300866;6425;1962;11;1769;274;102;7;0
"Total";"....Camarines Norte";144139;138784;2433;2171;0;487;245;9;10;0
"Total";"....Camarines Sur";455217;434828;9502;7304;0;2890;626;46;21;0
"Total";"....Catanduanes";60336;59625;348;157;0;60;79;57;10;0
"Total";"....Masbate";206278;203737;1455;493;0;441;138;11;3;0
"Total";"....Sorsogon";187438;183064;2696;956;0;529;173;18;2;0
"Total";"..REGION VI (WESTERN VISAYAS)";1939744;1870861;25595;32451;75;8459;2009;231;63;0
"Total";"....Aklan";151373;147355;1501;1896;3;325;252;40;1;0
"Total";"....Antique";147681;145081;1566;585;1;308;123;15;2;0
"Total";"....Capiz";202026;194578;2886;3863;2;570;108;10;9;0
"Total";"....Guimaras";47474;47309;51;37;0;17;57;1;2;0
"Total";"....Iloilo *";506167;488974;5989;8671;4;2155;288;57;29;0
"Total";"....Negros Occidental *";637910;616284;7825;10803;0;2588;375;35;0;0
"Total";"....City of Bacolod";142813;135411;3209;2489;10;1250;394;44;6;0
"Total";"....City of Iloilo";104300;95869;2568;4107;55;1246;412;29;14;0
"Total";"..REGION VII (CENTRAL VISAYAS)";1965256;1836040;35145;57755;3762;30097;2120;262;73;2
"Total";"....Bohol";321983;316631;2611;1192;0;1195;270;67;17;0
"Total";"....Cebu *";799368;756020;15456;19522;5;7660;624;61;20;0
"Total";"....Negros Oriental";347927;339636;3483;2296;12;2205;239;42;12;2
"Total";"....Siquijor";25803;25667;60;28;0;10;35;2;1;0
"Total";"....City of Cebu";237797;209632;6668;11506;2345;7056;500;75;15;0
"Total";"....City of Lapu-Lapu (Opon)";129628;102457;4183;14943;277;7607;149;11;1;0
"Total";"....City of Mandaue";102750;85997;2684;8268;1123;4364;303;4;7;0
"Total";"..REGION VIII (EASTERN VISAYAS)";1081813;1036029;17681;22466;1;4612;888;97;39;0
"Total";"....Biliran";43049;41795;159;1008;0;35;49;3;0;0
"Total";"....Eastern Samar";115766;113070;1229;1049;0;362;47;5;4;0
"Total";"....Leyte *";443328;425336;7395;8082;1;2153;307;35;19;0
"Total";"....Northern Samar";139842;137901;1353;178;0;305;84;20;1;0
"Total";"....Samar (Western Samar)";181732;175217;3524;1892;0;996;84;15;4;0
"Total";"....Southern Leyte";100860;97051;2713;643;0;323;113;12;5;0
"Total";"....City of Tacloban";57236;45659;1308;9614;0;438;204;7;6;0
"Total";"..REGION IX (ZAMBOANGA PENINSULA)";895285;865994;13604;7565;0;6909;1032;145;31;5
"Total";"....Zamboanga del Norte";247968;242691;2341;2304;0;448;160;24;0;0
"Total";"....Zamboanga del Sur *";239224;236609;1072;580;0;649;250;53;11;0
"Total";"....Zamboanga Sibugay";154664;150481;2556;213;0;1047;332;34;1;0
"Total";"....City of Isabela **";26646;25772;518;101;0;232;19;1;3;0
"Total";"....City of Zamboanga";226783;210441;7117;4367;0;4533;271;33;16;5
"Total";"..REGION X (NORTHERN MINDANAO)";1197420;1144110;22094;15681;99;13492;1754;160;25;5
"Total";"....Bukidnon";357098;349505;3887;1259;1;1821;558;57;9;1
"Total";"....Camiguin";22281;22049;145;38;0;19;26;4;0;0
"Total";"....Lanao del Norte *";161392;157066;2975;311;0;834;193;13;0;0
"Total";"....Misamis Occidental";149125;144001;2462;1606;0;940;100;11;5;0
"Total";"....Misamis Oriental *";230203;222940;4088;932;0;1983;228;25;5;2
"Total";"....City of Cagayan de Oro";190099;171350;5002;7290;98;5843;470;41;5;0
"Total";"....City of Iligan";87222;77199;3535;4245;0;2052;179;9;1;2
"Total";"..REGION XI (DAVAO REGION)";1336312;1271608;27640;16363;808;17178;2275;344;90;6
"Total";"....Davao de Oro (Compostela Valley)";188900;175811;10033;900;4;1830;285;29;6;2
"Total";"....Davao del Norte";271649;258436;4553;4421;7;3767;389;68;8;0
"Total";"....Davao del Sur *";181436;177480;1447;1432;0;901;147;14;15;0
"Total";"....Davao Occidental";78182;78090;23;4;0;23;27;15;0;0
"Total";"....Davao Oriental";140059;136419;2630;176;0;716;82;33;1;2
"Total";"....City of Davao";476086;445372;8954;9430;797;9941;1345;185;60;2
"Total";"..REGION XII (SOCCSKSARGEN)";1063624;1030896;10437;17349;0;3560;1161;123;96;2
"Total";"....Cotabato (North Cotabato)";306710;301435;2625;1191;0;1022;341;23;73;0
"Total";"....Sarangani";133863;132021;1131;225;0;422;55;9;0;0
"Total";"....South Cotabato *";244981;238735;1745;3510;0;697;282;6;6;0
"Total";"....Sultan Kudarat";202730;199455;1482;881;0;602;230;77;1;2
"Total";"....City of General Santos (Dadiangas)";175340;159250;3454;11542;0;817;253;8;16;0
"Total";"..REGION XIII (CARAGA)";660813;643541;8645;4432;0;3307;731;130;27;0
"Total";"....Agusan del Norte *";90991;88306;1647;443;0;529;64;2;0;0
"Total";"....Agusan del Sur";173953;171385;1373;431;0;537;176;39;12;0
"Total";"....Dinagat Islands";29391;29137;165;8;0;55;24;2;0;0
"Total";"....Surigao del Norte";126542;123214;1565;1269;0;379;103;10;2;0
"Total";"....Surigao del Sur";150535;146793;2258;360;0;972;133;13;6;0
"Total";"....City of Butuan";89401;84706;1637;1921;0;835;231;64;7;0
"Total";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";829366;818257;5903;1440;13;3056;570;94;31;2
"Total";"....Basilan";73419;73084;194;38;3;82;10;5;3;0
"Total";"....Lanao del Sur";181511;177392;2292;267;0;1424;92;21;23;0
