"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020"

"Number of Occupants";"Geographic Location";"Total";"Less than 5 sq.m/ Less than 54 sq.ft.";"5 - 9 sq.m./ 54 - 107 sq.ft.";"10 - 19 sq.m./ 108 - 209 sq.ft.";"20 - 29 sq.m./ 210 - 317 sq.ft.";"30 - 49 sq.m./ 318 - 532 sq.ft.";"50 - 69 sq.m./ 533 - 748 sq.ft.";"70 - 89 sq.m./ 749 - 963 sq.ft.";"90 - 119 sq.m./ 964 - 1,286 sq.ft.";"120 - 149 sq.m./ 1,287 - 1,609 sq.ft.";"150 - 199 sq.m./ 1,610 - 2,147 sq.ft.";"200 sq.m. and over/ 2,148 sq.ft. and over";"Not Reported";"Not applicable"
"Total";"PHILIPPINES";25191610;604430;1971391;4280677;4697906;4916334;3172998;1967744;1448698;893246;538621;567182;130709;1674
"Total";"..NATIONAL CAPITAL REGION (NCR)";3257020;61416;196190;499314;697177;693768;363962;194287;143170;112844;81822;107839;104832;399
"Total";"....City of Manila";447791;14474;41008;80663;94739;86224;46459;25515;19080;13388;10253;7730;8028;230
"Total";"....City of Mandaluyong";108859;1746;7395;19531;25621;19987;11530;4553;3140;1981;1534;2138;9695;8
"Total";"....City of Marikina";97768;933;2574;10087;24090;19187;11972;7576;5898;4812;3730;6872;35;2
"Total";"....City of Pasig";196744;1924;7837;27753;46465;50754;23077;11819;7075;5398;4136;6303;4201;2
"Total";"....Quezon City";697332;15740;46768;102628;140569;155243;78267;39092;28963;24134;20161;33746;11990;31
"Total";"....City of San Juan";29503;567;1650;3496;5295;4867;3274;1990;1479;1334;1032;1366;3138;15
"Total";"....City of Caloocan";379922;6705;16822;45309;71910;91577;55983;34915;23826;18189;7116;7333;230;7
"Total";"....City of Malabon";88079;1209;5012;19550;25585;16947;9007;4691;2004;1746;1067;1049;169;43
"Total";"....City of Navotas";55476;3141;6852;12950;9810;9437;5856;3846;1438;1036;588;423;89;10
"Total";"....City of Valenzuela";177749;3524;8559;31012;52999;36420;16862;7848;6597;6291;3265;4309;62;1
"Total";"....City of Las Piñas";142990;1434;5524;17543;28551;29880;16663;10370;8734;7864;7285;9065;72;5
"Total";"....City of Makati";180256;1801;7000;20545;28680;27511;16230;8065;6365;4971;3239;6315;49525;9
"Total";"....City of Muntinlupa";126655;778;5887;18755;27365;34477;13367;6439;4689;4352;5072;4287;1179;8
"Total";"....City of Parañaque";170674;3453;11269;26571;33518;28914;16337;10042;9486;8623;8028;12378;2046;9
"Total";"....Pasay City";114778;1219;8803;24261;24732;20332;10064;4479;3972;2598;1759;1361;11185;13
"Total";"....City of Taguig";228341;2715;12900;36812;53627;58053;27256;12102;9821;5618;3286;2973;3172;6
"Total";"....Pateros";14103;53;330;1848;3621;3958;1758;945;603;509;271;191;16;0
"Total";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";432668;1059;10555;46240;85612;92329;67104;43872;36285;21192;14518;13818;37;47
"Total";"....Abra";56928;75;388;2461;10755;15546;9858;6781;4920;3044;1547;1536;17;0
"Total";"....Apayao";28385;167;1591;5102;7451;6282;3144;1886;1268;756;422;307;3;6
"Total";"....Benguet *";115716;307;3249;15787;21573;23220;17113;10710;10184;5617;4101;3822;1;32
"Total";"....Ifugao";48379;186;1926;8760;12281;9566;6461;3681;2402;1416;810;875;15;0
"Total";"....Kalinga";47778;51;303;1721;11786;11897;8287;5715;3910;2115;1171;822;0;0
"Total";"....Mountain Province";37534;79;1214;5216;9015;7837;5703;3564;2448;1331;743;383;0;1
"Total";"....City of Baguio";97948;194;1884;7193;12751;17981;16538;11535;11153;6913;5724;6073;1;8
"Total";"..REGION I (ILOCOS REGION)";1231448;23847;72242;142022;215623;259938;193676;127495;89079;51981;28628;25964;903;50
"Total";"....Ilocos Norte";141731;1203;4959;12470;27382;34844;22097;15114;10828;6158;3712;2953;5;6
"Total";"....Ilocos Sur";164711;5981;15887;19855;20910;28297;22247;17232;13280;9152;5622;6233;12;3
"Total";"....La Union";192998;1095;6287;21563;37581;43377;31149;20495;14335;8394;4751;3938;28;5
"Total";"....Pangasinan";732008;15568;45109;88134;129750;153420;118183;74654;50636;28277;14543;12840;858;36
"Total";"..REGION II (CAGAYAN VALLEY)";875592;13676;48589;111144;174631;203851;124424;82277;54410;31702;16239;14516;126;7
"Total";"....Batanes";5174;309;435;558;743;1119;703;405;365;221;174;138;3;1
"Total";"....Cagayan";291652;5048;19389;43683;60693;66202;36040;24401;16350;9978;5119;4715;34;0
"Total";"....Isabela";405425;5610;20061;47325;78298;97821;60983;40492;25920;15074;7521;6264;56;0
"Total";"....Nueva Vizcaya";124274;2687;8560;17614;20028;24570;18471;11881;9003;5141;3031;3264;20;4
"Total";"....Quirino";49067;22;144;1964;14869;14139;8227;5098;2772;1288;394;135;13;2
