"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Workers Benifitted by Sex, Category and Major Industry Group, Philippines:  2017 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/6751B3GP110.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Sex";"Category of Employees Who Benefitted from PIP Incentives";"2017";"2019"
"ALL INDUSTRIES";"Both Sexes";"Total";906534;878399
"ALL INDUSTRIES";"Both Sexes";"..Total";..;..
"ALL INDUSTRIES";"Both Sexes";"....Managerial/Executive";..;..
"ALL INDUSTRIES";"Both Sexes";"....Supervisors/Foremen";..;..
"ALL INDUSTRIES";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"ALL INDUSTRIES";"..Male";"Total";..;..
"ALL INDUSTRIES";"..Male";"..Total";503367;473886
"ALL INDUSTRIES";"..Male";"....Managerial/Executive";21915;30074
"ALL INDUSTRIES";"..Male";"....Supervisors/Foremen";43838;46033
"ALL INDUSTRIES";"..Male";"....Rank-and-File/Production Workers";437614;397779
"ALL INDUSTRIES";"..Female";"Total";..;..
"ALL INDUSTRIES";"..Female";"..Total";403166;404513
"ALL INDUSTRIES";"..Female";"....Managerial/Executive";18083;35196
"ALL INDUSTRIES";"..Female";"....Supervisors/Foremen";36189;39539
"ALL INDUSTRIES";"..Female";"....Rank-and-File/Production Workers";348895;329777
"..Agriculture, Forestry and Fishing";"Both Sexes";"Total";30996;8826
"..Agriculture, Forestry and Fishing";"Both Sexes";"..Total";..;..
"..Agriculture, Forestry and Fishing";"Both Sexes";"....Managerial/Executive";..;..
"..Agriculture, Forestry and Fishing";"Both Sexes";"....Supervisors/Foremen";..;..
"..Agriculture, Forestry and Fishing";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Agriculture, Forestry and Fishing";"..Male";"Total";..;..
"..Agriculture, Forestry and Fishing";"..Male";"..Total";24669;7279
"..Agriculture, Forestry and Fishing";"..Male";"....Managerial/Executive";355;108
"..Agriculture, Forestry and Fishing";"..Male";"....Supervisors/Foremen";2302;396
"..Agriculture, Forestry and Fishing";"..Male";"....Rank-and-File/Production Workers";22012;6775
"..Agriculture, Forestry and Fishing";"..Female";"Total";..;..
"..Agriculture, Forestry and Fishing";"..Female";"..Total";6327;1547
"..Agriculture, Forestry and Fishing";"..Female";"....Managerial/Executive";119;31
"..Agriculture, Forestry and Fishing";"..Female";"....Supervisors/Foremen";629;235
"..Agriculture, Forestry and Fishing";"..Female";"....Rank-and-File/Production Workers";5580;1281
"..Mining and Quarrying";"Both Sexes";"Total";2595;2848
"..Mining and Quarrying";"Both Sexes";"..Total";..;..
"..Mining and Quarrying";"Both Sexes";"....Managerial/Executive";..;..
"..Mining and Quarrying";"Both Sexes";"....Supervisors/Foremen";..;..
"..Mining and Quarrying";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Mining and Quarrying";"..Male";"Total";..;..
"..Mining and Quarrying";"..Male";"..Total";2183;2517
"..Mining and Quarrying";"..Male";"....Managerial/Executive";112;201
"..Mining and Quarrying";"..Male";"....Supervisors/Foremen";430;277
"..Mining and Quarrying";"..Male";"....Rank-and-File/Production Workers";1641;2040
"..Mining and Quarrying";"..Female";"Total";..;..
"..Mining and Quarrying";"..Female";"..Total";412;330
"..Mining and Quarrying";"..Female";"....Managerial/Executive";49;78
"..Mining and Quarrying";"..Female";"....Supervisors/Foremen";203;118
"..Mining and Quarrying";"..Female";"....Rank-and-File/Production Workers";160;134
