"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Assisting Government Agency and Major Industry Group, Philippines:  2013 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/7251B3GP130.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Assisting Government Agency";"2013";"2015";"2017";"2019"
"ALL INDUSTRIES";"Total Establishments with PIPs";.;.;17563;15234
"ALL INDUSTRIES";"Total Establishments Assisted";6488;.;.;4176
"ALL INDUSTRIES";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;3647;.
"ALL INDUSTRIES";"Department of Labor and Employment (DOLE)";4374;.;.;3334
"ALL INDUSTRIES";"Regional Tripartite Wage and Productivity Board (RTWPB)";1559;.;.;1171
"ALL INDUSTRIES";"Department of Science and Technology (DOST)";449;.;290;160
"ALL INDUSTRIES";"Development Academy of the Philippines (DAP)";102;.;47;6
"ALL INDUSTRIES";"Department of Trade of Industry";1430;.;.;.
"ALL INDUSTRIES";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;451;475
"ALL INDUSTRIES";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;30;1
"ALL INDUSTRIES";"Other Assisting Agencies";1250;.;754;416
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";.;.;442;205
"..Agriculture, Forestry and Fishing";"Total Establishments Assisted";327;.;.;59
"..Agriculture, Forestry and Fishing";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;86;.
"..Agriculture, Forestry and Fishing";"Department of Labor and Employment (DOLE)";205;.;.;55
"..Agriculture, Forestry and Fishing";"Regional Tripartite Wage and Productivity Board (RTWPB)";57;.;.;9
"..Agriculture, Forestry and Fishing";"Department of Science and Technology (DOST)";93;.;16;0
"..Agriculture, Forestry and Fishing";"Development Academy of the Philippines (DAP)";0;.;10;0
"..Agriculture, Forestry and Fishing";"Department of Trade of Industry";34;.;.;.
"..Agriculture, Forestry and Fishing";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;13;3
"..Agriculture, Forestry and Fishing";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Agriculture, Forestry and Fishing";"Other Assisting Agencies";101;.;38;8
"..Mining and Quarrying";"Total Establishments with PIPs";.;.;66;65
"..Mining and Quarrying";"Total Establishments Assisted";42;.;.;25
"..Mining and Quarrying";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;19;.
"..Mining and Quarrying";"Department of Labor and Employment (DOLE)";19;.;.;11
"..Mining and Quarrying";"Regional Tripartite Wage and Productivity Board (RTWPB)";4;.;.;0
"..Mining and Quarrying";"Department of Science and Technology (DOST)";14;.;1;0
"..Mining and Quarrying";"Development Academy of the Philippines (DAP)";2;.;2;3
"..Mining and Quarrying";"Department of Trade of Industry";2;.;.;.
"..Mining and Quarrying";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;0;6
"..Mining and Quarrying";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Mining and Quarrying";"Other Assisting Agencies";17;.;6;8
"..Manufacturing";"Total Establishments with PIPs";.;.;3677;3134
"..Manufacturing";"Total Establishments Assisted";1531;.;.;653
"..Manufacturing";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;689;.
"..Manufacturing";"Department of Labor and Employment (DOLE)";981;.;.;515
"..Manufacturing";"Regional Tripartite Wage and Productivity Board (RTWPB)";430;.;.;124
"..Manufacturing";"Department of Science and Technology (DOST)";122;.;117;70
"..Manufacturing";"Development Academy of the Philippines (DAP)";5;.;6;3
"..Manufacturing";"Department of Trade of Industry";477;.;.;.
