"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Category of Workers Covered, Sex and Major Industry Group, Philippines: 2017 - 2019"

"Major Industry Group";"Sex";"Coverage of the Productivity Improvement Program";"2017";"2019"
"ALL INDUSTRIES";"Both Sexes";"Total Workers Covered by the PIPs";2187444;1850601
"ALL INDUSTRIES";"Both Sexes";"..Total";..;..
"ALL INDUSTRIES";"Both Sexes";"....Managerial/Executive";..;..
"ALL INDUSTRIES";"Both Sexes";"....Supervisors/Foremen";..;..
"ALL INDUSTRIES";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"ALL INDUSTRIES";"..Male";"Total Workers Covered by the PIPs";..;..
"ALL INDUSTRIES";"..Male";"..Total";1206648;1036617
"ALL INDUSTRIES";"..Male";"....Managerial/Executive";.;49749
"ALL INDUSTRIES";"..Male";"....Supervisors/Foremen";.;101125
"ALL INDUSTRIES";"..Male";"....Rank-and-File/Production Workers";.;885743
"ALL INDUSTRIES";"..Female";"Total Workers Covered by the PIPs";..;..
"ALL INDUSTRIES";"..Female";"..Total";980796;813984
"ALL INDUSTRIES";"..Female";"....Managerial/Executive";.;54561
"ALL INDUSTRIES";"..Female";"....Supervisors/Foremen";.;82145
"ALL INDUSTRIES";"..Female";"....Rank-and-File/Production Workers";.;677277
"..Agriculture, Forestry and Fishing";"Both Sexes";"Total Workers Covered by the PIPs";56484;24394
"..Agriculture, Forestry and Fishing";"Both Sexes";"..Total";..;..
"..Agriculture, Forestry and Fishing";"Both Sexes";"....Managerial/Executive";..;..
"..Agriculture, Forestry and Fishing";"Both Sexes";"....Supervisors/Foremen";..;..
"..Agriculture, Forestry and Fishing";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Agriculture, Forestry and Fishing";"..Male";"Total Workers Covered by the PIPs";..;..
"..Agriculture, Forestry and Fishing";"..Male";"..Total";44036;19986
"..Agriculture, Forestry and Fishing";"..Male";"....Managerial/Executive";.;367
"..Agriculture, Forestry and Fishing";"..Male";"....Supervisors/Foremen";.;1696
"..Agriculture, Forestry and Fishing";"..Male";"....Rank-and-File/Production Workers";.;17923
"..Agriculture, Forestry and Fishing";"..Female";"Total Workers Covered by the PIPs";..;..
"..Agriculture, Forestry and Fishing";"..Female";"..Total";12448;4408
"..Agriculture, Forestry and Fishing";"..Female";"....Managerial/Executive";.;103
"..Agriculture, Forestry and Fishing";"..Female";"....Supervisors/Foremen";.;790
"..Agriculture, Forestry and Fishing";"..Female";"....Rank-and-File/Production Workers";.;3515
"..Mining and Quarrying";"Both Sexes";"Total Workers Covered by the PIPs";6341;9542
"..Mining and Quarrying";"Both Sexes";"..Total";..;..
"..Mining and Quarrying";"Both Sexes";"....Managerial/Executive";..;..
"..Mining and Quarrying";"Both Sexes";"....Supervisors/Foremen";..;..
"..Mining and Quarrying";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Mining and Quarrying";"..Male";"Total Workers Covered by the PIPs";..;..
"..Mining and Quarrying";"..Male";"..Total";5353;8532
"..Mining and Quarrying";"..Male";"....Managerial/Executive";.;301
"..Mining and Quarrying";"..Male";"....Supervisors/Foremen";.;1483
"..Mining and Quarrying";"..Male";"....Rank-and-File/Production Workers";.;6748
"..Mining and Quarrying";"..Female";"Total Workers Covered by the PIPs";..;..
"..Mining and Quarrying";"..Female";"..Total";988;1009
"..Mining and Quarrying";"..Female";"....Managerial/Executive";.;113
"..Mining and Quarrying";"..Female";"....Supervisors/Foremen";.;424
"..Mining and Quarrying";"..Female";"....Rank-and-File/Production Workers";.;473
"..Manufacturing";"Both Sexes";"Total Workers Covered by the PIPs";681818;473129
"..Manufacturing";"Both Sexes";"..Total";..;..
"..Manufacturing";"Both Sexes";"....Managerial/Executive";..;..
"..Manufacturing";"Both Sexes";"....Supervisors/Foremen";..;..
"..Manufacturing";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Manufacturing";"..Male";"Total Workers Covered by the PIPs";..;..
"..Manufacturing";"..Male";"..Total";350284;251005
"..Manufacturing";"..Male";"....Managerial/Executive";.;10466
"..Manufacturing";"..Male";"....Supervisors/Foremen";.;23492
"..Manufacturing";"..Male";"....Rank-and-File/Production Workers";.;217047
"..Manufacturing";"..Female";"Total Workers Covered by the PIPs";..;..
"..Manufacturing";"..Female";"..Total";331534;222124
"..Manufacturing";"..Female";"....Managerial/Executive";.;6109
"..Manufacturing";"..Female";"....Supervisors/Foremen";.;16254
"..Manufacturing";"..Female";"....Rank-and-File/Production Workers";.;199761
"..Electricity, Gas, Steam and Air Conditioning Supply";"Both Sexes";"Total Workers Covered by the PIPs";40524;23661
"..Electricity, Gas, Steam and Air Conditioning Supply";"Both Sexes";"..Total";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"Both Sexes";"....Managerial/Executive";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"Both Sexes";"....Supervisors/Foremen";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Male";"Total Workers Covered by the PIPs";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Male";"..Total";32499;18769
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Male";"....Managerial/Executive";.;746
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Male";"....Supervisors/Foremen";.;2514
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Male";"....Rank-and-File/Production Workers";.;15509
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Female";"Total Workers Covered by the PIPs";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Female";"..Total";8025;4893
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Female";"....Managerial/Executive";.;446
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Female";"....Supervisors/Foremen";.;943
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Female";"....Rank-and-File/Production Workers";.;3503
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Both Sexes";"Total Workers Covered by the PIPs";16248;13672
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Both Sexes";"..Total";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Male";"Total Workers Covered by the PIPs";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Male";"..Total";12144;10131
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Male";"....Managerial/Executive";.;387
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Male";"....Supervisors/Foremen";.;1638
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Male";"....Rank-and-File/Production Workers";.;8105
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Female";"Total Workers Covered by the PIPs";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Female";"..Total";4104;3541
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Female";"....Managerial/Executive";.;389
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Female";"....Supervisors/Foremen";.;1031
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Female";"....Rank-and-File/Production Workers";.;2121
"..Construction";"Both Sexes";"Total Workers Covered by the PIPs";79487;119366
"..Construction";"Both Sexes";"..Total";..;..
"..Construction";"Both Sexes";"....Managerial/Executive";..;..
"..Construction";"Both Sexes";"....Supervisors/Foremen";..;..
"..Construction";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Construction";"..Male";"Total Workers Covered by the PIPs";..;..
"..Construction";"..Male";"..Total";71682;107839
"..Construction";"..Male";"....Managerial/Executive";.;2086
"..Construction";"..Male";"....Supervisors/Foremen";.;6386
"..Construction";"..Male";"....Rank-and-File/Production Workers";.;99367
"..Construction";"..Female";"Total Workers Covered by the PIPs";..;..
"..Construction";"..Female";"..Total";7805;11527
"..Construction";"..Female";"....Managerial/Executive";.;1050
"..Construction";"..Female";"....Supervisors/Foremen";.;1019
"..Construction";"..Female";"....Rank-and-File/Production Workers";.;9459
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Both Sexes";"Total Workers Covered by the PIPs";273299;279887
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Both Sexes";"..Total";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Both Sexes";"....Managerial/Executive";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Both Sexes";"....Supervisors/Foremen";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Male";"Total Workers Covered by the PIPs";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Male";"..Total";148701;151977
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Male";"....Managerial/Executive";.;7955
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Male";"....Supervisors/Foremen";.;22011
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Male";"....Rank-and-File/Production Workers";.;122012
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Female";"Total Workers Covered by the PIPs";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Female";"..Total";124598;127910
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Female";"....Managerial/Executive";.;7175
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Female";"....Supervisors/Foremen";.;21762
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Female";"....Rank-and-File/Production Workers";.;98974
"..Transportation and Storage";"Both Sexes";"Total Workers Covered by the PIPs";64254;44920
"..Transportation and Storage";"Both Sexes";"..Total";..;..
"..Transportation and Storage";"Both Sexes";"....Managerial/Executive";..;..
"..Transportation and Storage";"Both Sexes";"....Supervisors/Foremen";..;..
"..Transportation and Storage";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Transportation and Storage";"..Male";"Total Workers Covered by the PIPs";..;..
"..Transportation and Storage";"..Male";"..Total";47370;35347
"..Transportation and Storage";"..Male";"....Managerial/Executive";.;2119
"..Transportation and Storage";"..Male";"....Supervisors/Foremen";.;3863
"..Transportation and Storage";"..Male";"....Rank-and-File/Production Workers";.;29366
"..Transportation and Storage";"..Female";"Total Workers Covered by the PIPs";..;..
"..Transportation and Storage";"..Female";"..Total";16884;9572
"..Transportation and Storage";"..Female";"....Managerial/Executive";.;1125
"..Transportation and Storage";"..Female";"....Supervisors/Foremen";.;1042
"..Transportation and Storage";"..Female";"....Rank-and-File/Production Workers";.;7406
"..Accommodation and Food Service Activities";"Both Sexes";"Total Workers Covered by the PIPs";116251;92567
"..Accommodation and Food Service Activities";"Both Sexes";"..Total";..;..
"..Accommodation and Food Service Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Accommodation and Food Service Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Accommodation and Food Service Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Accommodation and Food Service Activities";"..Male";"Total Workers Covered by the PIPs";..;..
"..Accommodation and Food Service Activities";"..Male";"..Total";66916;52884
"..Accommodation and Food Service Activities";"..Male";"....Managerial/Executive";.;2844
"..Accommodation and Food Service Activities";"..Male";"....Supervisors/Foremen";.;4267
"..Accommodation and Food Service Activities";"..Male";"....Rank-and-File/Production Workers";.;45774
"..Accommodation and Food Service Activities";"..Female";"Total Workers Covered by the PIPs";..;..
"..Accommodation and Food Service Activities";"..Female";"..Total";49335;39682
"..Accommodation and Food Service Activities";"..Female";"....Managerial/Executive";.;5309
"..Accommodation and Food Service Activities";"..Female";"....Supervisors/Foremen";.;4498
"..Accommodation and Food Service Activities";"..Female";"....Rank-and-File/Production Workers";.;29876
"..Information and Communication";"Both Sexes";"Total Workers Covered by the PIPs";60593;38129
"..Information and Communication";"Both Sexes";"..Total";..;..
"..Information and Communication";"Both Sexes";"....Managerial/Executive";..;..
"..Information and Communication";"Both Sexes";"....Supervisors/Foremen";..;..
"..Information and Communication";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Information and Communication";"..Male";"Total Workers Covered by the PIPs";..;..
"..Information and Communication";"..Male";"..Total";34473;21740
"..Information and Communication";"..Male";"....Managerial/Executive";.;1320
"..Information and Communication";"..Male";"....Supervisors/Foremen";.;2440
"..Information and Communication";"..Male";"....Rank-and-File/Production Workers";.;17980
"..Information and Communication";"..Female";"Total Workers Covered by the PIPs";..;..
"..Information and Communication";"..Female";"..Total";26120;16388
"..Information and Communication";"..Female";"....Managerial/Executive";.;1013
"..Information and Communication";"..Female";"....Supervisors/Foremen";.;1568
"..Information and Communication";"..Female";"....Rank-and-File/Production Workers";.;13807
"..Financial and Insurance Activities";"Both Sexes";"Total Workers Covered by the PIPs";101804;121148
"..Financial and Insurance Activities";"Both Sexes";"..Total";..;..
"..Financial and Insurance Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Financial and Insurance Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Financial and Insurance Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Financial and Insurance Activities";"..Male";"Total Workers Covered by the PIPs";..;..
"..Financial and Insurance Activities";"..Male";"..Total";45138;47131
"..Financial and Insurance Activities";"..Male";"....Managerial/Executive";.;10601
"..Financial and Insurance Activities";"..Male";"....Supervisors/Foremen";.;6257
"..Financial and Insurance Activities";"..Male";"....Rank-and-File/Production Workers";.;30274
"..Financial and Insurance Activities";"..Female";"Total Workers Covered by the PIPs";..;..
"..Financial and Insurance Activities";"..Female";"..Total";56666;74017
"..Financial and Insurance Activities";"..Female";"....Managerial/Executive";.;18548
"..Financial and Insurance Activities";"..Female";"....Supervisors/Foremen";.;10324
"..Financial and Insurance Activities";"..Female";"....Rank-and-File/Production Workers";.;45146
"..Real Estate Activities";"Both Sexes";"Total Workers Covered by the PIPs";18501;6651
"..Real Estate Activities";"Both Sexes";"..Total";..;..
"..Real Estate Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Real Estate Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Real Estate Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Real Estate Activities";"..Male";"Total Workers Covered by the PIPs";..;..
"..Real Estate Activities";"..Male";"..Total";10699;4260
"..Real Estate Activities";"..Male";"....Managerial/Executive";.;803
"..Real Estate Activities";"..Male";"....Supervisors/Foremen";.;601
"..Real Estate Activities";"..Male";"....Rank-and-File/Production Workers";.;2856
"..Real Estate Activities";"..Female";"Total Workers Covered by the PIPs";..;..
"..Real Estate Activities";"..Female";"..Total";7803;2390
"..Real Estate Activities";"..Female";"....Managerial/Executive";.;537
