"Number of Establishments Employing 20 or More Workers With Productivity Improvement Programs (PIPs) by Extent PIP Objective Was Met, Philippines: 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/3751B3GP06c.px/table/tableViewLayout1/?rxid=445265cc-dbdb-4720-8a25-699cc800758c"
"Productivity Improvement Program (PIP) Objective";"Extent PIP Objective Was Met";"2013"
"Shorten Process Cycle Time";"Total Establishments with PIP Objective";6722
"Shorten Process Cycle Time";"..100%";1187
"Shorten Process Cycle Time";"..99%-50%";5009
"Shorten Process Cycle Time";"..Below 50%";525
"Reduction of Work Accidents/Injuries";"Total Establishments with PIP Objective";10458
"Reduction of Work Accidents/Injuries";"..100%";3457
"Reduction of Work Accidents/Injuries";"..99%-50%";6201
"Reduction of Work Accidents/Injuries";"..Below 50%";800
"Reduction of Wastage";"Total Establishments with PIP Objective";9405
"Reduction of Wastage";"..100%";1841
"Reduction of Wastage";"..99%-50%";6717
"Reduction of Wastage";"..Below 50%";848
"Reduction of Customer Complaints";"Total Establishments with PIP Objective";14387
"Reduction of Customer Complaints";"..100%";3546
"Reduction of Customer Complaints";"..99%-50%";9283
"Reduction of Customer Complaints";"..Below 50%";1559
"Reduction of Personnel Downtime";"Total Establishments with PIP Objective";6474
"Reduction of Personnel Downtime";"..100%";1282
"Reduction of Personnel Downtime";"..99%-50%";4562
"Reduction of Personnel Downtime";"..Below 50%";629
"Reduction of Machine Downtime";"Total Establishments with PIP Objective";5212
"Reduction of Machine Downtime";"..100%";1070
"Reduction of Machine Downtime";"..99%-50%";3560
"Reduction of Machine Downtime";"..Below 50%";582
"Reduction of Rework";"Total Establishments with PIP Objective";5741
"Reduction of Rework";"..100%";1220
"Reduction of Rework";"..99%-50%";3777
"Reduction of Rework";"..Below 50%";744
"Increase of Profit or Sales";"Total Establishments with PIP Objective";11575
"Increase of Profit or Sales";"..100%";2921
"Increase of Profit or Sales";"..99%-50%";7536
"Increase of Profit or Sales";"..Below 50%";1118
"Increase of Volume of Production";"Total Establishments with PIP Objective";7091
"Increase of Volume of Production";"..100%";1895
"Increase of Volume of Production";"..99%-50%";4701
"Increase of Volume of Production";"..Below 50%";496
"Improve Product Quality";"Total Establishments with PIP Objective";9304
"Improve Product Quality";"..100%";2949
"Improve Product Quality";"..99%-50%";5913
"Improve Product Quality";"..Below 50%";442
"Others";"Total Establishments with PIP Objective";741
"Others";"..100%";198
"Others";"..99%-50%";464
"Others";"..Below 50%";72
