"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Frequency of Visitation/Monitoring of RTWPBs to the Establishments's Implementation of PIP/s and Major Industry Group, Philippines:  2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/8251B3GP160.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Frequency of Visitation/Monitoring of RTWPBs";"2019"
"ALL INDUSTRIES";"Total Establishments";38305
"ALL INDUSTRIES";"Total Establishments with PIPs";15234
"ALL INDUSTRIES";"..Once";1448
"ALL INDUSTRIES";"..Twice";479
"ALL INDUSTRIES";"..Thrice or More";251
"ALL INDUSTRIES";"..Never";13055
"..Agriculture, Forestry and Fishing";"Total Establishments";1070
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";205
"..Agriculture, Forestry and Fishing";"..Once";6
"..Agriculture, Forestry and Fishing";"..Twice";44
"..Agriculture, Forestry and Fishing";"..Thrice or More";0
"..Agriculture, Forestry and Fishing";"..Never";155
"..Mining and Quarrying";"Total Establishments";168
"..Mining and Quarrying";"Total Establishments with PIPs";65
"..Mining and Quarrying";"..Once";10
"..Mining and Quarrying";"..Twice";0
"..Mining and Quarrying";"..Thrice or More";0
"..Mining and Quarrying";"..Never";55
"..Manufacturing";"Total Establishments";6406
"..Manufacturing";"Total Establishments with PIPs";3134
"..Manufacturing";"..Once";297
"..Manufacturing";"..Twice";111
"..Manufacturing";"..Thrice or More";34
"..Manufacturing";"..Never";2692
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments";301
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";172
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Once";34
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Twice";20
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Thrice or More";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Never";118
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments";338
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIPs";126
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Once";11
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Twice";25
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Thrice or More";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Never";91
"..Construction";"Total Establishments";1223
"..Construction";"Total Establishments with PIPs";440
"..Construction";"..Once";47
"..Construction";"..Twice";6
"..Construction";"..Thrice or More";2
"..Construction";"..Never";386
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments";9560
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIPs";3526
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Once";245
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Twice";90
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Thrice or More";9
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Never";3182
"..Transportation and Storage";"Total Establishments";1152
"..Transportation and Storage";"Total Establishments with PIPs";425
"..Transportation and Storage";"..Once";38
"..Transportation and Storage";"..Twice";3
"..Transportation and Storage";"..Thrice or More";9
"..Transportation and Storage";"..Never";376
"..Accommodation and Food Service Activities";"Total Establishments";4716
"..Accommodation and Food Service Activities";"Total Establishments with PIPs";2261
"..Accommodation and Food Service Activities";"..Once";349
"..Accommodation and Food Service Activities";"..Twice";14
"..Accommodation and Food Service Activities";"..Thrice or More";80
"..Accommodation and Food Service Activities";"..Never";1818
"..Information and Communication";"Total Establishments";1052
"..Information and Communication";"Total Establishments with PIPs";190
"..Information and Communication";"..Once";10
"..Information and Communication";"..Twice";1
"..Information and Communication";"..Thrice or More";0
"..Information and Communication";"..Never";179
"..Financial and Insurance Activities";"Total Establishments";1696
"..Financial and Insurance Activities";"Total Establishments with PIPs";580
"..Financial and Insurance Activities";"..Once";6
"..Financial and Insurance Activities";"..Twice";3
"..Financial and Insurance Activities";"..Thrice or More";1
"..Financial and Insurance Activities";"..Never";570
"..Real Estate Activities";"Total Establishments";652
"..Real Estate Activities";"Total Establishments with PIPs";123
"..Real Estate Activities";"..Once";0
"..Real Estate Activities";"..Twice";0
"..Real Estate Activities";"..Thrice or More";0
"..Real Estate Activities";"..Never";123
"..Professional, Scientific and Technical Activities";"Total Establishments";963
"..Professional, Scientific and Technical Activities";"Total Establishments with PIPs";365
"..Professional, Scientific and Technical Activities";"..Once";0
"..Professional, Scientific and Technical Activities";"..Twice";3
"..Professional, Scientific and Technical Activities";"..Thrice or More";43
"..Professional, Scientific and Technical Activities";"..Never";319
"..Administrative and Support Service Activities";"Total Establishments";2729
"..Administrative and Support Service Activities";"Total Establishments with PIPs";1033
"..Administrative and Support Service Activities";"..Once";72
"..Administrative and Support Service Activities";"..Twice";7
"..Administrative and Support Service Activities";"..Thrice or More";12
"..Administrative and Support Service Activities";"..Never";942
"..Education Except Public Education";"Total Establishments";4156
"..Education Except Public Education";"Total Establishments with PIPs";1611
"..Education Except Public Education";"..Once";231
"..Education Except Public Education";"..Twice";60
"..Education Except Public Education";"..Thrice or More";56
"..Education Except Public Education";"..Never";1264
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments";1447
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIPs";722
"..Human Health and Social Work Activities Except Public Health Activities";"..Once";69
"..Human Health and Social Work Activities Except Public Health Activities";"..Twice";59
"..Human Health and Social Work Activities Except Public Health Activities";"..Thrice or More";4
"..Human Health and Social Work Activities Except Public Health Activities";"..Never";591
"..Arts, Entertainment and  Recreation";"Total Establishments";313
"..Arts, Entertainment and  Recreation";"Total Establishments with PIPs";152
"..Arts, Entertainment and  Recreation";"..Once";26
"..Arts, Entertainment and  Recreation";"..Twice";0
"..Arts, Entertainment and  Recreation";"..Thrice or More";0
