"Number of Productivity Improvement Programs (PIPs) Implemented in Establishments Employing 20 or More Workers by Program Developer, Philippines: 2013"

"Productivity Improvement Program Implemented";"Program Developer";"2013"
"ALL PRODUCTIVITY PROGRAMS";"Total PIPs Implemented";50050
"ALL PRODUCTIVITY PROGRAMS";"Labor Management Committee";1156
"ALL PRODUCTIVITY PROGRAMS";"Management";38712
"ALL PRODUCTIVITY PROGRAMS";"Union";192
"ALL PRODUCTIVITY PROGRAMS";"Supervisors/Line Leaders";7019
"ALL PRODUCTIVITY PROGRAMS";"Production Workers/Rank and File";2199
"ALL PRODUCTIVITY PROGRAMS";"Productivity Consultants";995
"ALL PRODUCTIVITY PROGRAMS";"Others";1742
"..5S (Good Housekeeping) Program";"Total PIPs Implemented";13340
"..5S (Good Housekeeping) Program";"Labor Management Committee";472
"..5S (Good Housekeeping) Program";"Management";10020
"..5S (Good Housekeeping) Program";"Union";37
"..5S (Good Housekeeping) Program";"Supervisors/Line Leaders";1958
"..5S (Good Housekeeping) Program";"Production Workers/Rank and File";740
"..5S (Good Housekeeping) Program";"Productivity Consultants";177
"..5S (Good Housekeeping) Program";"Others";326
"..Client Satisfaction Measurement Program";"Total PIPs Implemented";8477
"..Client Satisfaction Measurement Program";"Labor Management Committee";94
"..Client Satisfaction Measurement Program";"Management";6888
"..Client Satisfaction Measurement Program";"Union";29
"..Client Satisfaction Measurement Program";"Supervisors/Line Leaders";1055
"..Client Satisfaction Measurement Program";"Production Workers/Rank and File";322
"..Client Satisfaction Measurement Program";"Productivity Consultants";109
"..Client Satisfaction Measurement Program";"Others";235
"..Total Quality Management Program";"Total PIPs Implemented";8715
"..Total Quality Management Program";"Labor Management Committee";149
"..Total Quality Management Program";"Management";6951
"..Total Quality Management Program";"Union";39
"..Total Quality Management Program";"Supervisors/Line Leaders";916
"..Total Quality Management Program";"Production Workers/Rank and File";246
"..Total Quality Management Program";"Productivity Consultants";253
"..Total Quality Management Program";"Others";453
"..Lean Manufacturing/Lean Production Program";"Total PIPs Implemented";1529
"..Lean Manufacturing/Lean Production Program";"Labor Management Committee";74
"..Lean Manufacturing/Lean Production Program";"Management";1065
"..Lean Manufacturing/Lean Production Program";"Union";0
"..Lean Manufacturing/Lean Production Program";"Supervisors/Line Leaders";235
"..Lean Manufacturing/Lean Production Program";"Production Workers/Rank and File";75
"..Lean Manufacturing/Lean Production Program";"Productivity Consultants";79
"..Lean Manufacturing/Lean Production Program";"Others";58
"..Suggestion/Feedback Scheme";"Total PIPs Implemented";8274
"..Suggestion/Feedback Scheme";"Labor Management Committee";187
"..Suggestion/Feedback Scheme";"Management";6647
"..Suggestion/Feedback Scheme";"Union";47
"..Suggestion/Feedback Scheme";"Supervisors/Line Leaders";1103
"..Suggestion/Feedback Scheme";"Production Workers/Rank and File";366
"..Suggestion/Feedback Scheme";"Productivity Consultants";49
"..Suggestion/Feedback Scheme";"Others";184
"..Six Sigma Program";"Total PIPs Implemented";636
"..Six Sigma Program";"Labor Management Committee";27
"..Six Sigma Program";"Management";424
"..Six Sigma Program";"Union";2
"..Six Sigma Program";"Supervisors/Line Leaders";104
"..Six Sigma Program";"Production Workers/Rank and File";43
"..Six Sigma Program";"Productivity Consultants";31
"..Six Sigma Program";"Others";23
"..Just in Time Program";"Total PIPs Implemented";1941
"..Just in Time Program";"Labor Management Committee";51
"..Just in Time Program";"Management";1499
"..Just in Time Program";"Union";0
"..Just in Time Program";"Supervisors/Line Leaders";336
"..Just in Time Program";"Production Workers/Rank and File";67
"..Just in Time Program";"Productivity Consultants";39
"..Just in Time Program";"Others";61
"..Continuous Process Improvement Program";"Total PIPs Implemented";6294
"..Continuous Process Improvement Program";"Labor Management Committee";74
"..Continuous Process Improvement Program";"Management";4818
"..Continuous Process Improvement Program";"Union";33
"..Continuous Process Improvement Program";"Supervisors/Line Leaders";1108
"..Continuous Process Improvement Program";"Production Workers/Rank and File";329
"..Continuous Process Improvement Program";"Productivity Consultants";204
"..Continuous Process Improvement Program";"Others";224
"..Others";"Total PIPs Implemented";844
"..Others";"Labor Management Committee";29
"..Others";"Management";400
"..Others";"Union";5
"..Others";"Supervisors/Line Leaders";204
"..Others";"Production Workers/Rank and File";10
"..Others";"Productivity Consultants";55
"..Others";"Others";179
