"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Program Objective/s and Major Industry Group, Philippines:  2017 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/4501B3GP062.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Productivity Improvement Program Objective/s";"2017";"2019"
"ALL INDUSTRIES";"Total Establishments with PIPs";17563;15234
"ALL INDUSTRIES";"Reduce Cost on Work Accidents/Injuries/Diseases";8256;6965
"ALL INDUSTRIES";"Reduce Cost on Wastage";7726;7272
"ALL INDUSTRIES";"Reduce Cost on Personnel Downtime";5634;5554
"ALL INDUSTRIES";"Reduce Cost on Machine Downtime";4245;4611
"ALL INDUSTRIES";"Reduce Cost on Rework";4051;4683
"ALL INDUSTRIES";"Reduce Cost on Process Cycle Time";4613;4467
"ALL INDUSTRIES";"Improve Product and Service Quality by Skills Training";11839;10985
"ALL INDUSTRIES";"Improve Product and Service Quality by Technology";6661;7034
"ALL INDUSTRIES";"Improve Product and Service Quality by Innovation";6513;6631
"ALL INDUSTRIES";"Reduce Complaints on Queuing Time";5066;5514
"ALL INDUSTRIES";"Reduce Complaints on After Sales Service";4913;5013
"ALL INDUSTRIES";"Reduce Complaints on Product Returns";4864;4573
"ALL INDUSTRIES";"Reduce Complaints on Basic Customer Service";8368;7736
"ALL INDUSTRIES";"Others";242;673
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";442;205
"..Agriculture, Forestry and Fishing";"Reduce Cost on Work Accidents/Injuries/Diseases";203;96
"..Agriculture, Forestry and Fishing";"Reduce Cost on Wastage";182;86
"..Agriculture, Forestry and Fishing";"Reduce Cost on Personnel Downtime";151;102
"..Agriculture, Forestry and Fishing";"Reduce Cost on Machine Downtime";89;92
"..Agriculture, Forestry and Fishing";"Reduce Cost on Rework";96;67
"..Agriculture, Forestry and Fishing";"Reduce Cost on Process Cycle Time";104;61
"..Agriculture, Forestry and Fishing";"Improve Product and Service Quality by Skills Training";264;119
"..Agriculture, Forestry and Fishing";"Improve Product and Service Quality by Technology";183;99
"..Agriculture, Forestry and Fishing";"Improve Product and Service Quality by Innovation";145;106
"..Agriculture, Forestry and Fishing";"Reduce Complaints on Queuing Time";64;88
"..Agriculture, Forestry and Fishing";"Reduce Complaints on After Sales Service";65;90
"..Agriculture, Forestry and Fishing";"Reduce Complaints on Product Returns";80;92
"..Agriculture, Forestry and Fishing";"Reduce Complaints on Basic Customer Service";116;124
"..Agriculture, Forestry and Fishing";"Others";14;0
"..Mining and Quarrying";"Total Establishments with PIPs";66;65
"..Mining and Quarrying";"Reduce Cost on Work Accidents/Injuries/Diseases";56;44
"..Mining and Quarrying";"Reduce Cost on Wastage";35;34
"..Mining and Quarrying";"Reduce Cost on Personnel Downtime";22;34
"..Mining and Quarrying";"Reduce Cost on Machine Downtime";23;33
"..Mining and Quarrying";"Reduce Cost on Rework";11;31
"..Mining and Quarrying";"Reduce Cost on Process Cycle Time";22;24
"..Mining and Quarrying";"Improve Product and Service Quality by Skills Training";42;56
"..Mining and Quarrying";"Improve Product and Service Quality by Technology";26;32
"..Mining and Quarrying";"Improve Product and Service Quality by Innovation";17;28
"..Mining and Quarrying";"Reduce Complaints on Queuing Time";16;16
"..Mining and Quarrying";"Reduce Complaints on After Sales Service";10;19
"..Mining and Quarrying";"Reduce Complaints on Product Returns";8;19
"..Mining and Quarrying";"Reduce Complaints on Basic Customer Service";14;25
"..Mining and Quarrying";"Others";5;0
"..Manufacturing";"Total Establishments with PIPs";3677;3134
"..Manufacturing";"Reduce Cost on Work Accidents/Injuries/Diseases";2334;1962
"..Manufacturing";"Reduce Cost on Wastage";2200;2000
"..Manufacturing";"Reduce Cost on Personnel Downtime";1661;1614
"..Manufacturing";"Reduce Cost on Machine Downtime";1786;1742
"..Manufacturing";"Reduce Cost on Rework";1532;1584
"..Manufacturing";"Reduce Cost on Process Cycle Time";1390;1398
"..Manufacturing";"Improve Product and Service Quality by Skills Training";2415;2075
"..Manufacturing";"Improve Product and Service Quality by Technology";1557;1363
"..Manufacturing";"Improve Product and Service Quality by Innovation";1468;1277
"..Manufacturing";"Reduce Complaints on Queuing Time";970;1096
"..Manufacturing";"Reduce Complaints on After Sales Service";1157;1166
"..Manufacturing";"Reduce Complaints on Product Returns";1589;1419
"..Manufacturing";"Reduce Complaints on Basic Customer Service";1351;1371
"..Manufacturing";"Others";32;12
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";188;172
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Cost on Work Accidents/Injuries/Diseases";124;101
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Cost on Wastage";88;47
