"Number of Establishments Employing 20 or More Workers With Productivity Improvement Programs (PIPs) by Extent PIP Objective Was Met and Major Industry Group, Philippines: 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/3501B3GP06b.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Productivity Improvement Programs (PIPs)";"Extent PIP Objective Was Met";"2013"
"ALL INDUSTRIES";"Shorten Process Cycle Time";"Total";6722
"ALL INDUSTRIES";"Shorten Process Cycle Time";"..100%";1187
"ALL INDUSTRIES";"Shorten Process Cycle Time";"..99% - 50%";5009
"ALL INDUSTRIES";"Shorten Process Cycle Time";"..Below 50%";525
"ALL INDUSTRIES";"Reduction of Work Accidents/Injuries";"Total";10458
"ALL INDUSTRIES";"Reduction of Work Accidents/Injuries";"..100%";3457
"ALL INDUSTRIES";"Reduction of Work Accidents/Injuries";"..99% - 50%";6201
"ALL INDUSTRIES";"Reduction of Work Accidents/Injuries";"..Below 50%";800
"ALL INDUSTRIES";"Reduction of Wastage";"Total";9405
"ALL INDUSTRIES";"Reduction of Wastage";"..100%";1841
"ALL INDUSTRIES";"Reduction of Wastage";"..99% - 50%";6717
"ALL INDUSTRIES";"Reduction of Wastage";"..Below 50%";848
"ALL INDUSTRIES";"Reduction of Customer Complaints";"Total";14387
"ALL INDUSTRIES";"Reduction of Customer Complaints";"..100%";3546
"ALL INDUSTRIES";"Reduction of Customer Complaints";"..99% - 50%";9283
"ALL INDUSTRIES";"Reduction of Customer Complaints";"..Below 50%";1559
"ALL INDUSTRIES";"Reduction of Personnel Downtime";"Total";6474
"ALL INDUSTRIES";"Reduction of Personnel Downtime";"..100%";1282
"ALL INDUSTRIES";"Reduction of Personnel Downtime";"..99% - 50%";4562
"ALL INDUSTRIES";"Reduction of Personnel Downtime";"..Below 50%";629
"ALL INDUSTRIES";"Reduction of Machine Downtime";"Total";5212
"ALL INDUSTRIES";"Reduction of Machine Downtime";"..100%";1070
"ALL INDUSTRIES";"Reduction of Machine Downtime";"..99% - 50%";3560
"ALL INDUSTRIES";"Reduction of Machine Downtime";"..Below 50%";582
"ALL INDUSTRIES";"Reduction of Rework";"Total";5741
"ALL INDUSTRIES";"Reduction of Rework";"..100%";1220
"ALL INDUSTRIES";"Reduction of Rework";"..99% - 50%";3777
"ALL INDUSTRIES";"Reduction of Rework";"..Below 50%";744
"ALL INDUSTRIES";"Increase Profit or Sales";"Total";11575
"ALL INDUSTRIES";"Increase Profit or Sales";"..100%";2921
"ALL INDUSTRIES";"Increase Profit or Sales";"..99% - 50%";7536
"ALL INDUSTRIES";"Increase Profit or Sales";"..Below 50%";1118
"ALL INDUSTRIES";"Increase Volume of Production";"Total";7091
"ALL INDUSTRIES";"Increase Volume of Production";"..100%";1895
"ALL INDUSTRIES";"Increase Volume of Production";"..99% - 50%";4701
"ALL INDUSTRIES";"Increase Volume of Production";"..Below 50%";496
"ALL INDUSTRIES";"Improve Product Quality";"Total";9304
"ALL INDUSTRIES";"Improve Product Quality";"..100%";2949
