"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Program Objectives Extent of Fulfillment and Major Industry Group, Philippines:  2017 - 2019"

"Program Objectives Extent of Fulfillment";"Major Industry Group";"Productivity Improvement Program Objective/s";"2017";"2019"
"Not/Partially Met";"ALL INDUSTRIES";"Total Establishments with PIPs";17563;15234
"Not/Partially Met";"ALL INDUSTRIES";"Reduce Cost on Work Accidents/Injuries/Diseases";1624;1503
"Not/Partially Met";"ALL INDUSTRIES";"Reduce Cost on Wastage";2517;2460
"Not/Partially Met";"ALL INDUSTRIES";"Reduce Cost on Personnel Downtime";1879;2028
"Not/Partially Met";"ALL INDUSTRIES";"Reduce Cost on Machine Downtime";1483;1884
"Not/Partially Met";"ALL INDUSTRIES";"Reduce Cost on Rework";1467;1507
"Not/Partially Met";"ALL INDUSTRIES";"Reduce Cost on Process Cycle Time";1367;1454
"Not/Partially Met";"ALL INDUSTRIES";"Improve Product and Service Quality by Skills Training";2429;2536
"Not/Partially Met";"ALL INDUSTRIES";"Improve Product and Service Quality by Technology";1723;1800
"Not/Partially Met";"ALL INDUSTRIES";"Improve Product and Service Quality by Innovation";1833;1969
"Not/Partially Met";"ALL INDUSTRIES";"Reduce Complaints on Queuing Time";1336;1233
"Not/Partially Met";"ALL INDUSTRIES";"Reduce Complaints on After Sales Service";1074;1415
"Not/Partially Met";"ALL INDUSTRIES";"Reduce Complaints on Product Returns";1254;1426
"Not/Partially Met";"ALL INDUSTRIES";"Reduce Complaints on Basic Customer Service";1537;1188
"Not/Partially Met";"ALL INDUSTRIES";"Others";68;80
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";442;205
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Reduce Cost on Work Accidents/Injuries/Diseases";45;53
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Reduce Cost on Wastage";89;47
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Reduce Cost on Personnel Downtime";67;85
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Reduce Cost on Machine Downtime";32;81
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Reduce Cost on Rework";38;42
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Reduce Cost on Process Cycle Time";27;44
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Improve Product and Service Quality by Skills Training";64;16
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Improve Product and Service Quality by Technology";45;76
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Improve Product and Service Quality by Innovation";50;77
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Reduce Complaints on Queuing Time";22;40
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Reduce Complaints on After Sales Service";17;41
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Reduce Complaints on Product Returns";15;14
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Reduce Complaints on Basic Customer Service";17;3
"Not/Partially Met";"..Agriculture, Forestry and Fishing";"Others";0;0
"Not/Partially Met";"..Mining and Quarrying";"Total Establishments with PIPs";66;65
"Not/Partially Met";"..Mining and Quarrying";"Reduce Cost on Work Accidents/Injuries/Diseases";9;19
"Not/Partially Met";"..Mining and Quarrying";"Reduce Cost on Wastage";8;22
"Not/Partially Met";"..Mining and Quarrying";"Reduce Cost on Personnel Downtime";7;22
"Not/Partially Met";"..Mining and Quarrying";"Reduce Cost on Machine Downtime";8;24
"Not/Partially Met";"..Mining and Quarrying";"Reduce Cost on Rework";5;23
"Not/Partially Met";"..Mining and Quarrying";"Reduce Cost on Process Cycle Time";6;15
"Not/Partially Met";"..Mining and Quarrying";"Improve Product and Service Quality by Skills Training";9;25
"Not/Partially Met";"..Mining and Quarrying";"Improve Product and Service Quality by Technology";6;10
"Not/Partially Met";"..Mining and Quarrying";"Improve Product and Service Quality by Innovation";4;16
"Not/Partially Met";"..Mining and Quarrying";"Reduce Complaints on Queuing Time";6;10
"Not/Partially Met";"..Mining and Quarrying";"Reduce Complaints on After Sales Service";7;10
"Not/Partially Met";"..Mining and Quarrying";"Reduce Complaints on Product Returns";7;8
"Not/Partially Met";"..Mining and Quarrying";"Reduce Complaints on Basic Customer Service";4;10
"Not/Partially Met";"..Mining and Quarrying";"Others";0;0
"Not/Partially Met";"..Manufacturing";"Total Establishments with PIPs";3677;3134
"Not/Partially Met";"..Manufacturing";"Reduce Cost on Work Accidents/Injuries/Diseases";579;635
"Not/Partially Met";"..Manufacturing";"Reduce Cost on Wastage";921;746
"Not/Partially Met";"..Manufacturing";"Reduce Cost on Personnel Downtime";655;685
"Not/Partially Met";"..Manufacturing";"Reduce Cost on Machine Downtime";737;794
"Not/Partially Met";"..Manufacturing";"Reduce Cost on Rework";683;579
"Not/Partially Met";"..Manufacturing";"Reduce Cost on Process Cycle Time";534;591
"Not/Partially Met";"..Manufacturing";"Improve Product and Service Quality by Skills Training";640;615
"Not/Partially Met";"..Manufacturing";"Improve Product and Service Quality by Technology";567;461
"Not/Partially Met";"..Manufacturing";"Improve Product and Service Quality by Innovation";542;462
"Not/Partially Met";"..Manufacturing";"Reduce Complaints on Queuing Time";303;397
"Not/Partially Met";"..Manufacturing";"Reduce Complaints on After Sales Service";339;375
"Not/Partially Met";"..Manufacturing";"Reduce Complaints on Product Returns";558;443
"Not/Partially Met";"..Manufacturing";"Reduce Complaints on Basic Customer Service";306;392
"Not/Partially Met";"..Manufacturing";"Others";21;0
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";188;172
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Cost on Work Accidents/Injuries/Diseases";19;56
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Cost on Wastage";23;9
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Cost on Personnel Downtime";11;8
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Cost on Machine Downtime";14;5
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Cost on Rework";11;17
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Cost on Process Cycle Time";16;20
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Improve Product and Service Quality by Skills Training";17;20
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Improve Product and Service Quality by Technology";21;31
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Improve Product and Service Quality by Innovation";16;37
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Complaints on Queuing Time";17;7
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Complaints on After Sales Service";10;2
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Complaints on Product Returns";8;3
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduce Complaints on Basic Customer Service";23;11
"Not/Partially Met";"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";0;0
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIPs";192;126
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduce Cost on Work Accidents/Injuries/Diseases";11;3
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduce Cost on Wastage";33;2
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduce Cost on Personnel Downtime";22;4
