"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Reasons for Non-Attainment of PIP Objective/s and Major Industry Group, Philippines:  2019"

"Major Industry Group";"Reasons for Non-Attainment of PIP Objective/s";"2019"
"ALL INDUSTRIES";"Total Establishments";38305
"ALL INDUSTRIES";"Total Establishments with PIPs";15234
"ALL INDUSTRIES";"Lack of funds";3926
"ALL INDUSTRIES";"Change in the owner/s' or management's priorities";937
"ALL INDUSTRIES";"Lack of manpower or support from the employees";1986
"ALL INDUSTRIES";"Strike/lockout/work stoppage";78
"ALL INDUSTRIES";"Typhoon/flood/landslide";735
"ALL INDUSTRIES";"Earthquake";87
"ALL INDUSTRIES";"Fire";62
"ALL INDUSTRIES";"Human acts of terror";121
"ALL INDUSTRIES";"Disease outbreak";905
"ALL INDUSTRIES";"Others";290
"..Agriculture, Forestry and Fishing";"Total Establishments";1070
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";205
"..Agriculture, Forestry and Fishing";"Lack of funds";59
"..Agriculture, Forestry and Fishing";"Change in the owner/s' or management's priorities";77
"..Agriculture, Forestry and Fishing";"Lack of manpower or support from the employees";38
"..Agriculture, Forestry and Fishing";"Strike/lockout/work stoppage";2
"..Agriculture, Forestry and Fishing";"Typhoon/flood/landslide";48
"..Agriculture, Forestry and Fishing";"Earthquake";5
"..Agriculture, Forestry and Fishing";"Fire";0
"..Agriculture, Forestry and Fishing";"Human acts of terror";0
"..Agriculture, Forestry and Fishing";"Disease outbreak";20
"..Agriculture, Forestry and Fishing";"Others";0
"..Mining and Quarrying";"Total Establishments";168
"..Mining and Quarrying";"Total Establishments with PIPs";65
"..Mining and Quarrying";"Lack of funds";19
"..Mining and Quarrying";"Change in the owner/s' or management's priorities";12
"..Mining and Quarrying";"Lack of manpower or support from the employees";25
"..Mining and Quarrying";"Strike/lockout/work stoppage";1
"..Mining and Quarrying";"Typhoon/flood/landslide";3
"..Mining and Quarrying";"Earthquake";1
"..Mining and Quarrying";"Fire";0
"..Mining and Quarrying";"Human acts of terror";0
"..Mining and Quarrying";"Disease outbreak";7
"..Mining and Quarrying";"Others";2
"..Manufacturing";"Total Establishments";6406
"..Manufacturing";"Total Establishments with PIPs";3134
"..Manufacturing";"Lack of funds";889
"..Manufacturing";"Change in the owner/s' or management's priorities";374
"..Manufacturing";"Lack of manpower or support from the employees";657
"..Manufacturing";"Strike/lockout/work stoppage";13
"..Manufacturing";"Typhoon/flood/landslide";194
"..Manufacturing";"Earthquake";5
"..Manufacturing";"Fire";3
"..Manufacturing";"Human acts of terror";41
"..Manufacturing";"Disease outbreak";343
"..Manufacturing";"Others";87
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments";301
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";172
"..Electricity, Gas, Steam and Air Conditioning Supply";"Lack of funds";15
"..Electricity, Gas, Steam and Air Conditioning Supply";"Change in the owner/s' or management's priorities";6
"..Electricity, Gas, Steam and Air Conditioning Supply";"Lack of manpower or support from the employees";27
"..Electricity, Gas, Steam and Air Conditioning Supply";"Strike/lockout/work stoppage";3
"..Electricity, Gas, Steam and Air Conditioning Supply";"Typhoon/flood/landslide";10
"..Electricity, Gas, Steam and Air Conditioning Supply";"Earthquake";3
"..Electricity, Gas, Steam and Air Conditioning Supply";"Fire";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"Human acts of terror";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Disease outbreak";34
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";18
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments";338
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIPs";126
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Lack of funds";40
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Change in the owner/s' or management's priorities";6
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Lack of manpower or support from the employees";8
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Strike/lockout/work stoppage";22
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Typhoon/flood/landslide";4
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Earthquake";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Fire";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Human acts of terror";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Disease outbreak";3
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";0
"..Construction";"Total Establishments";1223
"..Construction";"Total Establishments with PIPs";440
"..Construction";"Lack of funds";134
"..Construction";"Change in the owner/s' or management's priorities";46
"..Construction";"Lack of manpower or support from the employees";21
"..Construction";"Strike/lockout/work stoppage";6
"..Construction";"Typhoon/flood/landslide";24
"..Construction";"Earthquake";2
"..Construction";"Fire";2
"..Construction";"Human acts of terror";2
"..Construction";"Disease outbreak";44
"..Construction";"Others";1
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments";9560
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIPs";3526
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Lack of funds";823
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Change in the owner/s' or management's priorities";190
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Lack of manpower or support from the employees";239
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Strike/lockout/work stoppage";6
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Typhoon/flood/landslide";74
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Earthquake";3
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Fire";0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Human acts of terror";2
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Disease outbreak";83
