"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Type of Gainsharing Schemes/Practices and Major Industry Group, Philippines:  2017 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/5751B3GP091.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Type of Gainsharing Schemes/Practices";"Type of Incentives";"2017";"2019"
"ALL INDUSTRIES";"Gainsharing Practices";"Cash";5148;4608
"ALL INDUSTRIES";"Gainsharing Practices";"Non-Cash";2555;1908
"ALL INDUSTRIES";"Profit Sharing Practices";"Cash";1209;859
"ALL INDUSTRIES";"Profit Sharing Practices";"Non-Cash";436;545
"ALL INDUSTRIES";"Employee Stock/s Option Plan";"Cash";..;..
"ALL INDUSTRIES";"Employee Stock/s Option Plan";"Non-Cash";419;811
"ALL INDUSTRIES";"Others";"Cash";655;1357
"ALL INDUSTRIES";"Others";"Non-Cash";96;350
"..Agriculture, Forestry and Fishing";"Gainsharing Practices";"Cash";133;14
"..Agriculture, Forestry and Fishing";"Gainsharing Practices";"Non-Cash";27;45
"..Agriculture, Forestry and Fishing";"Profit Sharing Practices";"Cash";31;12
"..Agriculture, Forestry and Fishing";"Profit Sharing Practices";"Non-Cash";5;6
"..Agriculture, Forestry and Fishing";"Employee Stock/s Option Plan";"Cash";..;..
"..Agriculture, Forestry and Fishing";"Employee Stock/s Option Plan";"Non-Cash";2;12
"..Agriculture, Forestry and Fishing";"Others";"Cash";19;2
"..Agriculture, Forestry and Fishing";"Others";"Non-Cash";5;1
"..Mining and Quarrying";"Gainsharing Practices";"Cash";17;22
"..Mining and Quarrying";"Gainsharing Practices";"Non-Cash";10;2
"..Mining and Quarrying";"Profit Sharing Practices";"Cash";1;3
"..Mining and Quarrying";"Profit Sharing Practices";"Non-Cash";1;0
"..Mining and Quarrying";"Employee Stock/s Option Plan";"Cash";..;..
"..Mining and Quarrying";"Employee Stock/s Option Plan";"Non-Cash";3;2
"..Mining and Quarrying";"Others";"Cash";3;10
"..Mining and Quarrying";"Others";"Non-Cash";0;0
"..Manufacturing";"Gainsharing Practices";"Cash";1049;1000
"..Manufacturing";"Gainsharing Practices";"Non-Cash";490;298
"..Manufacturing";"Profit Sharing Practices";"Cash";210;194
"..Manufacturing";"Profit Sharing Practices";"Non-Cash";105;38
"..Manufacturing";"Employee Stock/s Option Plan";"Cash";..;..
"..Manufacturing";"Employee Stock/s Option Plan";"Non-Cash";89;139
"..Manufacturing";"Others";"Cash";113;206
"..Manufacturing";"Others";"Non-Cash";22;120
"..Electricity, Gas, Steam and Air Conditioning Supply";"Gainsharing Practices";"Cash";61;90
"..Electricity, Gas, Steam and Air Conditioning Supply";"Gainsharing Practices";"Non-Cash";12;5
"..Electricity, Gas, Steam and Air Conditioning Supply";"Profit Sharing Practices";"Cash";4;3
"..Electricity, Gas, Steam and Air Conditioning Supply";"Profit Sharing Practices";"Non-Cash";3;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Employee Stock/s Option Plan";"Cash";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"Employee Stock/s Option Plan";"Non-Cash";6;1
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";"Cash";20;34
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";"Non-Cash";3;4
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Gainsharing Practices";"Cash";63;21
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Gainsharing Practices";"Non-Cash";23;30
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Profit Sharing Practices";"Cash";13;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Profit Sharing Practices";"Non-Cash";11;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Employee Stock/s Option Plan";"Cash";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Employee Stock/s Option Plan";"Non-Cash";1;5
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";"Cash";12;4
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";"Non-Cash";3;0
"..Construction";"Gainsharing Practices";"Cash";120;125
"..Construction";"Gainsharing Practices";"Non-Cash";85;95
"..Construction";"Profit Sharing Practices";"Cash";38;19
"..Construction";"Profit Sharing Practices";"Non-Cash";16;9
"..Construction";"Employee Stock/s Option Plan";"Cash";..;..
"..Construction";"Employee Stock/s Option Plan";"Non-Cash";8;8
"..Construction";"Others";"Cash";18;12
"..Construction";"Others";"Non-Cash";3;2
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Gainsharing Practices";"Cash";1365;1121
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Gainsharing Practices";"Non-Cash";657;443
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Profit Sharing Practices";"Cash";318;125
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Profit Sharing Practices";"Non-Cash";134;182
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Employee Stock/s Option Plan";"Cash";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Employee Stock/s Option Plan";"Non-Cash";144;106
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Others";"Cash";139;247
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Others";"Non-Cash";6;2
"..Transportation and Storage";"Gainsharing Practices";"Cash";134;94
"..Transportation and Storage";"Gainsharing Practices";"Non-Cash";63;84
"..Transportation and Storage";"Profit Sharing Practices";"Cash";35;9
"..Transportation and Storage";"Profit Sharing Practices";"Non-Cash";11;1
"..Transportation and Storage";"Employee Stock/s Option Plan";"Cash";..;..
"..Transportation and Storage";"Employee Stock/s Option Plan";"Non-Cash";13;10
"..Transportation and Storage";"Others";"Cash";16;3
"..Transportation and Storage";"Others";"Non-Cash";3;0
"..Accommodation and Food Service Activities";"Gainsharing Practices";"Cash";735;639
"..Accommodation and Food Service Activities";"Gainsharing Practices";"Non-Cash";479;485
"..Accommodation and Food Service Activities";"Profit Sharing Practices";"Cash";163;144
"..Accommodation and Food Service Activities";"Profit Sharing Practices";"Non-Cash";66;147
"..Accommodation and Food Service Activities";"Employee Stock/s Option Plan";"Cash";..;..
"..Accommodation and Food Service Activities";"Employee Stock/s Option Plan";"Non-Cash";57;359
"..Accommodation and Food Service Activities";"Others";"Cash";96;369
"..Accommodation and Food Service Activities";"Others";"Non-Cash";18;208
"..Information and Communication";"Gainsharing Practices";"Cash";77;46
"..Information and Communication";"Gainsharing Practices";"Non-Cash";39;7
"..Information and Communication";"Profit Sharing Practices";"Cash";16;27
"..Information and Communication";"Profit Sharing Practices";"Non-Cash";3;6
"..Information and Communication";"Employee Stock/s Option Plan";"Cash";..;..
"..Information and Communication";"Employee Stock/s Option Plan";"Non-Cash";11;14
"..Information and Communication";"Others";"Cash";17;12
"..Information and Communication";"Others";"Non-Cash";6;3
"..Financial and Insurance Activities";"Gainsharing Practices";"Cash";247;241
"..Financial and Insurance Activities";"Gainsharing Practices";"Non-Cash";69;22
"..Financial and Insurance Activities";"Profit Sharing Practices";"Cash";108;25
"..Financial and Insurance Activities";"Profit Sharing Practices";"Non-Cash";17;6
"..Financial and Insurance Activities";"Employee Stock/s Option Plan";"Cash";..;..
"..Financial and Insurance Activities";"Employee Stock/s Option Plan";"Non-Cash";20;9
"..Financial and Insurance Activities";"Others";"Cash";60;251
"..Financial and Insurance Activities";"Others";"Non-Cash";10;0
"..Real Estate Activities";"Gainsharing Practices";"Cash";31;51
"..Real Estate Activities";"Gainsharing Practices";"Non-Cash";21;54
"..Real Estate Activities";"Profit Sharing Practices";"Cash";9;5
"..Real Estate Activities";"Profit Sharing Practices";"Non-Cash";0;51
"..Real Estate Activities";"Employee Stock/s Option Plan";"Cash";..;..
"..Real Estate Activities";"Employee Stock/s Option Plan";"Non-Cash";0;7
"..Real Estate Activities";"Others";"Cash";3;0
"..Real Estate Activities";"Others";"Non-Cash";0;0
"..Professional, Scientific and Technical Activities";"Gainsharing Practices";"Cash";69;130
"..Professional, Scientific and Technical Activities";"Gainsharing Practices";"Non-Cash";35;0
"..Professional, Scientific and Technical Activities";"Profit Sharing Practices";"Cash";41;13
"..Professional, Scientific and Technical Activities";"Profit Sharing Practices";"Non-Cash";19;12
"..Professional, Scientific and Technical Activities";"Employee Stock/s Option Plan";"Cash";..;..
"..Professional, Scientific and Technical Activities";"Employee Stock/s Option Plan";"Non-Cash";6;19
"..Professional, Scientific and Technical Activities";"Others";"Cash";9;4
"..Professional, Scientific and Technical Activities";"Others";"Non-Cash";0;0
"..Administrative and Support Service Activities";"Gainsharing Practices";"Cash";274;304
"..Administrative and Support Service Activities";"Gainsharing Practices";"Non-Cash";134;152
"..Administrative and Support Service Activities";"Profit Sharing Practices";"Cash";74;124
"..Administrative and Support Service Activities";"Profit Sharing Practices";"Non-Cash";10;13
"..Administrative and Support Service Activities";"Employee Stock/s Option Plan";"Cash";..;..
"..Administrative and Support Service Activities";"Employee Stock/s Option Plan";"Non-Cash";19;56
"..Administrative and Support Service Activities";"Others";"Cash";31;23
"..Administrative and Support Service Activities";"Others";"Non-Cash";2;5
"..Education Except Public Education";"Gainsharing Practices";"Cash";519;402
"..Education Except Public Education";"Gainsharing Practices";"Non-Cash";267;74
"..Education Except Public Education";"Profit Sharing Practices";"Cash";88;108
"..Education Except Public Education";"Profit Sharing Practices";"Non-Cash";13;51
"..Education Except Public Education";"Employee Stock/s Option Plan";"Cash";..;..
"..Education Except Public Education";"Employee Stock/s Option Plan";"Non-Cash";29;52
"..Education Except Public Education";"Others";"Cash";55;115
"..Education Except Public Education";"Others";"Non-Cash";8;3
"..Human Health and Social Work Activities Except Public Health Activities";"Gainsharing Practices";"Cash";171;244
"..Human Health and Social Work Activities Except Public Health Activities";"Gainsharing Practices";"Non-Cash";100;110
"..Human Health and Social Work Activities Except Public Health Activities";"Profit Sharing Practices";"Cash";41;11
"..Human Health and Social Work Activities Except Public Health Activities";"Profit Sharing Practices";"Non-Cash";15;5
"..Human Health and Social Work Activities Except Public Health Activities";"Employee Stock/s Option Plan";"Cash";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"Employee Stock/s Option Plan";"Non-Cash";9;10
"..Human Health and Social Work Activities Except Public Health Activities";"Others";"Cash";38;66
"..Human Health and Social Work Activities Except Public Health Activities";"Others";"Non-Cash";5;3
"..Arts, Entertainment and  Recreation";"Gainsharing Practices";"Cash";30;26
"..Arts, Entertainment and  Recreation";"Gainsharing Practices";"Non-Cash";21;0
"..Arts, Entertainment and  Recreation";"Profit Sharing Practices";"Cash";9;20
"..Arts, Entertainment and  Recreation";"Profit Sharing Practices";"Non-Cash";5;0
"..Arts, Entertainment and  Recreation";"Employee Stock/s Option Plan";"Cash";..;..
"..Arts, Entertainment and  Recreation";"Employee Stock/s Option Plan";"Non-Cash";0;0
"..Arts, Entertainment and  Recreation";"Others";"Cash";6;1
"..Arts, Entertainment and  Recreation";"Others";"Non-Cash";2;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Gainsharing Practices";"Cash";52;38
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Gainsharing Practices";"Non-Cash";23;1
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Profit Sharing Practices";"Cash";10;18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Profit Sharing Practices";"Non-Cash";0;18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Employee Stock/s Option Plan";"Cash";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Employee Stock/s Option Plan";"Non-Cash";2;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";"Cash";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";"Non-Cash";0;0
