"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Type of RTWPB Training Programs Attended and Major Industry Group, Philippines:  2013 - 2019"

"Major Industry Group";"RTWPB Training Programs Conducted";"2013";"2015";"2017";"2019"
"ALL INDUSTRIES";"Total Establishments with PIPs";.;.;17563;15234
"ALL INDUSTRIES";"Number of Establishments That Attended RTWPB Training Programs";3003;.;4590;3455
"ALL INDUSTRIES";"Productivity 101";.;.;1218;1011
"ALL INDUSTRIES";"7S (Good Housekeeping)";.;.;.;1717
"ALL INDUSTRIES";"DOLE Integrated Livelihood and Emergency Employment Program (DILEEP)";.;.;.;718
"ALL INDUSTRIES";"ISTIV Plus";386;.;.;.
"ALL INDUSTRIES";"ISTIV Plus-SIB";.;.;280;102
"ALL INDUSTRIES";"Green ME";.;.;157;212
"ALL INDUSTRIES";"Green Productivity";438;.;.;.
"ALL INDUSTRIES";"ISTIV-Bayanihan";399;.;144;254
"ALL INDUSTRIES";"ISTIV-PAP";217;.;457;364
"ALL INDUSTRIES";"Lean Management";.;.;818;282
"ALL INDUSTRIES";"5S of Good Housekeeping";1625;.;2820;.
"ALL INDUSTRIES";"Service Quality";1066;.;1279;664
"ALL INDUSTRIES";"Retail Service; Merchandising and Visual Merchandising";.;.;280;272
"ALL INDUSTRIES";"Social Media Marketing";.;.;.;211
"ALL INDUSTRIES";"Other RTWPB Training Programs Conducted";377;.;490;162
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";.;.;442;205
"..Agriculture, Forestry and Fishing";"Number of Establishments That Attended RTWPB Training Programs";184;.;129;66
"..Agriculture, Forestry and Fishing";"Productivity 101";.;.;25;9
"..Agriculture, Forestry and Fishing";"7S (Good Housekeeping)";.;.;.;46
"..Agriculture, Forestry and Fishing";"DOLE Integrated Livelihood and Emergency Employment Program (DILEEP)";.;.;.;16
"..Agriculture, Forestry and Fishing";"ISTIV Plus";7;.;.;.
"..Agriculture, Forestry and Fishing";"ISTIV Plus-SIB";.;.;16;1
"..Agriculture, Forestry and Fishing";"Green ME";.;.;15;3
"..Agriculture, Forestry and Fishing";"Green Productivity";75;.;.;.
"..Agriculture, Forestry and Fishing";"ISTIV-Bayanihan";9;.;11;0
"..Agriculture, Forestry and Fishing";"ISTIV-PAP";5;.;29;36
"..Agriculture, Forestry and Fishing";"Lean Management";.;.;24;2
"..Agriculture, Forestry and Fishing";"5S of Good Housekeeping";97;.;77;.
"..Agriculture, Forestry and Fishing";"Service Quality";9;.;30;1
"..Agriculture, Forestry and Fishing";"Retail Service; Merchandising and Visual Merchandising";.;.;13;0
"..Agriculture, Forestry and Fishing";"Social Media Marketing";.;.;.;0
"..Agriculture, Forestry and Fishing";"Other RTWPB Training Programs Conducted";12;.;4;2
"..Mining and Quarrying";"Total Establishments with PIPs";.;.;66;65
"..Mining and Quarrying";"Number of Establishments That Attended RTWPB Training Programs";12;.;18;12
"..Mining and Quarrying";"Productivity 101";.;.;9;2
"..Mining and Quarrying";"7S (Good Housekeeping)";.;.;.;0
"..Mining and Quarrying";"DOLE Integrated Livelihood and Emergency Employment Program (DILEEP)";.;.;.;2
"..Mining and Quarrying";"ISTIV Plus";3;.;.;.
