"Number of Establishments Employing 20 or More Workers With Gainsharing Scheme as Productivity Improvement Program (PIP) by Type of Scheme/s Implemented and Major Industry Group, Philippines: 2013"

"Major Industry Group";"Type of Gainsharing Scheme/s Implemented";"2013"
"ALL INDUSTRIES";"Total Establishments with PIPs";20299
"ALL INDUSTRIES";"Total Establishments With Gainsharing Scheme as PIP";5396
"ALL INDUSTRIES";"Scanlon Plan";83
"ALL INDUSTRIES";"Rucker Plan";39
"ALL INDUSTRIES";"Improshare Plan";36
"ALL INDUSTRIES";"Tonnage Plan";41
"ALL INDUSTRIES";"Kaiser Plan";158
"ALL INDUSTRIES";"Performance Bonus";4871
"ALL INDUSTRIES";"Others";436
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";595
"..Agriculture, Forestry and Fishing";"Total Establishments With Gainsharing Scheme as PIP";172
"..Agriculture, Forestry and Fishing";"Scanlon Plan";1
"..Agriculture, Forestry and Fishing";"Rucker Plan";0
"..Agriculture, Forestry and Fishing";"Improshare Plan";0
"..Agriculture, Forestry and Fishing";"Tonnage Plan";0
"..Agriculture, Forestry and Fishing";"Kaiser Plan";0
"..Agriculture, Forestry and Fishing";"Performance Bonus";167
"..Agriculture, Forestry and Fishing";"Others";5
"..Mining and Quarrying";"Total Establishments with PIPs";110
"..Mining and Quarrying";"Total Establishments With Gainsharing Scheme as PIP";37
"..Mining and Quarrying";"Scanlon Plan";0
"..Mining and Quarrying";"Rucker Plan";0
"..Mining and Quarrying";"Improshare Plan";5
"..Mining and Quarrying";"Tonnage Plan";1
"..Mining and Quarrying";"Kaiser Plan";1
"..Mining and Quarrying";"Performance Bonus";23
"..Mining and Quarrying";"Others";8
"..Manufacturing";"Total Establishments with PIPs";4760
"..Manufacturing";"Total Establishments With Gainsharing Scheme as PIP";1364
"..Manufacturing";"Scanlon Plan";42
"..Manufacturing";"Rucker Plan";4
"..Manufacturing";"Improshare Plan";15
"..Manufacturing";"Tonnage Plan";29
"..Manufacturing";"Kaiser Plan";36
