"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Type of Technical Assistance Needed from RTWPBs and Major Industry Group, Philippines:  2013 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/8501B3GP170.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Type of Technical Assistance Needed from RTWPBs";"2013";"2015";"2017";"2019"
"ALL INDUSTRIES";"Number of Establishments";25687;.;.;.
"ALL INDUSTRIES";"Total Establishments with PIPs";.;.;.;15234
"ALL INDUSTRIES";"Training";19056;.;9563;5171
"ALL INDUSTRIES";"Consulting";9822;.;5041;2911
"ALL INDUSTRIES";"Information Materials";15772;.;5530;2840
"ALL INDUSTRIES";"Others";930;.;.;1
"ALL INDUSTRIES";"None";.;.;5886;8586
"..Agriculture, Forestry and Fishing";"Number of Establishments";1014;.;.;.
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";.;.;.;205
"..Agriculture, Forestry and Fishing";"Training";859;.;230;58
"..Agriculture, Forestry and Fishing";"Consulting";496;.;154;89
"..Agriculture, Forestry and Fishing";"Information Materials";562;.;122;19
"..Agriculture, Forestry and Fishing";"Others";52;.;.;0
"..Agriculture, Forestry and Fishing";"None";.;.;151;102
"..Mining and Quarrying";"Number of Establishments";153;.;.;.
"..Mining and Quarrying";"Total Establishments with PIPs";.;.;.;65
"..Mining and Quarrying";"Training";119;.;38;33
"..Mining and Quarrying";"Consulting";55;.;20;2
"..Mining and Quarrying";"Information Materials";79;.;18;0
"..Mining and Quarrying";"Others";12;.;.;0
"..Mining and Quarrying";"None";.;.;20;32
"..Manufacturing";"Number of Establishments";4908;.;.;.
"..Manufacturing";"Total Establishments with PIPs";.;.;.;3134
"..Manufacturing";"Training";3488;.;2102;889
"..Manufacturing";"Consulting";2116;.;1112;469
"..Manufacturing";"Information Materials";3122;.;1233;486
"..Manufacturing";"Others";71;.;.;1
"..Manufacturing";"None";.;.;1117;2004
"..Electricity, Gas, Steam and Air Conditioning Supply";"Number of Establishments";317;.;.;.
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";.;.;.;172
"..Electricity, Gas, Steam and Air Conditioning Supply";"Training";284;.;116;78
"..Electricity, Gas, Steam and Air Conditioning Supply";"Consulting";118;.;62;34
"..Electricity, Gas, Steam and Air Conditioning Supply";"Information Materials";170;.;54;68
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";37;.;.;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"None";.;.;61;71
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Number of Establishments";238;.;.;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIPs";.;.;.;126
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Training";219;.;115;96
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Consulting";115;.;42;27
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Information Materials";157;.;51;46
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";15;.;.;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"None";.;.;67;31
"..Construction";"Number of Establishments";820;.;.;.
"..Construction";"Total Establishments with PIPs";.;.;.;440
"..Construction";"Training";576;.;268;105
"..Construction";"Consulting";339;.;138;35
"..Construction";"Information Materials";295;.;152;32
"..Construction";"Others";16;.;.;0
"..Construction";"None";.;.;162;321
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Number of Establishments";5199;.;.;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIPs";.;.;.;3526
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Training";3702;.;2139;1124
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Consulting";1897;.;1176;490
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Information Materials";3368;.;1323;793
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Others";174;.;.;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"None";.;.;1467;2077
"..Transportation and Storage";"Number of Establishments";802;.;.;.
"..Transportation and Storage";"Total Establishments with PIPs";.;.;.;425
"..Transportation and Storage";"Training";645;.;281;186
"..Transportation and Storage";"Consulting";250;.;156;52
"..Transportation and Storage";"Information Materials";443;.;145;73
"..Transportation and Storage";"Others";3;.;.;0
"..Transportation and Storage";"None";.;.;174;204
"..Accommodation and Food Service Activities";"Number of Establishments";3465;.;.;.
"..Accommodation and Food Service Activities";"Total Establishments with PIPs";.;.;.;2261
"..Accommodation and Food Service Activities";"Training";2479;.;1333;746
"..Accommodation and Food Service Activities";"Consulting";1117;.;613;506
"..Accommodation and Food Service Activities";"Information Materials";2130;.;642;382
"..Accommodation and Food Service Activities";"Others";116;.;.;0
"..Accommodation and Food Service Activities";"None";.;.;930;1159
"..Information and Communication";"Number of Establishments";769;.;.;.
"..Information and Communication";"Total Establishments with PIPs";.;.;.;190
"..Information and Communication";"Training";580;.;151;73
"..Information and Communication";"Consulting";310;.;78;44
"..Information and Communication";"Information Materials";518;.;98;68
"..Information and Communication";"Others";13;.;.;0
"..Information and Communication";"None";.;.;145;88
