"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Usual Form of Non-Cash Incentive and Major Industry Group, Philippines:  2017 - 2019"

"Major Industry Group";"Type of Gainsharing Schemes/Practices";"Usual Form of Non-Cash Incentive";"2017";"2019"
"ALL INDUSTRIES";"Gainsharing Practices";"Total";2555;1908
"ALL INDUSTRIES";"Gainsharing Practices";"..Grocery Items";836;597
"ALL INDUSTRIES";"Gainsharing Practices";"..Electronic Gadgets";113;13
"ALL INDUSTRIES";"Gainsharing Practices";"..Gift Certificate/Cheque";1127;841
"ALL INDUSTRIES";"Gainsharing Practices";"..Subsidize Travel/Leisure";165;352
"ALL INDUSTRIES";"Gainsharing Practices";"..Home Appliance";64;74
"ALL INDUSTRIES";"Gainsharing Practices";"..Others";249;31
"ALL INDUSTRIES";"Profit Sharing";"Total";436;545
"ALL INDUSTRIES";"Profit Sharing";"..Grocery Items";163;294
"ALL INDUSTRIES";"Profit Sharing";"..Electronic Gadgets";16;18
"ALL INDUSTRIES";"Profit Sharing";"..Gift Certificate/Cheque";193;146
"ALL INDUSTRIES";"Profit Sharing";"..Subsidize Travel/Leisure";28;74
"ALL INDUSTRIES";"Profit Sharing";"..Home Appliance";20;5
"ALL INDUSTRIES";"Profit Sharing";"..Others";17;8
"ALL INDUSTRIES";"Other Type of Gainsharing Schemes/Practices";"Total";96;350
"ALL INDUSTRIES";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";40;143
"ALL INDUSTRIES";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;26
"ALL INDUSTRIES";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";38;98
"ALL INDUSTRIES";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";9;76
"ALL INDUSTRIES";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"ALL INDUSTRIES";"Other Type of Gainsharing Schemes/Practices";"..Others";11;7
"..Agriculture, Forestry and Fishing";"Gainsharing Practices";"Total";27;45
"..Agriculture, Forestry and Fishing";"Gainsharing Practices";"..Grocery Items";12;4
"..Agriculture, Forestry and Fishing";"Gainsharing Practices";"..Electronic Gadgets";0;0
"..Agriculture, Forestry and Fishing";"Gainsharing Practices";"..Gift Certificate/Cheque";9;7
