"Number of Establishments Employing 20 or More Workers With Productivity Improvement Programs (PIPs) by Program Objective and Major Industry Group, Philippines: 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/4001B3GP060.px/table/tableViewLayout1/?rxid=445265cc-dbdb-4720-8a25-699cc800758c"
"Major Industry Group";"Productivity Improvement Program Objective";"2013"
"ALL INDUSTRIES";"Total Establishments with PIPs";20299
"ALL INDUSTRIES";"Shorten Process Cycle Time";6722
"ALL INDUSTRIES";"Reduction of Work Accident Injuries";10458
"ALL INDUSTRIES";"Reduction of Wastage";9405
"ALL INDUSTRIES";"Reduction of Customer Complaints";14387
"ALL INDUSTRIES";"Reduction of Personnel Downtime";6474
"ALL INDUSTRIES";"Reduction of Machine Downtime";5212
"ALL INDUSTRIES";"Reduction of Rework";5741
"ALL INDUSTRIES";"Increase Profit or Sales";11575
"ALL INDUSTRIES";"Increase Volume of Production";7091
"ALL INDUSTRIES";"Improve Product Quality";9304
"ALL INDUSTRIES";"Others";741
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";595
"..Agriculture, Forestry and Fishing";"Shorten Process Cycle Time";227
"..Agriculture, Forestry and Fishing";"Reduction of Work Accident Injuries";435
"..Agriculture, Forestry and Fishing";"Reduction of Wastage";360
"..Agriculture, Forestry and Fishing";"Reduction of Customer Complaints";335
"..Agriculture, Forestry and Fishing";"Reduction of Personnel Downtime";171
"..Agriculture, Forestry and Fishing";"Reduction of Machine Downtime";109
"..Agriculture, Forestry and Fishing";"Reduction of Rework";190
"..Agriculture, Forestry and Fishing";"Increase Profit or Sales";257
"..Agriculture, Forestry and Fishing";"Increase Volume of Production";407
"..Agriculture, Forestry and Fishing";"Improve Product Quality";334
"..Agriculture, Forestry and Fishing";"Others";11
"..Mining and Quarrying";"Total Establishments with PIPs";110
"..Mining and Quarrying";"Shorten Process Cycle Time";21
"..Mining and Quarrying";"Reduction of Work Accident Injuries";80
"..Mining and Quarrying";"Reduction of Wastage";53
"..Mining and Quarrying";"Reduction of Customer Complaints";39
"..Mining and Quarrying";"Reduction of Personnel Downtime";47
"..Mining and Quarrying";"Reduction of Machine Downtime";66
"..Mining and Quarrying";"Reduction of Rework";19
"..Mining and Quarrying";"Increase Profit or Sales";45
"..Mining and Quarrying";"Increase Volume of Production";72
"..Mining and Quarrying";"Improve Product Quality";41
"..Mining and Quarrying";"Others";6
"..Manufacturing";"Total Establishments with PIPs";4760
"..Manufacturing";"Shorten Process Cycle Time";1990
"..Manufacturing";"Reduction of Work Accident Injuries";2982
"..Manufacturing";"Reduction of Wastage";2866
"..Manufacturing";"Reduction of Customer Complaints";3119
"..Manufacturing";"Reduction of Personnel Downtime";1838
"..Manufacturing";"Reduction of Machine Downtime";2151
"..Manufacturing";"Reduction of Rework";2111
"..Manufacturing";"Increase Profit or Sales";3002
"..Manufacturing";"Increase Volume of Production";2836
"..Manufacturing";"Improve Product Quality";3071
"..Manufacturing";"Others";45
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";323
"..Electricity, Gas, Steam and Air Conditioning Supply";"Shorten Process Cycle Time";78
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Work Accident Injuries";199
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Wastage";84
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Customer Complaints";242
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Personnel Downtime";108
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Machine Downtime";83
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Rework";107
"..Electricity, Gas, Steam and Air Conditioning Supply";"Increase Profit or Sales";40
"..Electricity, Gas, Steam and Air Conditioning Supply";"Increase Volume of Production";64
"..Electricity, Gas, Steam and Air Conditioning Supply";"Improve Product Quality";188
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";9
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIPs";195
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Shorten Process Cycle Time";79
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Work Accident Injuries";64
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Wastage";82
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Customer Complaints";154
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Personnel Downtime";72
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Machine Downtime";65
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Rework";60
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Increase Profit or Sales";81
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Increase Volume of Production";71
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Improve Product Quality";115
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";19
"..Construction";"Total Establishments with PIPs";695
"..Construction";"Shorten Process Cycle Time";417
"..Construction";"Reduction of Work Accident Injuries";544
"..Construction";"Reduction of Wastage";375
"..Construction";"Reduction of Customer Complaints";485
"..Construction";"Reduction of Personnel Downtime";287
"..Construction";"Reduction of Machine Downtime";342
"..Construction";"Reduction of Rework";322
"..Construction";"Increase Profit or Sales";461
"..Construction";"Increase Volume of Production";305
"..Construction";"Improve Product Quality";312
"..Construction";"Others";69
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIPs";4149
