"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) That Availed of Tax Incentives by Major Industry Group, Philippines:  2013 - 2019"

"Major Industry Group";"Number of Establishments That Availed Tax Incentives";"2013";"2015";"2017";"2019"
"ALL INDUSTRIES";"Total Establishments";34579;.;.;.
"ALL INDUSTRIES";"Total Establishments with PIPs";20299;2448;17563;15234
"ALL INDUSTRIES";"RA 6971 or Productivity Incentives Act of 1990";688;1258;975;499
"ALL INDUSTRIES";"As Percent (%)  to Establishments with Productivity Programs";.;51.4;.;.
"ALL INDUSTRIES";"Other Tax Incentives Availed";.;.;183;80
"..Agriculture, Forestry and Fishing";"Total Establishments";1258;.;.;.
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";595;35;442;205
"..Agriculture, Forestry and Fishing";"RA 6971 or Productivity Incentives Act of 1990";10;16;28;1
"..Agriculture, Forestry and Fishing";"As Percent (%)  to Establishments with Productivity Programs";.;45.7;.;.
"..Agriculture, Forestry and Fishing";"Other Tax Incentives Availed";.;.;0;0
"..Mining and Quarrying";"Total Establishments";189;.;.;.
"..Mining and Quarrying";"Total Establishments with PIPs";110;11;66;65
"..Mining and Quarrying";"RA 6971 or Productivity Incentives Act of 1990";12;8;3;0
"..Mining and Quarrying";"As Percent (%)  to Establishments with Productivity Programs";.;72.7;.;.
"..Mining and Quarrying";"Other Tax Incentives Availed";.;.;0;0
"..Manufacturing";"Total Establishments";6555;.;.;.
"..Manufacturing";"Total Establishments with PIPs";4760;698;3677;3134
"..Manufacturing";"RA 6971 or Productivity Incentives Act of 1990";156;404;163;119
"..Manufacturing";"As Percent (%)  to Establishments with Productivity Programs";.;57.9;.;.
"..Manufacturing";"Other Tax Incentives Availed";.;.;105;66
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments";422;.;.;.
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";323;42;188;172
"..Electricity, Gas, Steam and Air Conditioning Supply";"RA 6971 or Productivity Incentives Act of 1990";6;22;7;36
"..Electricity, Gas, Steam and Air Conditioning Supply";"As Percent (%)  to Establishments with Productivity Programs";.;52.4;.;.
"..Electricity, Gas, Steam and Air Conditioning Supply";"Other Tax Incentives Availed";.;.;1;1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments";314;.;.;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIPs";195;11;192;126
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"RA 6971 or Productivity Incentives Act of 1990";5;9;9;11
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"As Percent (%)  to Establishments with Productivity Programs";.;81.8;.;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Other Tax Incentives Availed";.;.;9;0
"..Construction";"Total Establishments";1042;.;.;.
"..Construction";"Total Establishments with PIPs";695;45;487;440
"..Construction";"RA 6971 or Productivity Incentives Act of 1990";16;9;20;13
"..Construction";"As Percent (%)  to Establishments with Productivity Programs";.;20.0;.;.
"..Construction";"Other Tax Incentives Availed";.;.;4;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments";7555;.;.;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIPs";4149;506;4126;3526
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"RA 6971 or Productivity Incentives Act of 1990";255;226;256;29
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"As Percent (%)  to Establishments with Productivity Programs";.;44.7;.;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Other Tax Incentives Availed";.;.;0;0
"..Transportation and Storage";"Total Establishments";1139;.;.;.
"..Transportation and Storage";"Total Establishments with PIPs";594;43;499;425
"..Transportation and Storage";"RA 6971 or Productivity Incentives Act of 1990";9;21;15;8
"..Transportation and Storage";"As Percent (%)  to Establishments with Productivity Programs";.;48.8;.;.
"..Transportation and Storage";"Other Tax Incentives Availed";.;.;1;0
"..Accommodation and Food Service Activities";"Total Establishments";4670;.;.;.
"..Accommodation and Food Service Activities";"Total Establishments with PIPs";3258;398;2531;2261
"..Accommodation and Food Service Activities";"RA 6971 or Productivity Incentives Act of 1990";88;239;122;86
"..Accommodation and Food Service Activities";"As Percent (%)  to Establishments with Productivity Programs";.;60.1;.;.
"..Accommodation and Food Service Activities";"Other Tax Incentives Availed";.;.;12;0
"..Information and Communication";"Total Establishments";896;.;.;.
"..Information and Communication";"Total Establishments with PIPs";360;37;338;190
"..Information and Communication";"RA 6971 or Productivity Incentives Act of 1990";20;16;30;6
"..Information and Communication";"As Percent (%)  to Establishments with Productivity Programs";.;43.2;.;.
"..Information and Communication";"Other Tax Incentives Availed";.;.;9;2
"..Financial and Insurance Activities";"Total Establishments";1510;.;.;.
"..Financial and Insurance Activities";"Total Establishments with PIPs";687;137;731;580
"..Financial and Insurance Activities";"RA 6971 or Productivity Incentives Act of 1990";24;40;45;84
"..Financial and Insurance Activities";"As Percent (%)  to Establishments with Productivity Programs";.;29.2;.;.
"..Financial and Insurance Activities";"Other Tax Incentives Availed";.;.;3;3
"..Real Estate Activities";"Total Establishments";498;.;.;.
"..Real Estate Activities";"Total Establishments with PIPs";264;31;173;123
"..Real Estate Activities";"RA 6971 or Productivity Incentives Act of 1990";0;23;17;0
"..Real Estate Activities";"As Percent (%)  to Establishments with Productivity Programs";.;74.2;.;.
"..Real Estate Activities";"Other Tax Incentives Availed";.;.;0;0
"..Professional, Scientific and Technical Activities";"Total Establishments";739;.;.;.
"..Professional, Scientific and Technical Activities";"Total Establishments with PIPs";348;39;314;365
"..Professional, Scientific and Technical Activities";"RA 6971 or Productivity Incentives Act of 1990";6;13;15;45
"..Professional, Scientific and Technical Activities";"As Percent (%)  to Establishments with Productivity Programs";.;33.3;.;.
"..Professional, Scientific and Technical Activities";"Other Tax Incentives Availed";.;.;4;0
"..Administrative and Support Service Activities";"Total Establishments";2130;.;.;.
"..Administrative and Support Service Activities";"Total Establishments with PIPs";1186;95;929;1033
"..Administrative and Support Service Activities";"RA 6971 or Productivity Incentives Act of 1990";17;52;65;45
"..Administrative and Support Service Activities";"As Percent (%)  to Establishments with Productivity Programs";.;54.7;.;.
"..Administrative and Support Service Activities";"Other Tax Incentives Availed";.;.;27;6
"..Education Except Public Education";"Total Establishments";4002;.;.;.
"..Education Except Public Education";"Total Establishments with PIPs";1804;206;1901;1611
"..Education Except Public Education";"RA 6971 or Productivity Incentives Act of 1990";33;101;129;9
"..Education Except Public Education";"As Percent (%)  to Establishments with Productivity Programs";.;49.0;.;.
"..Education Except Public Education";"Other Tax Incentives Availed";.;.;2;1
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments";923;.;.;.
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIPs";601;78;656;722
"..Human Health and Social Work Activities Except Public Health Activities";"RA 6971 or Productivity Incentives Act of 1990";11;32;33;6
"..Human Health and Social Work Activities Except Public Health Activities";"As Percent (%)  to Establishments with Productivity Programs";.;41.0;.;.
"..Human Health and Social Work Activities Except Public Health Activities";"Other Tax Incentives Availed";.;.;3;0
"..Arts, Entertainment and  Recreation";"Total Establishments";248;.;.;.
"..Arts, Entertainment and  Recreation";"Total Establishments with PIPs";128;18;140;152
"..Arts, Entertainment and  Recreation";"RA 6971 or Productivity Incentives Act of 1990";12;17;5;2
"..Arts, Entertainment and  Recreation";"As Percent (%)  to Establishments with Productivity Programs";.;94.4;.;.
"..Arts, Entertainment and  Recreation";"Other Tax Incentives Availed";.;.;3;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments";488;.;.;.
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments with PIPs";243;18;171;103
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"RA 6971 or Productivity Incentives Act of 1990";8;10;13;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"As Percent (%)  to Establishments with Productivity Programs";.;55.6;.;.
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Other Tax Incentives Availed";.;.;1;0
