"Number of Productivity Programs Implemented in Establishments Employing 20 or More Workers by Primary Objective of Productivity Program and Major Industry Group, Philippines: 2015"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/4251B3GP061.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Primary Objective of Productivity Program";"2015"
"ALL INDUSTRIES";"Total Productivity Programs Implemented";3339
"ALL INDUSTRIES";"..Shorten Process Cycle Time";288
"ALL INDUSTRIES";"..Reduction of Work Accident Injuries";281
"ALL INDUSTRIES";"..Reduction of Wastage";363
"ALL INDUSTRIES";"..Reduction of Customer Complaints";291
"ALL INDUSTRIES";"..Reduction  Downtime";212
"ALL INDUSTRIES";"..Reduction of Rework";118
"ALL INDUSTRIES";"..Increase Level of Customer Satisfaction";1106
"ALL INDUSTRIES";"..Others";679
"..Agriculture, Forestry and Fishing";"Total Productivity Programs Implemented";49
"..Agriculture, Forestry and Fishing";"..Shorten Process Cycle Time";1
"..Agriculture, Forestry and Fishing";"..Reduction of Work Accident Injuries";10
"..Agriculture, Forestry and Fishing";"..Reduction of Wastage";4
"..Agriculture, Forestry and Fishing";"..Reduction of Customer Complaints";1
"..Agriculture, Forestry and Fishing";"..Reduction  Downtime";1
"..Agriculture, Forestry and Fishing";"..Reduction of Rework";0
"..Agriculture, Forestry and Fishing";"..Increase Level of Customer Satisfaction";17
"..Agriculture, Forestry and Fishing";"..Others";15
"..Mining and Quarrying";"Total Productivity Programs Implemented";13
"..Mining and Quarrying";"..Shorten Process Cycle Time";8
"..Mining and Quarrying";"..Reduction of Work Accident Injuries";0
"..Mining and Quarrying";"..Reduction of Wastage";3
"..Mining and Quarrying";"..Reduction of Customer Complaints";0
"..Mining and Quarrying";"..Reduction  Downtime";0
"..Mining and Quarrying";"..Reduction of Rework";0
"..Mining and Quarrying";"..Increase Level of Customer Satisfaction";2
"..Mining and Quarrying";"..Others";0
"..Manufacturing";"Total Productivity Programs Implemented";1039
"..Manufacturing";"..Shorten Process Cycle Time";152
"..Manufacturing";"..Reduction of Work Accident Injuries";70
"..Manufacturing";"..Reduction of Wastage";148
"..Manufacturing";"..Reduction of Customer Complaints";69
"..Manufacturing";"..Reduction  Downtime";107
"..Manufacturing";"..Reduction of Rework";42
"..Manufacturing";"..Increase Level of Customer Satisfaction";260
"..Manufacturing";"..Others";191
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Productivity Programs Implemented";67
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Shorten Process Cycle Time";6
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Reduction of Work Accident Injuries";8
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Reduction of Wastage";17
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Reduction of Customer Complaints";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Reduction  Downtime";8
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Reduction of Rework";7
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Increase Level of Customer Satisfaction";6
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Others";14
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Productivity Programs Implemented";11
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Shorten Process Cycle Time";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Reduction of Work Accident Injuries";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Reduction of Wastage";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Reduction of Customer Complaints";1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Reduction  Downtime";1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Reduction of Rework";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Increase Level of Customer Satisfaction";2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Others";7
"..Construction";"Total Productivity Programs Implemented";53
"..Construction";"..Shorten Process Cycle Time";11
"..Construction";"..Reduction of Work Accident Injuries";5
"..Construction";"..Reduction of Wastage";10
"..Construction";"..Reduction of Customer Complaints";0
"..Construction";"..Reduction  Downtime";1
"..Construction";"..Reduction of Rework";0
"..Construction";"..Increase Level of Customer Satisfaction";16
"..Construction";"..Others";10
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Productivity Programs Implemented";654
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Shorten Process Cycle Time";25
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Reduction of Work Accident Injuries";16
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Reduction of Wastage";76
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Reduction of Customer Complaints";48
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Reduction  Downtime";45
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Reduction of Rework";16
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Increase Level of Customer Satisfaction";256
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Others";172
"..Transportation and Storage";"Total Productivity Programs Implemented";72
"..Transportation and Storage";"..Shorten Process Cycle Time";0
"..Transportation and Storage";"..Reduction of Work Accident Injuries";11
"..Transportation and Storage";"..Reduction of Wastage";11
"..Transportation and Storage";"..Reduction of Customer Complaints";2
"..Transportation and Storage";"..Reduction  Downtime";2
"..Transportation and Storage";"..Reduction of Rework";2
"..Transportation and Storage";"..Increase Level of Customer Satisfaction";33
"..Transportation and Storage";"..Others";10
"..Accommodation and Food Service Activities";"Total Productivity Programs Implemented";511
"..Accommodation and Food Service Activities";"..Shorten Process Cycle Time";21
"..Accommodation and Food Service Activities";"..Reduction of Work Accident Injuries";125
"..Accommodation and Food Service Activities";"..Reduction of Wastage";21
"..Accommodation and Food Service Activities";"..Reduction of Customer Complaints";70
"..Accommodation and Food Service Activities";"..Reduction  Downtime";23
"..Accommodation and Food Service Activities";"..Reduction of Rework";20
"..Accommodation and Food Service Activities";"..Increase Level of Customer Satisfaction";146
"..Accommodation and Food Service Activities";"..Others";84
"..Information and Communication";"Total Productivity Programs Implemented";48
"..Information and Communication";"..Shorten Process Cycle Time";1
"..Information and Communication";"..Reduction of Work Accident Injuries";0
"..Information and Communication";"..Reduction of Wastage";8
"..Information and Communication";"..Reduction of Customer Complaints";0
"..Information and Communication";"..Reduction  Downtime";0
"..Information and Communication";"..Reduction of Rework";6
"..Information and Communication";"..Increase Level of Customer Satisfaction";10
"..Information and Communication";"..Others";24
"..Financial and Insurance Activities";"Total Productivity Programs Implemented";177
"..Financial and Insurance Activities";"..Shorten Process Cycle Time";5
"..Financial and Insurance Activities";"..Reduction of Work Accident Injuries";13
"..Financial and Insurance Activities";"..Reduction of Wastage";15
"..Financial and Insurance Activities";"..Reduction of Customer Complaints";27
"..Financial and Insurance Activities";"..Reduction  Downtime";0
"..Financial and Insurance Activities";"..Reduction of Rework";10
"..Financial and Insurance Activities";"..Increase Level of Customer Satisfaction";75
"..Financial and Insurance Activities";"..Others";32
"..Real Estate Activities";"Total Productivity Programs Implemented";31
"..Real Estate Activities";"..Shorten Process Cycle Time";0
"..Real Estate Activities";"..Reduction of Work Accident Injuries";0
"..Real Estate Activities";"..Reduction of Wastage";7
"..Real Estate Activities";"..Reduction of Customer Complaints";0
"..Real Estate Activities";"..Reduction  Downtime";0
"..Real Estate Activities";"..Reduction of Rework";0
"..Real Estate Activities";"..Increase Level of Customer Satisfaction";24
"..Real Estate Activities";"..Others";0
"..Professional, Scientific and Technical Activities";"Total Productivity Programs Implemented";61
"..Professional, Scientific and Technical Activities";"..Shorten Process Cycle Time";17
"..Professional, Scientific and Technical Activities";"..Reduction of Work Accident Injuries";13
"..Professional, Scientific and Technical Activities";"..Reduction of Wastage";0
"..Professional, Scientific and Technical Activities";"..Reduction of Customer Complaints";6
"..Professional, Scientific and Technical Activities";"..Reduction  Downtime";0
"..Professional, Scientific and Technical Activities";"..Reduction of Rework";1
"..Professional, Scientific and Technical Activities";"..Increase Level of Customer Satisfaction";12
"..Professional, Scientific and Technical Activities";"..Others";12
"..Administrative and Support Service Activities";"Total Productivity Programs Implemented";133
"..Administrative and Support Service Activities";"..Shorten Process Cycle Time";15
"..Administrative and Support Service Activities";"..Reduction of Work Accident Injuries";1
"..Administrative and Support Service Activities";"..Reduction of Wastage";10
"..Administrative and Support Service Activities";"..Reduction of Customer Complaints";12
"..Administrative and Support Service Activities";"..Reduction  Downtime";2
"..Administrative and Support Service Activities";"..Reduction of Rework";12
"..Administrative and Support Service Activities";"..Increase Level of Customer Satisfaction";56
"..Administrative and Support Service Activities";"..Others";24
"..Education Except Public Education";"Total Productivity Programs Implemented";255
"..Education Except Public Education";"..Shorten Process Cycle Time";19
"..Education Except Public Education";"..Reduction of Work Accident Injuries";1
"..Education Except Public Education";"..Reduction of Wastage";16
"..Education Except Public Education";"..Reduction of Customer Complaints";37
"..Education Except Public Education";"..Reduction  Downtime";16
"..Education Except Public Education";"..Reduction of Rework";0
"..Education Except Public Education";"..Increase Level of Customer Satisfaction";105
