"Number of Productivity Programs Implemented in Establishments Employing 20 or More Workers by Program Developer and Major Industry Group, Philippines: 2015"

"Major Industry Group";"Program Developer";"2015"
"ALL INDUSTRIES";"Total Productivity Programs Implemented";3339
"ALL INDUSTRIES";"..Labor Management Committee";252
"ALL INDUSTRIES";"..Union";64
"ALL INDUSTRIES";"..Management";2533
"ALL INDUSTRIES";"..Supervisors";156
"ALL INDUSTRIES";"..Rank and File";226
"ALL INDUSTRIES";"..Others";107
"..Agriculture, Forestry and Fishing";"Total Productivity Programs Implemented";49
"..Agriculture, Forestry and Fishing";"..Labor Management Committee";0
"..Agriculture, Forestry and Fishing";"..Union";0
"..Agriculture, Forestry and Fishing";"..Management";48
"..Agriculture, Forestry and Fishing";"..Supervisors";1
"..Agriculture, Forestry and Fishing";"..Rank and File";0
"..Agriculture, Forestry and Fishing";"..Others";0
"..Mining and Quarrying";"Total Productivity Programs Implemented";13
"..Mining and Quarrying";"..Labor Management Committee";0
"..Mining and Quarrying";"..Union";1
"..Mining and Quarrying";"..Management";9
"..Mining and Quarrying";"..Supervisors";3
"..Mining and Quarrying";"..Rank and File";0
"..Mining and Quarrying";"..Others";0
"..Manufacturing";"Total Productivity Programs Implemented";1039
"..Manufacturing";"..Labor Management Committee";52
"..Manufacturing";"..Union";16
"..Manufacturing";"..Management";847
"..Manufacturing";"..Supervisors";45
"..Manufacturing";"..Rank and File";54
"..Manufacturing";"..Others";25
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Productivity Programs Implemented";67
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Labor Management Committee";9
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Union";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Management";41
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Supervisors";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Rank and File";16
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Others";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Productivity Programs Implemented";11
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Labor Management Committee";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Union";1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Management";4
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Supervisors";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Rank and File";6
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Others";0
"..Construction";"Total Productivity Programs Implemented";53
"..Construction";"..Labor Management Committee";1
"..Construction";"..Union";0
"..Construction";"..Management";35
"..Construction";"..Supervisors";2
"..Construction";"..Rank and File";7
"..Construction";"..Others";7
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Productivity Programs Implemented";654
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Labor Management Committee";35
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Union";10
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Management";511
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Supervisors";30
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Rank and File";46
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Others";22
"..Transportation and Storage";"Total Productivity Programs Implemented";72
"..Transportation and Storage";"..Labor Management Committee";6
"..Transportation and Storage";"..Union";1
"..Transportation and Storage";"..Management";54
"..Transportation and Storage";"..Supervisors";4
"..Transportation and Storage";"..Rank and File";2
"..Transportation and Storage";"..Others";5
"..Accommodation and Food Service Activities";"Total Productivity Programs Implemented";511
"..Accommodation and Food Service Activities";"..Labor Management Committee";105
"..Accommodation and Food Service Activities";"..Union";8
"..Accommodation and Food Service Activities";"..Management";305
"..Accommodation and Food Service Activities";"..Supervisors";44
"..Accommodation and Food Service Activities";"..Rank and File";41
"..Accommodation and Food Service Activities";"..Others";8
"..Information and Communication";"Total Productivity Programs Implemented";48
"..Information and Communication";"..Labor Management Committee";0
"..Information and Communication";"..Union";0
"..Information and Communication";"..Management";40
"..Information and Communication";"..Supervisors";0
"..Information and Communication";"..Rank and File";7
"..Information and Communication";"..Others";1
"..Financial and Insurance Activities";"Total Productivity Programs Implemented";177
"..Financial and Insurance Activities";"..Labor Management Committee";10
"..Financial and Insurance Activities";"..Union";10
"..Financial and Insurance Activities";"..Management";146
"..Financial and Insurance Activities";"..Supervisors";0
"..Financial and Insurance Activities";"..Rank and File";2
"..Financial and Insurance Activities";"..Others";8
"..Real Estate Activities";"Total Productivity Programs Implemented";31
"..Real Estate Activities";"..Labor Management Committee";0
"..Real Estate Activities";"..Union";7
"..Real Estate Activities";"..Management";24
"..Real Estate Activities";"..Supervisors";0
"..Real Estate Activities";"..Rank and File";0
"..Real Estate Activities";"..Others";0
"..Professional, Scientific and Technical Activities";"Total Productivity Programs Implemented";61
"..Professional, Scientific and Technical Activities";"..Labor Management Committee";0
"..Professional, Scientific and Technical Activities";"..Union";2
"..Professional, Scientific and Technical Activities";"..Management";56
"..Professional, Scientific and Technical Activities";"..Supervisors";0
"..Professional, Scientific and Technical Activities";"..Rank and File";0
"..Professional, Scientific and Technical Activities";"..Others";3
"..Administrative and Support Service Activities";"Total Productivity Programs Implemented";133
"..Administrative and Support Service Activities";"..Labor Management Committee";2
"..Administrative and Support Service Activities";"..Union";0
"..Administrative and Support Service Activities";"..Management";116
"..Administrative and Support Service Activities";"..Supervisors";6
"..Administrative and Support Service Activities";"..Rank and File";5
"..Administrative and Support Service Activities";"..Others";3
"..Education Except Public Education";"Total Productivity Programs Implemented";255
"..Education Except Public Education";"..Labor Management Committee";28
"..Education Except Public Education";"..Union";7
"..Education Except Public Education";"..Management";176
"..Education Except Public Education";"..Supervisors";6
"..Education Except Public Education";"..Rank and File";23
"..Education Except Public Education";"..Others";15
"..Human Health and Social Work Activities Except Public Health Activities";"Total Productivity Programs Implemented";127
"..Human Health and Social Work Activities Except Public Health Activities";"..Labor Management Committee";3
"..Human Health and Social Work Activities Except Public Health Activities";"..Union";0
"..Human Health and Social Work Activities Except Public Health Activities";"..Management";100
"..Human Health and Social Work Activities Except Public Health Activities";"..Supervisors";13
"..Human Health and Social Work Activities Except Public Health Activities";"..Rank and File";9
"..Human Health and Social Work Activities Except Public Health Activities";"..Others";1
"..Arts, Entertainment and Recreation";"Total Productivity Programs Implemented";18
"..Arts, Entertainment and Recreation";"..Labor Management Committee";0
"..Arts, Entertainment and Recreation";"..Union";0
"..Arts, Entertainment and Recreation";"..Management";10
"..Arts, Entertainment and Recreation";"..Supervisors";0
"..Arts, Entertainment and Recreation";"..Rank and File";1
"..Arts, Entertainment and Recreation";"..Others";7
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Productivity Programs Implemented";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Labor Management Committee";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Union";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Management";10
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Supervisors";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Rank and File";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Others";0
