"Number of Productivity Programs Implemented in Establishments Employing 20 or More Workers by Type of Productivity Technique/Tool Used and Major Industry Group, Philippines: 2015"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/3001B3GP053.px/table/tableViewLayout1/?rxid=445265cc-dbdb-4720-8a25-699cc800758c"
"Major Industry Group";"Type of Productivity Technique/Tool Used";"2015"
"ALL INDUSTRIES";"Total Productivity Programs Implemented";3339
"ALL INDUSTRIES";"5S";1081
"ALL INDUSTRIES";"Lean Manufacturing";201
"ALL INDUSTRIES";"Six Sigma";127
"ALL INDUSTRIES";"Kaizen";536
"ALL INDUSTRIES";"Total Quality Management";971
"ALL INDUSTRIES";"Suggestion Scheme";569
"ALL INDUSTRIES";"Just in Time";356
"ALL INDUSTRIES";"Others";449
"ALL INDUSTRIES";"None";193
"..Agriculture, Forestry and Fishing";"Total Productivity Programs Implemented";49
"..Agriculture, Forestry and Fishing";"5S";4
"..Agriculture, Forestry and Fishing";"Lean Manufacturing";6
"..Agriculture, Forestry and Fishing";"Six Sigma";0
"..Agriculture, Forestry and Fishing";"Kaizen";1
"..Agriculture, Forestry and Fishing";"Total Quality Management";22
"..Agriculture, Forestry and Fishing";"Suggestion Scheme";0
"..Agriculture, Forestry and Fishing";"Just in Time";6
"..Agriculture, Forestry and Fishing";"Others";1
"..Agriculture, Forestry and Fishing";"None";9
"..Mining and Quarrying";"Total Productivity Programs Implemented";13
"..Mining and Quarrying";"5S";3
"..Mining and Quarrying";"Lean Manufacturing";3
"..Mining and Quarrying";"Six Sigma";1
"..Mining and Quarrying";"Kaizen";2
"..Mining and Quarrying";"Total Quality Management";7
"..Mining and Quarrying";"Suggestion Scheme";1
"..Mining and Quarrying";"Just in Time";1
"..Mining and Quarrying";"Others";2
"..Mining and Quarrying";"None";0
"..Manufacturing";"Total Productivity Programs Implemented";1039
"..Manufacturing";"5S";486
"..Manufacturing";"Lean Manufacturing";113
"..Manufacturing";"Six Sigma";53
"..Manufacturing";"Kaizen";267
"..Manufacturing";"Total Quality Management";232
"..Manufacturing";"Suggestion Scheme";150
"..Manufacturing";"Just in Time";152
"..Manufacturing";"Others";62
"..Manufacturing";"None";20
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Productivity Programs Implemented";67
"..Electricity, Gas, Steam and Air Conditioning Supply";"5S";13
"..Electricity, Gas, Steam and Air Conditioning Supply";"Lean Manufacturing";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Six Sigma";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Kaizen";6
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Quality Management";38
"..Electricity, Gas, Steam and Air Conditioning Supply";"Suggestion Scheme";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"Just in Time";21
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";4
"..Electricity, Gas, Steam and Air Conditioning Supply";"None";12
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Productivity Programs Implemented";11
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"5S";2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Lean Manufacturing";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Six Sigma";1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Kaizen";1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Quality Management";9
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Suggestion Scheme";8
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Just in Time";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"None";0
"..Construction";"Total Productivity Programs Implemented";53
"..Construction";"5S";18
"..Construction";"Lean Manufacturing";0
"..Construction";"Six Sigma";0
"..Construction";"Kaizen";2
"..Construction";"Total Quality Management";20
"..Construction";"Suggestion Scheme";8
"..Construction";"Just in Time";12
"..Construction";"Others";3
"..Construction";"None";1
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Productivity Programs Implemented";654
